cell_id,Cercotrichas leucophrys,Cercotrichas leucophrys [leucoptera Group],Cercotrichas leucophrys [leucophrys Group]
837aeefffffffff,2.0,2.0,0.0
837b48fffffffff,7.0,0.0,0.0
837b4bfffffffff,19.0,0.0,2.0
837b4cfffffffff,7.0,0.0,0.0
837b59fffffffff,16.0,0.0,0.0
837b5bfffffffff,2.0,0.0,0.0
837b68fffffffff,1.0,0.0,0.0
837b6bfffffffff,6.0,0.0,0.0
8382a0fffffffff,4.0,0.0,0.0
8382a5fffffffff,1.0,0.0,0.0
838304fffffffff,7.0,0.0,5.0
838311fffffffff,5.0,0.0,0.0
838312fffffffff,5.0,0.0,0.0
83831efffffffff,7.0,0.0,1.0
838320fffffffff,10.0,0.0,1.0
838326fffffffff,9.0,0.0,1.0
838333fffffffff,7.0,0.0,0.0
838386fffffffff,1.0,0.0,0.0
83838efffffffff,1.0,0.0,0.0
838398fffffffff,17.0,0.0,0.0
8383acfffffffff,2.0,0.0,0.0
8383adfffffffff,3.0,0.0,0.0
839600fffffffff,18.0,0.0,6.0
839601fffffffff,13.0,0.0,0.0
839602fffffffff,3.0,0.0,0.0
839603fffffffff,3.0,0.0,0.0
839604fffffffff,10.0,0.0,2.0
839605fffffffff,2.0,0.0,0.0
839606fffffffff,3.0,0.0,3.0
839608fffffffff,1.0,0.0,0.0
839609fffffffff,3.0,0.0,1.0
83960bfffffffff,31.0,0.0,2.0
83960efffffffff,3.0,0.0,0.0
839615fffffffff,16.0,0.0,6.0
839620fffffffff,16.0,0.0,0.0
839621fffffffff,16.0,0.0,2.0
839623fffffffff,38.0,0.0,4.0
839626fffffffff,23.0,0.0,0.0
839628fffffffff,28.0,0.0,2.0
83962bfffffffff,16.0,0.0,2.0
83962cfffffffff,41.0,0.0,6.0
83962dfffffffff,9.0,0.0,2.0
83962efffffffff,23.0,0.0,5.0
839633fffffffff,2.0,0.0,0.0
839636fffffffff,2.0,0.0,0.0
839654fffffffff,1.0,0.0,0.0
839656fffffffff,5.0,0.0,2.0
839660fffffffff,1.0,0.0,0.0
839666fffffffff,1.0,0.0,0.0
839670fffffffff,9.0,0.0,0.0
839672fffffffff,2.0,0.0,0.0
839675fffffffff,2.0,0.0,0.0
839688fffffffff,2.0,0.0,0.0
839690fffffffff,101.0,0.0,2.0
839691fffffffff,2.0,0.0,0.0
839692fffffffff,392.0,0.0,34.0
839693fffffffff,184.0,0.0,14.0
839694fffffffff,2.0,0.0,0.0
83969afffffffff,4.0,0.0,0.0
8396a1fffffffff,2.0,0.0,0.0
8396a2fffffffff,2.0,0.0,0.0
8396a3fffffffff,4.0,0.0,0.0
8396a8fffffffff,3.0,0.0,0.0
8396abfffffffff,1.0,0.0,0.0
8396b0fffffffff,12.0,0.0,2.0
8396b1fffffffff,192.0,0.0,22.0
8396b5fffffffff,55.0,0.0,2.0
8396b6fffffffff,10.0,0.0,2.0
8396e4fffffffff,3.0,0.0,0.0
839701fffffffff,6.0,0.0,2.0
839702fffffffff,22.0,0.0,0.0
839703fffffffff,25.0,0.0,0.0
839705fffffffff,2.0,0.0,0.0
839706fffffffff,6.0,0.0,0.0
839708fffffffff,2.0,0.0,0.0
83970cfffffffff,5.0,0.0,2.0
83970dfffffffff,4.0,0.0,0.0
839710fffffffff,11.0,0.0,0.0
839711fffffffff,114.0,0.0,0.0
839713fffffffff,1.0,0.0,0.0
839715fffffffff,20.0,0.0,0.0
839719fffffffff,29.0,0.0,0.0
83971cfffffffff,13.0,0.0,0.0
83971dfffffffff,1.0,0.0,0.0
839721fffffffff,2.0,0.0,0.0
839723fffffffff,2.0,0.0,0.0
839724fffffffff,8.0,0.0,0.0
839725fffffffff,6.0,0.0,0.0
839728fffffffff,94.0,0.0,31.0
839729fffffffff,25.0,0.0,6.0
83972cfffffffff,141.0,0.0,58.0
83972dfffffffff,48.0,0.0,18.0
83972efffffffff,202.0,0.0,81.0
839731fffffffff,10.0,0.0,0.0
839735fffffffff,23.0,0.0,0.0
839740fffffffff,11.0,0.0,0.0
839741fffffffff,15.0,0.0,0.0
839743fffffffff,30.0,0.0,0.0
839744fffffffff,1.0,0.0,1.0
839745fffffffff,3.0,0.0,0.0
839748fffffffff,6.0,0.0,3.0
83974afffffffff,190.0,0.0,55.0
83974bfffffffff,74.0,0.0,12.0
83974efffffffff,52.0,0.0,27.0
839750fffffffff,55.0,0.0,3.0
839751fffffffff,186.0,0.0,23.0
839752fffffffff,1.0,0.0,0.0
839753fffffffff,3.0,0.0,1.0
839754fffffffff,8.0,0.0,0.0
839755fffffffff,3.0,0.0,0.0
839758fffffffff,13.0,0.0,0.0
83975cfffffffff,63.0,0.0,11.0
83975dfffffffff,27.0,0.0,3.0
83975efffffffff,16.0,0.0,2.0
839764fffffffff,2.0,0.0,0.0
839770fffffffff,8.0,0.0,0.0
839772fffffffff,16.0,0.0,0.0
839776fffffffff,2.0,0.0,0.0
839789fffffffff,12.0,0.0,0.0
83978bfffffffff,7.0,0.0,0.0
83978efffffffff,2.0,0.0,0.0
839791fffffffff,6.0,0.0,0.0
839799fffffffff,3.0,0.0,0.0
8397a8fffffffff,8.0,0.0,0.0
8397aafffffffff,4.0,0.0,0.0
8397abfffffffff,2.0,0.0,0.0
8397b0fffffffff,4.0,0.0,0.0
83ac12fffffffff,2.0,0.0,0.0
83ac80fffffffff,29.0,0.0,0.0
83ac81fffffffff,1.0,0.0,0.0
83ac82fffffffff,9.0,0.0,0.0
83ac84fffffffff,6.0,0.0,0.0
83ac85fffffffff,7.0,0.0,0.0
83ac86fffffffff,181.0,0.0,49.0
83ac8afffffffff,14.0,0.0,0.0
83ac8efffffffff,7.0,0.0,0.0
83ac90fffffffff,3.0,0.0,0.0
83ac94fffffffff,1.0,0.0,1.0
83ac95fffffffff,11.0,0.0,0.0
83ac96fffffffff,54.0,0.0,4.0
83ac99fffffffff,5.0,0.0,0.0
83ac9dfffffffff,3.0,0.0,0.0
83aca0fffffffff,10.0,0.0,0.0
83aca1fffffffff,2.0,0.0,0.0
83aca2fffffffff,26.0,0.0,10.0
83aca3fffffffff,117.0,0.0,8.0
83aca4fffffffff,2.0,0.0,0.0
83aca6fffffffff,8.0,0.0,0.0
83acb1fffffffff,44.0,0.0,0.0
83acb3fffffffff,45.0,0.0,11.0
83ad9bfffffffff,2.0,0.0,0.0
83bc09fffffffff,6.0,0.0,2.0
83bc0bfffffffff,2.0,0.0,0.0
83bc1bfffffffff,14.0,0.0,0.0
83bc46fffffffff,3.0,0.0,0.0
83bc54fffffffff,1.0,0.0,1.0
83bc55fffffffff,2.0,0.0,0.0
83bc72fffffffff,2.0,0.0,0.0
83bc73fffffffff,13.0,0.0,0.0
83bc89fffffffff,73.0,0.0,37.0
83bc99fffffffff,9.0,0.0,0.0
83bcc3fffffffff,11.0,0.0,1.0
83bcc6fffffffff,4.0,0.0,0.0
83bcc8fffffffff,2.0,0.0,0.0
83bccafffffffff,27.0,0.0,0.0
83bcd0fffffffff,167.0,0.0,43.0
83bcd1fffffffff,29.0,0.0,2.0
83bcd2fffffffff,860.0,0.0,184.0
83bcd3fffffffff,59.0,0.0,21.0
83bcd4fffffffff,51.0,0.0,0.0
83bcd5fffffffff,2.0,0.0,2.0
83bcd6fffffffff,286.0,0.0,73.0
83bcd8fffffffff,23.0,0.0,0.0
83bcd9fffffffff,53.0,0.0,28.0
83bcdcfffffffff,292.0,0.0,57.0
83bcddfffffffff,68.0,0.0,9.0
83bcdefffffffff,98.0,0.0,12.0
83bce2fffffffff,8.0,0.0,0.0
83bce6fffffffff,20.0,0.0,7.0
83bce8fffffffff,2.0,0.0,0.0
83bceafffffffff,2.0,0.0,0.0
83bcf0fffffffff,63.0,0.0,6.0
83bcf1fffffffff,9.0,0.0,1.0
83bcf2fffffffff,757.0,0.0,135.0
83bcf3fffffffff,10.0,0.0,6.0
83bcf4fffffffff,3.0,0.0,0.0
83bcf5fffffffff,131.0,0.0,38.0
83bcf6fffffffff,133.0,0.0,21.0
