cell_id,Thectocercus acuticaudatus,Thectocercus acuticaudatus [haemorrhous Group],Thectocercus acuticaudatus acuticaudatus/neumanni
83a844fffffffff,1.0,0.0,0.0
83a845fffffffff,3.0,0.0,0.0
83a846fffffffff,25.0,0.0,0.0
83a84afffffffff,2.0,0.0,0.0
83a84efffffffff,7.0,0.0,0.0
83a855fffffffff,2.0,0.0,0.0
83a859fffffffff,443.0,0.0,16.0
83a85dfffffffff,172.0,0.0,8.0
83a860fffffffff,6.0,0.0,0.0
83a862fffffffff,6.0,0.0,0.0
83a864fffffffff,5.0,0.0,0.0
83a865fffffffff,3.0,0.0,0.0
83a869fffffffff,7.0,0.0,0.0
83a86bfffffffff,1.0,0.0,0.0
83a86cfffffffff,4.0,0.0,0.0
83a86dfffffffff,7.0,0.0,0.0
83a871fffffffff,1.0,0.0,0.0
83a875fffffffff,2.0,0.0,0.0
83a8a9fffffffff,2.0,0.0,0.0
83a8d2fffffffff,1.0,0.0,0.0
83a8d3fffffffff,104.0,0.0,0.0
83a940fffffffff,1.0,0.0,0.0
83a941fffffffff,275.0,0.0,0.0
83a943fffffffff,23.0,0.0,0.0
83a944fffffffff,70.0,0.0,0.0
83a945fffffffff,50.0,0.0,0.0
83a946fffffffff,24.0,0.0,0.0
83a948fffffffff,8.0,0.0,0.0
83a949fffffffff,2.0,0.0,0.0
83a94afffffffff,17.0,0.0,0.0
83a94bfffffffff,2.0,0.0,0.0
83a94cfffffffff,106.0,0.0,0.0
83a94dfffffffff,21.0,0.0,0.0
83a94efffffffff,366.0,0.0,0.0
83a959fffffffff,3.0,0.0,0.0
83a95afffffffff,1.0,0.0,0.0
83a95cfffffffff,8.0,0.0,0.0
83a95dfffffffff,76.0,0.0,0.0
83a960fffffffff,26.0,0.0,0.0
83a961fffffffff,17.0,0.0,0.0
83a962fffffffff,210.0,0.0,0.0
83a963fffffffff,22.0,0.0,0.0
83a965fffffffff,4.0,0.0,0.0
83a966fffffffff,1.0,0.0,0.0
83a968fffffffff,56.0,0.0,0.0
83a969fffffffff,6.0,0.0,0.0
83a96afffffffff,289.0,0.0,0.0
83a96bfffffffff,64.0,0.0,0.0
83a96cfffffffff,35.0,0.0,0.0
83a96efffffffff,205.0,0.0,0.0
83a971fffffffff,10.0,0.0,0.0
83b209fffffffff,33.0,0.0,0.0
83b20dfffffffff,7.0,0.0,0.0
83b229fffffffff,2.0,0.0,0.0
83b240fffffffff,10.0,0.0,0.0
83b241fffffffff,2.0,0.0,0.0
83b242fffffffff,141.0,0.0,0.0
83b243fffffffff,362.0,0.0,0.0
83b244fffffffff,10.0,0.0,0.0
83b245fffffffff,5.0,0.0,0.0
83b246fffffffff,1.0,0.0,0.0
83b24efffffffff,2.0,0.0,0.0
83b250fffffffff,20.0,0.0,0.0
83b251fffffffff,126.0,0.0,0.0
83b253fffffffff,3.0,0.0,0.0
83b254fffffffff,11.0,0.0,0.0
83b255fffffffff,15.0,0.0,0.0
83b256fffffffff,5.0,0.0,0.0
83b258fffffffff,50.0,0.0,0.0
83b25afffffffff,7.0,0.0,0.0
83b25bfffffffff,7.0,0.0,0.0
83b25cfffffffff,239.0,0.0,0.0
83b25dfffffffff,2.0,0.0,0.0
83b25efffffffff,57.0,0.0,0.0
83b262fffffffff,292.0,0.0,0.0
83b263fffffffff,13.0,0.0,0.0
83b265fffffffff,9.0,0.0,0.0
83b266fffffffff,27.0,0.0,0.0
83b268fffffffff,23.0,0.0,0.0
83b269fffffffff,4.0,0.0,0.0
83b26dfffffffff,23.0,0.0,0.0
83b26efffffffff,6.0,0.0,0.0
83b270fffffffff,180.0,0.0,0.0
83b271fffffffff,30.0,0.0,0.0
83b272fffffffff,38.0,0.0,0.0
83b275fffffffff,256.0,0.0,0.0
83b276fffffffff,7.0,0.0,0.0
83b2ecfffffffff,2.0,0.0,0.0
83b2edfffffffff,2.0,0.0,0.0
83b32dfffffffff,12.0,0.0,4.0
83b340fffffffff,24.0,0.0,0.0
83b341fffffffff,11.0,0.0,0.0
83b342fffffffff,160.0,0.0,0.0
83b343fffffffff,85.0,0.0,0.0
83b344fffffffff,8.0,0.0,0.0
83b345fffffffff,4.0,0.0,0.0
83b346fffffffff,4.0,0.0,0.0
83b348fffffffff,22.0,0.0,0.0
83b349fffffffff,41.0,0.0,0.0
83b34afffffffff,30.0,0.0,0.0
83b34bfffffffff,127.0,0.0,0.0
83b34cfffffffff,56.0,0.0,0.0
83b34dfffffffff,143.0,0.0,0.0
83b34efffffffff,12.0,0.0,0.0
83b358fffffffff,73.0,0.0,0.0
83b359fffffffff,6.0,0.0,0.0
83b35afffffffff,44.0,0.0,0.0
83b35bfffffffff,19.0,0.0,0.0
83b35cfffffffff,47.0,0.0,0.0
83b35dfffffffff,74.0,0.0,0.0
83b35efffffffff,354.0,0.0,0.0
83b360fffffffff,18.0,0.0,0.0
83b361fffffffff,30.0,0.0,0.0
83b362fffffffff,74.0,0.0,0.0
83b363fffffffff,29.0,0.0,0.0
83b364fffffffff,2.0,0.0,0.0
83b365fffffffff,10.0,0.0,0.0
83b366fffffffff,53.0,0.0,0.0
83b368fffffffff,42.0,0.0,0.0
83b369fffffffff,23.0,0.0,0.0
83b36afffffffff,8.0,0.0,0.0
83b36bfffffffff,15.0,0.0,0.0
83b36cfffffffff,1.0,0.0,0.0
83b36dfffffffff,91.0,0.0,0.0
83c2c8fffffffff,3.0,0.0,0.0
83c2cafffffffff,1.0,0.0,0.0
83c2cbfffffffff,55.0,0.0,0.0
83c2e2fffffffff,5.0,0.0,0.0
83c2e3fffffffff,5.0,0.0,0.0
83c2eefffffffff,1.0,0.0,0.0
83c340fffffffff,296.0,0.0,0.0
83c341fffffffff,31.0,0.0,0.0
83c342fffffffff,14.0,0.0,0.0
83c343fffffffff,23.0,0.0,0.0
83c344fffffffff,9.0,0.0,0.0
83c345fffffffff,59.0,0.0,0.0
83c346fffffffff,35.0,0.0,0.0
83c34cfffffffff,23.0,0.0,0.0
83c34efffffffff,23.0,0.0,0.0
83c350fffffffff,8.0,0.0,0.0
83c354fffffffff,18.0,0.0,0.0
83c355fffffffff,6.0,0.0,0.0
83c356fffffffff,13.0,0.0,0.0
83c35dfffffffff,2.0,0.0,0.0
83c36afffffffff,13.0,0.0,0.0
83c36bfffffffff,3.0,0.0,0.0
83c370fffffffff,6.0,0.0,0.0
83c371fffffffff,64.0,0.0,0.0
83c373fffffffff,40.0,0.0,0.0
