cell_id,Cyanopica cyanus,Cyanopica cyanus [cyanus Group],Cyanopica cyanus japonica
8331aafffffffff,2263.0,310.0,0.0
8331abfffffffff,6.0,0.0,0.0
8331aefffffffff,6.0,0.0,0.0
8331b1fffffffff,2.0,0.0,0.0
83400cfffffffff,2.0,0.0,0.0
834012fffffffff,2.0,0.0,0.0
834019fffffffff,3.0,0.0,0.0
83401dfffffffff,1.0,0.0,0.0
834071fffffffff,16.0,3.0,0.0
834082fffffffff,2.0,0.0,0.0
834088fffffffff,16.0,0.0,0.0
834089fffffffff,1.0,0.0,0.0
83408afffffffff,10.0,0.0,0.0
83408bfffffffff,1.0,0.0,0.0
83408efffffffff,21.0,3.0,0.0
834090fffffffff,21.0,8.0,0.0
834091fffffffff,1.0,0.0,0.0
834095fffffffff,8.0,0.0,0.0
834096fffffffff,8.0,0.0,0.0
8340a0fffffffff,12.0,0.0,0.0
8340a2fffffffff,1.0,0.0,0.0
8340a4fffffffff,20.0,0.0,0.0
8340a5fffffffff,2.0,0.0,0.0
8340a6fffffffff,44.0,7.0,0.0
8340b5fffffffff,74.0,2.0,0.0
8340c0fffffffff,2.0,2.0,0.0
8340c1fffffffff,8.0,4.0,0.0
8340c2fffffffff,6.0,4.0,0.0
8340c3fffffffff,19.0,6.0,0.0
8340c6fffffffff,4.0,0.0,0.0
8340cefffffffff,3.0,0.0,0.0
8340d0fffffffff,4.0,0.0,0.0
8340dbfffffffff,2.0,0.0,0.0
8340dcfffffffff,18.0,2.0,0.0
8340defffffffff,7.0,6.0,0.0
8340e2fffffffff,2.0,0.0,0.0
8340e3fffffffff,4.0,2.0,0.0
834118fffffffff,3.0,0.0,0.0
83411cfffffffff,873.0,66.0,0.0
83411dfffffffff,6.0,0.0,0.0
834172fffffffff,6.0,0.0,0.0
834183fffffffff,4.0,2.0,0.0
834186fffffffff,2.0,0.0,0.0
834189fffffffff,8.0,0.0,0.0
83418bfffffffff,9.0,0.0,0.0
834193fffffffff,1.0,0.0,0.0
834198fffffffff,4.0,0.0,0.0
834199fffffffff,3.0,0.0,0.0
83419afffffffff,5.0,0.0,0.0
83419bfffffffff,6.0,0.0,0.0
83419efffffffff,3.0,0.0,0.0
8341a5fffffffff,12.0,0.0,0.0
8341b5fffffffff,2.0,0.0,0.0
834b32fffffffff,2.0,2.0,0.0
834b34fffffffff,3.0,0.0,0.0
834ba0fffffffff,5.0,0.0,0.0
834ba2fffffffff,15.0,0.0,0.0
834ba5fffffffff,3.0,0.0,0.0
834ba6fffffffff,87.0,0.0,0.0
834bb1fffffffff,192.0,0.0,0.0
834bb5fffffffff,23.0,0.0,0.0
