cell_id,Trachyphonus darnaudii,Trachyphonus darnaudii darnaudii/boehmi,Trachyphonus darnaudii usambiro,Trachyphonus darnaudii emini
847b4cbffffffff,1.0,0.0,0.0,0.0
847b591ffffffff,1.0,0.0,0.0,0.0
847b597ffffffff,10.0,0.0,0.0,0.0
847b6bbffffffff,1.0,0.0,0.0,0.0
8496861ffffffff,3.0,0.0,0.0,0.0
8496901ffffffff,14.0,0.0,0.0,0.0
8496903ffffffff,2.0,0.0,0.0,0.0
8496905ffffffff,34.0,7.0,0.0,12.0
8496907ffffffff,143.0,15.0,0.0,4.0
8496915ffffffff,2.0,0.0,0.0,0.0
8496925ffffffff,13.0,8.0,0.0,1.0
849692bffffffff,76.0,12.0,0.0,5.0
849692dffffffff,19.0,0.0,0.0,0.0
8496931ffffffff,7.0,0.0,2.0,0.0
8496933ffffffff,123.0,1.0,97.0,0.0
8496935ffffffff,11.0,1.0,7.0,0.0
8496937ffffffff,53.0,0.0,29.0,0.0
8496939ffffffff,1.0,0.0,0.0,0.0
849693dffffffff,114.0,11.0,22.0,0.0
84969a1ffffffff,21.0,0.0,20.0,0.0
84969a5ffffffff,40.0,0.0,24.0,0.0
84969adffffffff,2.0,0.0,0.0,0.0
8496a27ffffffff,4.0,0.0,0.0,0.0
8496b01ffffffff,3.0,0.0,0.0,1.0
8496b03ffffffff,3.0,0.0,0.0,2.0
8496b13ffffffff,33.0,2.0,0.0,0.0
8496b19ffffffff,144.0,2.0,0.0,21.0
8496b1bffffffff,70.0,7.0,0.0,11.0
8496b37ffffffff,1.0,0.0,0.0,0.0
8496b6dffffffff,1.0,0.0,0.0,0.0
