cell_id,Celeus undatus,Celeus undatus [grammicus Group],Celeus undatus [undatus Group]
838a05fffffffff,41.0,38.0,2.0
838a10fffffffff,12.0,12.0,0.0
838a14fffffffff,2.0,2.0,0.0
838a15fffffffff,4.0,4.0,0.0
838a1afffffffff,21.0,21.0,0.0
838a1efffffffff,2.0,2.0,0.0
838a21fffffffff,5.0,5.0,0.0
838a23fffffffff,1.0,1.0,0.0
838a24fffffffff,1.0,1.0,0.0
838a2afffffffff,1.0,1.0,0.0
838a2cfffffffff,3.0,3.0,0.0
838a31fffffffff,9.0,9.0,0.0
838a33fffffffff,2.0,2.0,0.0
838a45fffffffff,123.0,114.0,0.0
838a4bfffffffff,4.0,4.0,0.0
838a4cfffffffff,1.0,1.0,0.0
838a52fffffffff,2.0,2.0,0.0
838a56fffffffff,6.0,6.0,0.0
838a5afffffffff,2.0,2.0,0.0
838a63fffffffff,27.0,27.0,0.0
838a68fffffffff,5.0,5.0,0.0
838a69fffffffff,66.0,66.0,0.0
838a6bfffffffff,1.0,1.0,0.0
838a6dfffffffff,263.0,261.0,0.0
838a70fffffffff,11.0,11.0,0.0
838a73fffffffff,4.0,4.0,0.0
838a75fffffffff,9.0,9.0,0.0
838a80fffffffff,7.0,7.0,0.0
838a81fffffffff,5.0,5.0,0.0
838a82fffffffff,2.0,2.0,0.0
838a83fffffffff,2.0,1.0,1.0
838a8efffffffff,1.0,0.0,1.0
838a92fffffffff,10.0,0.0,10.0
838a9cfffffffff,13.0,13.0,0.0
838aa8fffffffff,14.0,14.0,0.0
838aa9fffffffff,2.0,2.0,0.0
838aaafffffffff,28.0,28.0,0.0
838aacfffffffff,2.0,2.0,0.0
838aadfffffffff,2.0,2.0,0.0
838adcfffffffff,1.0,1.0,0.0
838ae5fffffffff,4.0,4.0,0.0
838ae8fffffffff,1.0,1.0,0.0
838af0fffffffff,100.0,91.0,9.0
838af1fffffffff,5.0,5.0,0.0
838af2fffffffff,80.0,0.0,78.0
838af4fffffffff,45.0,42.0,3.0
838af6fffffffff,341.0,7.0,332.0
838b1efffffffff,1.0,1.0,0.0
838b40fffffffff,13.0,13.0,0.0
838b44fffffffff,89.0,87.0,0.0
838b45fffffffff,9.0,9.0,0.0
838b46fffffffff,14.0,13.0,0.0
838b52fffffffff,1.0,1.0,0.0
838b53fffffffff,2.0,2.0,0.0
838b56fffffffff,2.0,2.0,0.0
838b62fffffffff,1.0,1.0,0.0
838b63fffffffff,109.0,109.0,0.0
838b68fffffffff,8.0,8.0,0.0
838b69fffffffff,22.0,22.0,0.0
838b6efffffffff,64.0,63.0,0.0
838b71fffffffff,59.0,58.0,0.0
838b74fffffffff,4.0,1.0,0.0
838b84fffffffff,1.0,1.0,0.0
838b99fffffffff,63.0,61.0,0.0
838b9dfffffffff,149.0,149.0,0.0
838e64fffffffff,2.0,2.0,0.0
838e65fffffffff,1.0,1.0,0.0
838f40fffffffff,25.0,25.0,0.0
838f43fffffffff,1.0,1.0,0.0
838f44fffffffff,10.0,10.0,0.0
838f48fffffffff,48.0,48.0,0.0
838f4bfffffffff,10.0,10.0,0.0
838f4efffffffff,2.0,2.0,0.0
838f5dfffffffff,2.0,2.0,0.0
838f61fffffffff,41.0,40.0,0.0
838f65fffffffff,37.0,37.0,0.0
838f6bfffffffff,6.0,6.0,0.0
838f6efffffffff,2.0,2.0,0.0
838f71fffffffff,14.0,14.0,0.0
83a859fffffffff,2.0,2.0,0.0
