cell_id,Poecile montanus,Poecile montanus [montanus Group],Poecile montanus [songarus Group]
82149ffffffffff,44.0,0.0,0.0
8214affffffffff,24.0,0.0,0.0
8214d7fffffffff,4.0,0.0,0.0
82155ffffffffff,3.0,0.0,0.0
82158ffffffffff,11.0,0.0,0.0
82159ffffffffff,37.0,14.0,0.0
821617fffffffff,41.0,1.0,0.0
821637fffffffff,2.0,0.0,0.0
82171ffffffffff,6.0,0.0,0.0
82178ffffffffff,13.0,0.0,0.0
82182ffffffffff,2.0,2.0,0.0
821877fffffffff,2.0,0.0,0.0
82190ffffffffff,1.0,0.0,0.0
821947fffffffff,377.0,51.0,0.0
82194ffffffffff,30.0,6.0,0.0
821957fffffffff,163.0,22.0,0.0
82195ffffffffff,68.0,16.0,0.0
82196ffffffffff,258.0,21.0,0.0
821977fffffffff,96.0,2.0,0.0
821e07fffffffff,232.0,10.0,0.0
821e0ffffffffff,69.0,6.0,0.0
821e17fffffffff,224.0,7.0,0.0
821e1ffffffffff,12.0,1.0,0.0
821e27fffffffff,146.0,4.0,0.0
821e2ffffffffff,232.0,0.0,0.0
821e37fffffffff,605.0,5.0,0.0
821e57fffffffff,38.0,0.0,0.0
821e67fffffffff,37.0,2.0,0.0
821e6ffffffffff,10.0,0.0,0.0
821e77fffffffff,11.0,0.0,0.0
821ea7fffffffff,12.0,2.0,0.0
821eaffffffffff,26.0,4.0,0.0
821eb7fffffffff,2.0,0.0,0.0
821ec7fffffffff,293.0,43.0,0.0
821ecffffffffff,6.0,3.0,0.0
821ed7fffffffff,8.0,0.0,0.0
821ee7fffffffff,4.0,1.0,0.0
821eeffffffffff,3.0,0.0,0.0
821ef7fffffffff,29.0,17.0,0.0
821f07fffffffff,46.0,8.0,0.0
821f0ffffffffff,58.0,0.0,0.0
821f17fffffffff,127.0,4.0,0.0
821f1ffffffffff,100.0,8.0,0.0
821f27fffffffff,6.0,2.0,0.0
821f2ffffffffff,75.0,28.0,0.0
821f37fffffffff,10.0,3.0,0.0
821f47fffffffff,72.0,0.0,0.0
821f4ffffffffff,134.0,0.0,0.0
821f57fffffffff,87.0,0.0,0.0
821f5ffffffffff,127.0,25.0,0.0
821f67fffffffff,134.0,15.0,0.0
821f6ffffffffff,18.0,0.0,0.0
821f77fffffffff,298.0,6.0,0.0
821f87fffffffff,160.0,9.0,0.0
821f8ffffffffff,623.0,101.0,0.0
821f97fffffffff,109.0,19.0,0.0
821f9ffffffffff,462.0,62.0,0.0
821fa7fffffffff,243.0,12.0,0.0
821faffffffffff,211.0,0.0,0.0
821fb7fffffffff,18.0,2.0,0.0
82202ffffffffff,1.0,0.0,0.0
822047fffffffff,1.0,0.0,0.0
82204ffffffffff,35.0,18.0,0.0
82206ffffffffff,20.0,12.0,0.0
8220e7fffffffff,58.0,0.0,51.0
8220f7fffffffff,2.0,0.0,2.0
822127fffffffff,1.0,0.0,0.0
822407fffffffff,1.0,1.0,0.0
822427fffffffff,57.0,6.0,0.0
82242ffffffffff,1.0,0.0,0.0
822467fffffffff,7.0,0.0,0.0
82248ffffffffff,41.0,0.0,22.0
8224c7fffffffff,28.0,0.0,0.0
8224d7fffffffff,5.0,0.0,3.0
822507fffffffff,2.0,0.0,0.0
822517fffffffff,1.0,0.0,0.0
82251ffffffffff,3.0,1.0,0.0
822537fffffffff,3.0,0.0,0.0
822547fffffffff,95.0,4.0,0.0
822557fffffffff,4.0,0.0,0.0
82255ffffffffff,220.0,20.0,0.0
82256ffffffffff,1.0,1.0,0.0
822577fffffffff,50.0,0.0,0.0
822e0ffffffffff,4.0,0.0,0.0
822e17fffffffff,38.0,13.0,0.0
822e1ffffffffff,31.0,0.0,0.0
822e2ffffffffff,2.0,2.0,0.0
822e47fffffffff,1.0,0.0,0.0
822e67fffffffff,14.0,0.0,0.0
822e6ffffffffff,36.0,0.0,0.0
822e77fffffffff,478.0,148.0,0.0
822e8ffffffffff,18.0,2.0,0.0
822eaffffffffff,98.0,28.0,0.0
822ec7fffffffff,5.0,0.0,0.0
822ecffffffffff,4.0,0.0,0.0
822ed7fffffffff,3.0,0.0,0.0
822edffffffffff,4.0,0.0,0.0
822eeffffffffff,1.0,0.0,0.0
822ef7fffffffff,2.0,0.0,0.0
822f5ffffffffff,68.0,15.0,0.0
823007fffffffff,2.0,0.0,0.0
823027fffffffff,1.0,0.0,0.0
823037fffffffff,2.0,0.0,0.0
823117fffffffff,5.0,0.0,0.0
823147fffffffff,1.0,0.0,0.0
823157fffffffff,1.0,0.0,0.0
82316ffffffffff,34.0,10.0,0.0
823177fffffffff,1.0,0.0,0.0
823187fffffffff,543.0,0.0,258.0
823197fffffffff,32.0,0.0,12.0
8231a7fffffffff,8.0,0.0,2.0
8231affffffffff,156.0,0.0,41.0
82396ffffffffff,10.0,0.0,0.0
82408ffffffffff,8.0,0.0,7.0
8240cffffffffff,3.0,0.0,0.0
8240d7fffffffff,14.0,0.0,0.0
824b67fffffffff,3.0,1.0,0.0
824b77fffffffff,7.0,0.0,0.0
