cell_id,Parus cinereus,Parus cinereus [cinereus Group],Parus cinereus [minor Group],Parus cinereus commixtus,Parus cinereus amamiensis,Parus cinereus okinawae,Parus cinereus nigriloris
842e607ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e609ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e60bffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e60dffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e611ffffffff,145.0,0.0,144.0,0.0,0.0,0.0,0.0
842e613ffffffff,14.0,0.0,14.0,0.0,0.0,0.0,0.0
842e615ffffffff,206.0,0.0,206.0,0.0,0.0,0.0,0.0
842e617ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
842e619ffffffff,56.0,0.0,56.0,0.0,0.0,0.0,0.0
842e61dffffffff,9.0,0.0,9.0,0.0,0.0,0.0,0.0
842e625ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
842e627ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e62dffffffff,8.0,0.0,8.0,0.0,0.0,0.0,0.0
842e631ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e633ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e639ffffffff,18.0,0.0,18.0,0.0,0.0,0.0,0.0
842e63dffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
842e645ffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
842e653ffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
842e655ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e663ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e667ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e669ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e681ffffffff,7.0,0.0,7.0,0.0,0.0,0.0,0.0
842e683ffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
842e685ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e687ffffffff,20.0,0.0,20.0,0.0,0.0,0.0,0.0
842e689ffffffff,443.0,0.0,443.0,0.0,0.0,0.0,0.0
842e68bffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
842e68dffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
842e693ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e699ffffffff,14.0,0.0,14.0,0.0,0.0,0.0,0.0
842e69bffffffff,17.0,0.0,17.0,0.0,0.0,0.0,0.0
842e69dffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e6b5ffffffff,13.0,0.0,13.0,0.0,0.0,0.0,0.0
842e6bbffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e6c3ffffffff,7.0,0.0,7.0,0.0,0.0,0.0,0.0
842e6c5ffffffff,8.0,0.0,8.0,0.0,0.0,0.0,0.0
842e6c7ffffffff,8.0,0.0,8.0,0.0,0.0,0.0,0.0
842e6d5ffffffff,91.0,0.0,91.0,0.0,0.0,0.0,0.0
842e6d7ffffffff,5.0,0.0,5.0,0.0,0.0,0.0,0.0
842e6ddffffffff,4.0,0.0,4.0,0.0,0.0,0.0,0.0
842e6e1ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e6e3ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e6e5ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e6edffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e70dffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e713ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e721ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e729ffffffff,10.0,0.0,10.0,0.0,0.0,0.0,0.0
842e72bffffffff,8.0,0.0,8.0,0.0,0.0,0.0,0.0
842e72dffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e741ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e743ffffffff,3.0,0.0,3.0,0.0,0.0,0.0,0.0
842e745ffffffff,85.0,0.0,85.0,0.0,0.0,0.0,0.0
842e747ffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e749ffffffff,31.0,0.0,31.0,0.0,0.0,0.0,0.0
842e74bffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e74dffffffff,2.0,0.0,2.0,0.0,0.0,0.0,0.0
842e751ffffffff,10.0,0.0,10.0,0.0,0.0,0.0,0.0
842e753ffffffff,17.0,0.0,17.0,0.0,0.0,0.0,0.0
842e755ffffffff,41.0,0.0,41.0,0.0,0.0,0.0,0.0
842e757ffffffff,12.0,0.0,12.0,0.0,0.0,0.0,0.0
842e759ffffffff,86.0,0.0,86.0,0.0,0.0,0.0,0.0
842e75bffffffff,6.0,0.0,6.0,0.0,0.0,0.0,0.0
842e75dffffffff,476.0,0.0,476.0,0.0,0.0,0.0,0.0
842e763ffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
842e767ffffffff,7.0,0.0,7.0,0.0,0.0,0.0,0.0
842e76dffffffff,1.0,0.0,1.0,0.0,0.0,0.0,0.0
