cell_id,Sciaphylax hemimelaena,Sciaphylax hemimelaena hemimelaena,Sciaphylax hemimelaena pallens
848b463ffffffff,2.0,0.0,0.0
848b469ffffffff,50.0,0.0,0.0
848b46bffffffff,50.0,0.0,0.0
848b4adffffffff,1.0,0.0,0.0
848b4e5ffffffff,33.0,1.0,0.0
848b511ffffffff,21.0,0.0,0.0
848b513ffffffff,48.0,5.0,0.0
848b525ffffffff,1.0,0.0,0.0
848b527ffffffff,2.0,0.0,0.0
848b53dffffffff,2.0,0.0,0.0
848b55dffffffff,1.0,0.0,0.0
848b567ffffffff,2.0,0.0,0.0
848b56bffffffff,2.0,0.0,0.0
848b5c3ffffffff,4.0,0.0,0.0
848b5cdffffffff,118.0,43.0,0.0
848b5e9ffffffff,2.0,0.0,0.0
848b617ffffffff,409.0,7.0,0.0
848b623ffffffff,15.0,2.0,0.0
848b627ffffffff,65.0,0.0,0.0
848b62bffffffff,3.0,0.0,0.0
848b631ffffffff,9.0,3.0,0.0
848b633ffffffff,11.0,0.0,0.0
848b635ffffffff,29.0,0.0,0.0
848b637ffffffff,147.0,8.0,0.0
848b639ffffffff,2.0,0.0,0.0
848b63bffffffff,242.0,16.0,0.0
848b63dffffffff,6.0,0.0,0.0
848b683ffffffff,5.0,0.0,0.0
848b689ffffffff,1.0,0.0,0.0
848b68bffffffff,3.0,0.0,0.0
848b691ffffffff,8.0,0.0,0.0
848b693ffffffff,9.0,0.0,0.0
848b695ffffffff,10.0,0.0,0.0
848b697ffffffff,1.0,0.0,0.0
848b699ffffffff,2.0,0.0,0.0
848b69bffffffff,4.0,0.0,0.0
848b6bbffffffff,6.0,0.0,0.0
848b6c1ffffffff,2.0,0.0,0.0
848b6c3ffffffff,5.0,0.0,0.0
848b6c5ffffffff,6.0,0.0,0.0
848b6cbffffffff,23.0,0.0,0.0
848b6d9ffffffff,2.0,0.0,0.0
848b6e1ffffffff,6.0,0.0,0.0
848b6e5ffffffff,25.0,0.0,0.0
848b6e7ffffffff,88.0,0.0,0.0
848b6edffffffff,109.0,6.0,0.0
848b709ffffffff,49.0,0.0,0.0
848b711ffffffff,1.0,0.0,0.0
848b713ffffffff,250.0,3.0,0.0
848b717ffffffff,24.0,0.0,0.0
848b71bffffffff,34.0,0.0,0.0
848b743ffffffff,1.0,0.0,0.0
848b745ffffffff,6.0,0.0,0.0
848b747ffffffff,23.0,0.0,0.0
848b751ffffffff,18.0,0.0,0.0
848b755ffffffff,6.0,0.0,0.0
848b757ffffffff,9.0,0.0,0.0
848b75dffffffff,12.0,0.0,0.0
848b763ffffffff,1.0,0.0,0.0
848b835ffffffff,1.0,0.0,1.0
848b839ffffffff,2.0,0.0,2.0
848b849ffffffff,48.0,0.0,20.0
848b881ffffffff,10.0,0.0,0.0
848b8a5ffffffff,1.0,0.0,0.0
848b8dbffffffff,2.0,0.0,2.0
848b999ffffffff,5.0,0.0,0.0
848b99dffffffff,6.0,0.0,0.0
848b9c9ffffffff,1.0,0.0,0.0
848b9d1ffffffff,20.0,0.0,7.0
848b9d5ffffffff,12.0,0.0,0.0
848b9d7ffffffff,2.0,0.0,0.0
848e643ffffffff,21.0,0.0,0.0
848e649ffffffff,1.0,0.0,0.0
848e651ffffffff,1.0,0.0,0.0
848e659ffffffff,2.0,0.0,0.0
848e65bffffffff,3.0,0.0,0.0
848e6c9ffffffff,2.0,0.0,0.0
848f401ffffffff,163.0,3.0,0.0
848f407ffffffff,22.0,2.0,0.0
848f40bffffffff,2.0,0.0,0.0
848f40dffffffff,10.0,0.0,0.0
848f423ffffffff,2.0,0.0,0.0
848f435ffffffff,2.0,0.0,0.0
848f437ffffffff,2.0,0.0,0.0
848f439ffffffff,15.0,0.0,0.0
848f461ffffffff,1.0,0.0,0.0
848f463ffffffff,6.0,0.0,0.0
848f465ffffffff,6.0,0.0,0.0
848f485ffffffff,13.0,0.0,0.0
848f487ffffffff,4.0,0.0,0.0
848f489ffffffff,20.0,0.0,0.0
848f48dffffffff,5.0,0.0,0.0
848f495ffffffff,2.0,0.0,0.0
848f4a5ffffffff,1.0,0.0,0.0
848f4a7ffffffff,1.0,0.0,0.0
848f4a9ffffffff,2.0,0.0,0.0
848f4abffffffff,2.0,0.0,0.0
848f4adffffffff,2.0,0.0,0.0
848f4b3ffffffff,11.0,0.0,0.0
848f4c7ffffffff,4.0,0.0,0.0
848f4d9ffffffff,1.0,0.0,0.0
848f5d3ffffffff,2.0,0.0,0.0
848f6b3ffffffff,3.0,0.0,0.0
848f6b5ffffffff,16.0,6.0,0.0
848f6cdffffffff,1.0,0.0,0.0
848f6ebffffffff,5.0,0.0,0.0
84b324bffffffff,12.0,0.0,0.0
84b3259ffffffff,2.0,0.0,0.0
84b325bffffffff,2.0,0.0,0.0
