cell_id,Ramphastos tucanus,Ramphastos tucanus tucanus,Ramphastos tucanus cuvieri/inca
8366c0fffffffff,90.0,0.0,0.0
8366c1fffffffff,16.0,0.0,0.0
8366c2fffffffff,737.0,0.0,2.0
8366c3fffffffff,30.0,0.0,3.0
8366c5fffffffff,215.0,0.0,0.0
8366c9fffffffff,20.0,0.0,0.0
8366cdfffffffff,18.0,0.0,1.0
8366cefffffffff,196.0,0.0,1.0
8366d1fffffffff,424.0,0.0,2.0
8366d8fffffffff,287.0,0.0,17.0
8366dafffffffff,70.0,0.0,1.0
8366dbfffffffff,45.0,0.0,7.0
8366dcfffffffff,2343.0,0.0,241.0
8366ddfffffffff,328.0,0.0,16.0
8366defffffffff,949.0,0.0,125.0
8366e0fffffffff,57.0,0.0,0.0
8366e1fffffffff,621.0,0.0,0.0
8366e3fffffffff,370.0,0.0,0.0
8366e5fffffffff,578.0,0.0,0.0
8366e8fffffffff,30.0,0.0,0.0
8366e9fffffffff,38.0,0.0,0.0
8366eafffffffff,13.0,0.0,0.0
8366ecfffffffff,783.0,0.0,1.0
8366eefffffffff,471.0,0.0,0.0
836758fffffffff,4.0,0.0,0.0
83675afffffffff,25.0,0.0,0.0
838029fffffffff,1.0,0.0,0.0
838044fffffffff,61.0,0.0,0.0
838046fffffffff,408.0,0.0,0.0
83804cfffffffff,19.0,0.0,0.0
83804dfffffffff,1.0,0.0,0.0
838061fffffffff,56.0,0.0,0.0
838062fffffffff,11.0,0.0,0.0
838063fffffffff,1.0,0.0,0.0
838065fffffffff,105.0,0.0,0.0
838066fffffffff,18.0,0.0,0.0
838068fffffffff,4.0,0.0,0.0
83806afffffffff,38.0,0.0,0.0
83806bfffffffff,62.0,0.0,0.0
83806efffffffff,3.0,0.0,0.0
838071fffffffff,38.0,0.0,0.0
838072fffffffff,3.0,0.0,0.0
838074fffffffff,12.0,0.0,0.0
838075fffffffff,30.0,0.0,0.0
838140fffffffff,35.0,0.0,0.0
838142fffffffff,13.0,0.0,0.0
838143fffffffff,24.0,0.0,0.0
838144fffffffff,2.0,0.0,0.0
838146fffffffff,12.0,0.0,0.0
83814afffffffff,345.0,0.0,0.0
83814cfffffffff,2.0,0.0,0.0
83814dfffffffff,124.0,0.0,0.0
83814efffffffff,114.0,0.0,0.0
838151fffffffff,3.0,0.0,0.0
838158fffffffff,2.0,0.0,0.0
838159fffffffff,11.0,0.0,0.0
83815afffffffff,20.0,0.0,0.0
83815cfffffffff,16.0,0.0,0.0
83815dfffffffff,90.0,0.0,0.0
83815efffffffff,1.0,0.0,0.0
838163fffffffff,12.0,0.0,0.0
838a00fffffffff,43.0,1.0,0.0
838a01fffffffff,30.0,0.0,2.0
838a04fffffffff,8.0,0.0,0.0
838a05fffffffff,145.0,0.0,0.0
838a06fffffffff,2.0,0.0,0.0
838a10fffffffff,91.0,0.0,0.0
838a12fffffffff,3.0,0.0,0.0
838a14fffffffff,6.0,0.0,0.0
838a15fffffffff,42.0,1.0,0.0
838a18fffffffff,2.0,0.0,0.0
838a19fffffffff,1.0,0.0,1.0
838a1afffffffff,40.0,0.0,4.0
838a1bfffffffff,1.0,0.0,0.0
838a21fffffffff,30.0,0.0,0.0
838a23fffffffff,10.0,0.0,0.0
838a24fffffffff,23.0,0.0,0.0
838a25fffffffff,2.0,0.0,0.0
838a2cfffffffff,1.0,0.0,0.0
838a31fffffffff,118.0,0.0,0.0
838a33fffffffff,42.0,0.0,0.0
838a40fffffffff,2.0,0.0,0.0
838a41fffffffff,5.0,0.0,0.0
838a43fffffffff,8.0,0.0,0.0
838a45fffffffff,328.0,0.0,0.0
838a48fffffffff,3.0,0.0,0.0
838a4bfffffffff,15.0,0.0,4.0
838a4efffffffff,2.0,0.0,0.0
838a52fffffffff,6.0,0.0,0.0
838a56fffffffff,3.0,0.0,0.0
838a63fffffffff,94.0,2.0,2.0
838a68fffffffff,28.0,0.0,0.0
838a69fffffffff,695.0,0.0,19.0
838a6bfffffffff,2.0,0.0,0.0
838a6dfffffffff,473.0,0.0,10.0
838a6efffffffff,3.0,0.0,0.0
838a70fffffffff,24.0,0.0,0.0
838a73fffffffff,22.0,0.0,0.0
838a75fffffffff,15.0,0.0,0.0
838a80fffffffff,63.0,0.0,0.0
838a81fffffffff,34.0,0.0,0.0
838a82fffffffff,25.0,0.0,0.0
838a83fffffffff,1.0,0.0,0.0
838a85fffffffff,13.0,0.0,0.0
838a8afffffffff,1.0,0.0,0.0
838a8cfffffffff,3.0,0.0,0.0
838a8dfffffffff,8.0,0.0,0.0
838a90fffffffff,3.0,0.0,0.0
838a91fffffffff,4.0,0.0,0.0
838a92fffffffff,34.0,0.0,0.0
838a99fffffffff,5.0,0.0,0.0
838a9cfffffffff,63.0,0.0,0.0
838a9dfffffffff,7.0,0.0,0.0
838aa8fffffffff,69.0,0.0,0.0
838aa9fffffffff,31.0,0.0,0.0
838aaafffffffff,109.0,0.0,0.0
838aabfffffffff,19.0,1.0,0.0
838aacfffffffff,17.0,0.0,0.0
838aadfffffffff,19.0,0.0,0.0
838ab2fffffffff,1.0,0.0,0.0
838ac4fffffffff,1.0,0.0,0.0
838ad1fffffffff,1.0,0.0,0.0
838ad8fffffffff,27.0,0.0,0.0
838adafffffffff,2.0,0.0,0.0
838adbfffffffff,31.0,0.0,0.0
838adcfffffffff,34.0,0.0,0.0
838adefffffffff,4.0,0.0,0.0
838ae1fffffffff,1.0,0.0,0.0
838ae5fffffffff,57.0,0.0,37.0
838aeefffffffff,4.0,0.0,0.0
838af0fffffffff,253.0,15.0,39.0
838af1fffffffff,66.0,0.0,33.0
838af2fffffffff,478.0,66.0,0.0
838af4fffffffff,173.0,0.0,5.0
838af6fffffffff,1296.0,118.0,27.0
838b00fffffffff,2.0,0.0,0.0
838b01fffffffff,1.0,0.0,0.0
838b06fffffffff,1.0,0.0,0.0
838b0bfffffffff,2.0,0.0,0.0
838b11fffffffff,8.0,0.0,0.0
838b1afffffffff,2.0,0.0,0.0
838b1cfffffffff,2.0,0.0,0.0
838b1dfffffffff,11.0,0.0,0.0
838b1efffffffff,5.0,0.0,0.0
838b21fffffffff,9.0,0.0,2.0
838b22fffffffff,127.0,0.0,7.0
838b23fffffffff,17.0,0.0,1.0
838b28fffffffff,4.0,0.0,4.0
838b2afffffffff,2.0,0.0,0.0
838b2cfffffffff,30.0,0.0,0.0
838b2efffffffff,15.0,0.0,0.0
838b40fffffffff,224.0,0.0,8.0
838b42fffffffff,17.0,0.0,0.0
838b44fffffffff,838.0,0.0,37.0
838b45fffffffff,57.0,0.0,14.0
838b46fffffffff,87.0,0.0,0.0
838b48fffffffff,8.0,0.0,0.0
838b4efffffffff,48.0,0.0,0.0
838b50fffffffff,2.0,0.0,0.0
838b51fffffffff,39.0,0.0,0.0
838b52fffffffff,19.0,0.0,2.0
838b53fffffffff,4.0,0.0,0.0
838b56fffffffff,31.0,0.0,2.0
838b5cfffffffff,68.0,0.0,0.0
838b5dfffffffff,9.0,0.0,0.0
838b5efffffffff,2.0,0.0,0.0
838b61fffffffff,260.0,0.0,16.0
838b62fffffffff,168.0,0.0,10.0
838b63fffffffff,986.0,0.0,51.0
838b68fffffffff,9.0,0.0,0.0
838b69fffffffff,87.0,0.0,0.0
838b6cfffffffff,36.0,0.0,0.0
838b6efffffffff,279.0,0.0,9.0
838b70fffffffff,19.0,0.0,2.0
838b71fffffffff,1080.0,0.0,14.0
838b74fffffffff,56.0,0.0,3.0
838b75fffffffff,26.0,0.0,14.0
838b76fffffffff,3.0,0.0,0.0
838b82fffffffff,10.0,0.0,0.0
838b83fffffffff,4.0,0.0,0.0
838b84fffffffff,58.0,0.0,0.0
838b88fffffffff,84.0,0.0,0.0
838b8afffffffff,4.0,0.0,0.0
838b96fffffffff,12.0,0.0,0.0
838b99fffffffff,182.0,0.0,0.0
838b9dfffffffff,976.0,0.0,0.0
838ba0fffffffff,33.0,0.0,0.0
838ba4fffffffff,2.0,0.0,0.0
838ba6fffffffff,9.0,0.0,0.0
838bb5fffffffff,16.0,0.0,0.0
838e64fffffffff,14.0,0.0,0.0
838e65fffffffff,5.0,0.0,0.0
838f40fffffffff,238.0,0.0,0.0
838f42fffffffff,2.0,0.0,0.0
838f43fffffffff,24.0,0.0,0.0
838f44fffffffff,22.0,0.0,0.0
838f46fffffffff,61.0,0.0,0.0
838f48fffffffff,119.0,0.0,0.0
838f49fffffffff,4.0,0.0,0.0
838f4afffffffff,14.0,0.0,0.0
838f4bfffffffff,9.0,0.0,0.0
838f4cfffffffff,5.0,0.0,0.0
838f4efffffffff,5.0,0.0,0.0
838f5dfffffffff,15.0,0.0,0.0
838f61fffffffff,168.0,0.0,0.0
838f63fffffffff,13.0,0.0,0.0
838f65fffffffff,213.0,0.0,0.0
838f6bfffffffff,77.0,0.0,0.0
838f6efffffffff,22.0,0.0,0.0
838f70fffffffff,9.0,0.0,0.0
838f71fffffffff,10.0,0.0,0.0
838f72fffffffff,27.0,0.0,0.0
838f74fffffffff,34.0,0.0,0.0
83a859fffffffff,1.0,0.0,0.0
83a8c9fffffffff,6.0,0.0,0.0
83b324fffffffff,1.0,0.0,0.0
83b325fffffffff,7.0,0.0,0.0
