cell_id,Muscicapa sibirica,Muscicapa sibirica sibirica,Muscicapa sibirica [cacabata Group]
834a26fffffffff,4.0,0.0,0.0
834b12fffffffff,2.0,0.0,0.0
834b26fffffffff,1.0,0.0,0.0
834b30fffffffff,2.0,0.0,0.0
834b32fffffffff,1.0,1.0,0.0
834b35fffffffff,2.0,0.0,0.0
834b72fffffffff,1.0,0.0,0.0
834ba0fffffffff,22.0,0.0,0.0
834ba1fffffffff,11.0,0.0,0.0
834ba2fffffffff,5.0,0.0,0.0
834ba3fffffffff,5.0,0.0,0.0
834ba5fffffffff,17.0,0.0,0.0
834ba9fffffffff,4.0,0.0,0.0
834bb1fffffffff,9.0,0.0,0.0
834bb5fffffffff,47.0,0.0,0.0
836416fffffffff,291.0,0.0,1.0
836422fffffffff,8.0,0.0,0.0
836426fffffffff,3.0,0.0,0.0
836431fffffffff,24.0,0.0,0.0
836432fffffffff,7.0,1.0,0.0
836433fffffffff,7.0,0.0,0.0
836434fffffffff,10.0,0.0,0.0
836435fffffffff,8.0,0.0,0.0
836480fffffffff,14.0,0.0,0.0
836482fffffffff,35.0,2.0,0.0
836484fffffffff,2.0,0.0,0.0
836485fffffffff,6.0,0.0,0.0
836488fffffffff,1.0,0.0,0.0
83648bfffffffff,2.0,0.0,0.0
83648cfffffffff,4.0,0.0,0.0
836491fffffffff,7.0,0.0,0.0
836498fffffffff,5.0,0.0,0.0
8364a1fffffffff,3.0,0.0,0.0
8364a3fffffffff,28.0,0.0,0.0
8364a4fffffffff,47.0,3.0,0.0
8364a5fffffffff,14.0,0.0,0.0
8364b4fffffffff,18.0,0.0,0.0
8364b5fffffffff,2.0,0.0,0.0
8364b6fffffffff,1.0,0.0,0.0
836500fffffffff,38.0,0.0,0.0
836502fffffffff,17.0,0.0,0.0
836503fffffffff,5.0,0.0,0.0
836505fffffffff,113.0,0.0,0.0
83650dfffffffff,2.0,0.0,0.0
836518fffffffff,29.0,0.0,0.0
836519fffffffff,4.0,0.0,0.0
83651bfffffffff,30.0,0.0,1.0
83651cfffffffff,107.0,3.0,0.0
83651dfffffffff,10.0,0.0,0.0
836520fffffffff,46.0,0.0,0.0
836522fffffffff,15.0,0.0,0.0
836526fffffffff,121.0,0.0,0.0
