cell_id,Cinclus leucocephalus,Cinclus leucocephalus rivularis,Cinclus leucocephalus leuconotus,Cinclus leucocephalus leucocephalus
8466c4bffffffff,6.0,0.0,0.0,0.0
8466c4dffffffff,12.0,0.0,0.0,0.0
8466c61ffffffff,42.0,0.0,2.0,0.0
8466c63ffffffff,17.0,0.0,0.0,0.0
8466c65ffffffff,4.0,0.0,0.0,0.0
8466c67ffffffff,60.0,0.0,0.0,0.0
8466c69ffffffff,51.0,0.0,0.0,0.0
8466c6bffffffff,12.0,0.0,0.0,0.0
8466c6dffffffff,80.0,0.0,0.0,0.0
8466d03ffffffff,57.0,0.0,0.0,0.0
8466d0bffffffff,223.0,0.0,15.0,0.0
8466d11ffffffff,2.0,0.0,0.0,0.0
8466d15ffffffff,5.0,0.0,0.0,0.0
8466d19ffffffff,18.0,0.0,0.0,0.0
8466d1dffffffff,4.0,0.0,0.0,0.0
8466d31ffffffff,1668.0,0.0,66.0,0.0
8466d33ffffffff,52.0,0.0,0.0,0.0
8466d35ffffffff,47.0,0.0,2.0,0.0
8466d37ffffffff,85.0,0.0,7.0,0.0
8466d39ffffffff,18.0,0.0,0.0,0.0
8466d3bffffffff,3.0,0.0,0.0,0.0
8466d3dffffffff,27.0,0.0,0.0,0.0
8466d53ffffffff,32.0,0.0,0.0,0.0
8466d5bffffffff,5.0,0.0,0.0,0.0
8466da7ffffffff,2.0,0.0,0.0,0.0
8466dadffffffff,39.0,0.0,0.0,0.0
8466de1ffffffff,515.0,0.0,35.0,0.0
8466de5ffffffff,16.0,0.0,0.0,0.0
8466de9ffffffff,20.0,0.0,0.0,0.0
8466dedffffffff,830.0,0.0,62.0,0.0
8466e01ffffffff,2.0,0.0,0.0,0.0
8466e03ffffffff,4.0,0.0,0.0,0.0
8466e09ffffffff,25.0,0.0,2.0,0.0
8466e0bffffffff,14.0,0.0,0.0,0.0
8466e0dffffffff,5.0,0.0,0.0,0.0
8466e27ffffffff,4.0,0.0,0.0,0.0
8466e2dffffffff,21.0,0.0,0.0,0.0
8466e39ffffffff,2.0,0.0,0.0,0.0
8466e3dffffffff,7.0,0.0,0.0,0.0
8466e41ffffffff,3.0,0.0,0.0,0.0
8466e43ffffffff,175.0,0.0,1.0,0.0
8466e47ffffffff,2.0,0.0,0.0,0.0
8466e49ffffffff,1.0,0.0,0.0,0.0
8466e51ffffffff,12.0,0.0,0.0,0.0
8466e55ffffffff,51.0,0.0,0.0,0.0
8466e57ffffffff,20.0,0.0,0.0,0.0
8466e59ffffffff,27.0,0.0,0.0,0.0
8466e5dffffffff,12.0,0.0,0.0,0.0
8466e61ffffffff,61.0,0.0,0.0,0.0
8466e63ffffffff,3.0,0.0,0.0,0.0
8466e65ffffffff,1091.0,0.0,108.0,0.0
8466e67ffffffff,148.0,0.0,0.0,0.0
8466e69ffffffff,26.0,0.0,0.0,0.0
8466e6dffffffff,966.0,0.0,82.0,0.0
8466f03ffffffff,112.0,0.0,0.0,0.0
8466f0bffffffff,23.0,0.0,0.0,0.0
8466f13ffffffff,1.0,0.0,0.0,0.0
8466f15ffffffff,86.0,0.0,6.0,0.0
8466f17ffffffff,2.0,0.0,0.0,0.0
8466f19ffffffff,9.0,0.0,0.0,0.0
8466f1dffffffff,484.0,0.0,20.0,0.0
8466f33ffffffff,1.0,0.0,0.0,0.0
8466f37ffffffff,1.0,0.0,0.0,0.0
8466f3bffffffff,1.0,0.0,0.0,0.0
8466f51ffffffff,2.0,0.0,0.0,0.0
8466f53ffffffff,28.0,0.0,0.0,0.0
8466f57ffffffff,23.0,0.0,0.0,0.0
8466f59ffffffff,2.0,0.0,0.0,0.0
8466f5bffffffff,134.0,0.0,4.0,0.0
8466f5dffffffff,3.0,0.0,0.0,0.0
84675a5ffffffff,61.0,0.0,4.0,0.0
84675adffffffff,8.0,0.0,0.0,0.0
848b211ffffffff,7.0,0.0,0.0,0.0
848b213ffffffff,2.0,0.0,0.0,0.0
848b215ffffffff,2.0,0.0,0.0,0.0
848b2c1ffffffff,7.0,0.0,0.0,0.0
848b2c3ffffffff,2.0,0.0,0.0,0.0
848b2c5ffffffff,7.0,0.0,0.0,0.0
848b2c9ffffffff,28.0,0.0,0.0,0.0
848b2cdffffffff,14.0,0.0,0.0,0.0
848b2dbffffffff,1.0,0.0,0.0,0.0
848b603ffffffff,2.0,0.0,0.0,0.0
848b605ffffffff,2.0,0.0,0.0,0.0
848b611ffffffff,102.0,0.0,0.0,2.0
848b613ffffffff,4.0,0.0,0.0,0.0
848b617ffffffff,275.0,0.0,0.0,10.0
848b619ffffffff,14.0,0.0,0.0,0.0
848b61bffffffff,53.0,0.0,0.0,1.0
848b61dffffffff,9.0,0.0,0.0,0.0
848b639ffffffff,1.0,0.0,0.0,0.0
848b665ffffffff,5.0,0.0,0.0,0.0
848b6c1ffffffff,1.0,0.0,0.0,0.0
848b6c9ffffffff,11.0,0.0,0.0,0.0
848b6cbffffffff,5.0,0.0,0.0,0.0
848b6cdffffffff,659.0,0.0,0.0,27.0
848b75bffffffff,2.0,0.0,0.0,0.0
848e605ffffffff,8.0,0.0,0.0,0.0
848e607ffffffff,5.0,0.0,0.0,0.0
848e609ffffffff,1.0,0.0,0.0,0.0
848e60bffffffff,6.0,0.0,0.0,0.0
848e60dffffffff,2.0,0.0,0.0,0.0
848e615ffffffff,2.0,0.0,0.0,0.0
848e617ffffffff,5.0,0.0,0.0,0.0
848e619ffffffff,2.0,0.0,0.0,0.0
848e61dffffffff,6.0,0.0,0.0,0.0
848e629ffffffff,27.0,0.0,0.0,0.0
848e63dffffffff,2.0,0.0,0.0,0.0
848e641ffffffff,2.0,0.0,0.0,0.0
848e643ffffffff,5.0,0.0,0.0,0.0
848e645ffffffff,4.0,0.0,0.0,0.0
848e649ffffffff,45.0,0.0,0.0,0.0
848e64bffffffff,28.0,0.0,0.0,0.0
848e651ffffffff,69.0,0.0,0.0,0.0
848e655ffffffff,11.0,0.0,0.0,0.0
848e657ffffffff,6.0,0.0,0.0,0.0
848e661ffffffff,5.0,0.0,0.0,0.0
848e663ffffffff,157.0,0.0,0.0,0.0
848e66bffffffff,3.0,0.0,0.0,0.0
848e691ffffffff,2.0,0.0,0.0,0.0
848e699ffffffff,2.0,0.0,0.0,0.0
848e69bffffffff,2.0,0.0,0.0,0.0
848e6c3ffffffff,2.0,0.0,0.0,0.0
848e6c5ffffffff,2.0,0.0,0.0,0.0
848e6cbffffffff,1.0,0.0,0.0,0.0
848e6cdffffffff,7.0,0.0,0.0,0.0
848e6d5ffffffff,3.0,0.0,0.0,0.0
848e6d7ffffffff,2.0,0.0,0.0,0.0
848e6d9ffffffff,12.0,0.0,0.0,0.0
848e6ddffffffff,2.0,0.0,0.0,0.0
848e6e5ffffffff,2.0,0.0,0.0,0.0
848f0dbffffffff,11.0,0.0,0.0,0.0
848f295ffffffff,2.0,0.0,0.0,0.0
848f297ffffffff,5.0,0.0,0.0,0.0
848f29bffffffff,3.0,0.0,0.0,0.0
848f2b3ffffffff,1.0,0.0,0.0,0.0
848f2bbffffffff,6.0,0.0,0.0,0.0
848f2cbffffffff,3.0,0.0,0.0,0.0
848f2d1ffffffff,2.0,0.0,0.0,0.0
848f2d3ffffffff,12.0,0.0,0.0,0.0
848f2d5ffffffff,5.0,0.0,0.0,0.0
848f2d9ffffffff,3.0,0.0,0.0,0.0
848f401ffffffff,2.0,0.0,0.0,0.0
848f421ffffffff,14.0,0.0,0.0,0.0
848f425ffffffff,21.0,0.0,0.0,0.0
848f42dffffffff,19.0,0.0,0.0,0.0
848f461ffffffff,3.0,0.0,0.0,0.0
848f463ffffffff,2.0,0.0,0.0,0.0
848f465ffffffff,13.0,0.0,0.0,0.0
848f467ffffffff,4.0,0.0,0.0,0.0
848f4a5ffffffff,5.0,0.0,0.0,0.0
848f515ffffffff,3.0,0.0,0.0,0.0
848f517ffffffff,6.0,0.0,0.0,0.0
848f51bffffffff,3.0,0.0,0.0,0.0
848f549ffffffff,8.0,0.0,0.0,0.0
848f553ffffffff,52.0,0.0,0.0,2.0
848f557ffffffff,2.0,0.0,0.0,0.0
848f559ffffffff,37.0,0.0,0.0,0.0
848f55bffffffff,22.0,0.0,0.0,0.0
848f55dffffffff,1.0,0.0,0.0,0.0
848f581ffffffff,8.0,0.0,0.0,0.0
848f587ffffffff,1.0,0.0,0.0,0.0
848f589ffffffff,5.0,0.0,0.0,0.0
848f58dffffffff,6.0,0.0,0.0,0.0
848f593ffffffff,9.0,0.0,0.0,0.0
848f595ffffffff,1.0,0.0,0.0,0.0
848f597ffffffff,12.0,0.0,0.0,0.0
848f599ffffffff,2.0,0.0,0.0,0.0
848f59bffffffff,2.0,0.0,0.0,0.0
848f5b9ffffffff,3.0,0.0,0.0,0.0
848f5c3ffffffff,2.0,0.0,0.0,0.0
848f5c9ffffffff,1.0,0.0,0.0,0.0
848f5d7ffffffff,1.0,0.0,0.0,0.0
848f5ddffffffff,17.0,0.0,0.0,0.0
848f721ffffffff,48.0,0.0,0.0,0.0
848f725ffffffff,1.0,0.0,0.0,0.0
848f729ffffffff,182.0,0.0,6.0,0.0
848f72dffffffff,6.0,0.0,0.0,0.0
848f733ffffffff,148.0,0.0,0.0,10.0
848f737ffffffff,2.0,0.0,0.0,0.0
848f745ffffffff,11.0,0.0,0.0,0.0
848f765ffffffff,8.0,0.0,0.0,0.0
848f767ffffffff,4.0,0.0,0.0,0.0
848f769ffffffff,6.0,0.0,0.0,0.0
848f76dffffffff,56.0,0.0,0.0,0.0
84b3219ffffffff,4.0,0.0,0.0,0.0
84b3241ffffffff,21.0,0.0,0.0,0.0
84b3243ffffffff,16.0,0.0,0.0,0.0
84b324bffffffff,13.0,0.0,0.0,0.0
84b3253ffffffff,39.0,0.0,0.0,0.0
84b3257ffffffff,9.0,0.0,0.0,0.0
84b325bffffffff,1.0,0.0,0.0,0.0
84b325dffffffff,2.0,0.0,0.0,0.0
84b334bffffffff,6.0,0.0,0.0,0.0
84b3355ffffffff,6.0,0.0,0.0,0.0
84b335dffffffff,2.0,0.0,0.0,0.0
