cell_id,Strepera versicolor,Strepera versicolor versicolor/plumbea,Strepera versicolor arguta,Strepera versicolor melanoptera,Strepera versicolor intermedia,Strepera versicolor halmaturina
83b933fffffffff,18.0,0.0,0.0,0.0,0.0,5.0
83b936fffffffff,22.0,0.0,0.0,2.0,0.0,0.0
83b9a1fffffffff,12.0,0.0,0.0,1.0,0.0,0.0
83b9a3fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
83b9a4fffffffff,255.0,0.0,0.0,35.0,0.0,0.0
83b9a5fffffffff,13.0,0.0,0.0,2.0,0.0,0.0
83b9a9fffffffff,12.0,0.0,0.0,0.0,0.0,0.0
83b9acfffffffff,82.0,0.0,0.0,0.0,16.0,0.0
83b9adfffffffff,16.0,0.0,0.0,0.0,8.0,0.0
83be08fffffffff,63.0,5.0,0.0,0.0,0.0,0.0
83be09fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
83be0afffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83be0bfffffffff,11.0,0.0,0.0,0.0,0.0,0.0
83be0cfffffffff,53.0,0.0,0.0,0.0,0.0,0.0
83be0dfffffffff,122.0,0.0,0.0,0.0,0.0,0.0
83be29fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83be40fffffffff,178.0,45.0,0.0,0.0,0.0,0.0
83be41fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
83be43fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83be44fffffffff,196.0,59.0,0.0,0.0,0.0,0.0
83be45fffffffff,521.0,78.0,0.0,0.0,0.0,0.0
83be48fffffffff,49.0,0.0,0.0,9.0,0.0,0.0
83be49fffffffff,473.0,0.0,0.0,31.0,0.0,0.0
83be4afffffffff,84.0,0.0,0.0,20.0,0.0,0.0
83be4bfffffffff,148.0,0.0,0.0,15.0,0.0,0.0
83be4cfffffffff,254.0,0.0,0.0,61.0,0.0,0.0
83be4dfffffffff,149.0,0.0,0.0,5.0,0.0,0.0
83be4efffffffff,695.0,0.0,0.0,252.0,0.0,0.0
83be58fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83be59fffffffff,11.0,0.0,0.0,3.0,0.0,0.0
83be5dfffffffff,16.0,0.0,0.0,3.0,0.0,0.0
83be60fffffffff,338.0,58.0,0.0,0.0,0.0,0.0
83be61fffffffff,171.0,36.0,0.0,0.0,0.0,0.0
83be62fffffffff,328.0,55.0,0.0,0.0,0.0,0.0
83be63fffffffff,1804.0,427.0,0.0,0.0,0.0,0.0
83be66fffffffff,123.0,20.0,0.0,0.0,0.0,0.0
83be68fffffffff,105.0,4.0,0.0,5.0,0.0,0.0
83be69fffffffff,68.0,0.0,0.0,0.0,0.0,0.0
83be6afffffffff,159.0,19.0,0.0,5.0,0.0,0.0
83be6bfffffffff,263.0,0.0,0.0,17.0,0.0,0.0
83be6cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83be6efffffffff,191.0,51.0,0.0,0.0,0.0,0.0
83be70fffffffff,17.0,2.0,0.0,0.0,0.0,0.0
83be71fffffffff,60.0,12.0,0.0,0.0,0.0,0.0
83be72fffffffff,699.0,19.0,0.0,0.0,0.0,0.0
83be73fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83be74fffffffff,76.0,0.0,0.0,0.0,0.0,0.0
83be75fffffffff,64.0,15.0,0.0,0.0,0.0,0.0
83be76fffffffff,60.0,2.0,0.0,0.0,0.0,0.0
83bf48fffffffff,231.0,0.0,75.0,0.0,0.0,0.0
83bf49fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
83bf4afffffffff,128.0,0.0,58.0,0.0,0.0,0.0
83bf4bfffffffff,302.0,0.0,100.0,0.0,0.0,0.0
83bf4cfffffffff,905.0,0.0,428.0,0.0,0.0,0.0
83bf4dfffffffff,179.0,0.0,58.0,0.0,0.0,0.0
83bf4efffffffff,79.0,0.0,34.0,0.0,0.0,0.0
83bf6bfffffffff,272.0,0.0,97.0,0.0,0.0,0.0
83c980fffffffff,6.0,1.0,0.0,0.0,0.0,0.0
83c982fffffffff,72.0,33.0,0.0,0.0,0.0,0.0
83c983fffffffff,16.0,6.0,0.0,0.0,0.0,0.0
83c986fffffffff,121.0,40.0,0.0,0.0,0.0,0.0
83c990fffffffff,324.0,82.0,0.0,0.0,0.0,0.0
83c991fffffffff,16.0,3.0,0.0,0.0,0.0,0.0
83c992fffffffff,116.0,23.0,0.0,0.0,0.0,0.0
83c993fffffffff,90.0,18.0,0.0,0.0,0.0,0.0
83c994fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83c995fffffffff,16.0,8.0,0.0,0.0,0.0,0.0
83c996fffffffff,11.0,1.0,0.0,0.0,0.0,0.0
83c99cfffffffff,26.0,8.0,0.0,0.0,0.0,0.0
83c99efffffffff,5.0,0.0,0.0,0.0,0.0,0.0
83c9b0fffffffff,47.0,7.0,0.0,0.0,0.0,0.0
83c9b1fffffffff,146.0,37.0,0.0,0.0,0.0,0.0
83c9b2fffffffff,19.0,4.0,0.0,0.0,0.0,0.0
83c9b3fffffffff,387.0,113.0,0.0,0.0,0.0,0.0
83c9b6fffffffff,30.0,8.0,0.0,0.0,0.0,0.0
