cell_id,Entomyzon cyanotis,Entomyzon cyanotis albipennis,Entomyzon cyanotis [cyanotis Group]
839d45fffffffff,2.0,0.0,0.0
839d52fffffffff,6.0,0.0,0.0
839d53fffffffff,17.0,0.0,0.0
839d54fffffffff,18.0,0.0,0.0
839d55fffffffff,10.0,0.0,0.0
839d56fffffffff,10.0,0.0,0.0
839d5afffffffff,8.0,0.0,0.0
839d71fffffffff,11.0,0.0,0.0
839d74fffffffff,3.0,0.0,0.0
839d75fffffffff,20.0,0.0,0.0
839d76fffffffff,2.0,0.0,0.0
83be08fffffffff,28.0,0.0,0.0
83be09fffffffff,11.0,0.0,0.0
83be0afffffffff,104.0,0.0,0.0
83be0bfffffffff,58.0,0.0,0.0
83be0efffffffff,6.0,0.0,0.0
83be18fffffffff,27.0,0.0,0.0
83be19fffffffff,12.0,0.0,0.0
83be1afffffffff,216.0,0.0,8.0
83be1bfffffffff,5.0,0.0,0.0
83be1dfffffffff,265.0,0.0,10.0
83be40fffffffff,245.0,0.0,10.0
83be41fffffffff,23.0,0.0,3.0
83be42fffffffff,44.0,0.0,0.0
83be43fffffffff,98.0,0.0,9.0
83be44fffffffff,357.0,0.0,69.0
83be45fffffffff,153.0,0.0,11.0
83be46fffffffff,301.0,0.0,38.0
83be4afffffffff,89.0,0.0,2.0
83be4bfffffffff,47.0,0.0,2.0
83be4cfffffffff,12.0,0.0,2.0
83be4efffffffff,123.0,0.0,7.0
83be50fffffffff,304.0,0.0,0.0
83be51fffffffff,9.0,0.0,0.0
83be52fffffffff,20.0,0.0,0.0
83be53fffffffff,50.0,0.0,0.0
83be54fffffffff,70.0,0.0,0.0
83be55fffffffff,186.0,0.0,0.0
83be56fffffffff,126.0,0.0,0.0
83be58fffffffff,1.0,0.0,0.0
83be5bfffffffff,2.0,0.0,0.0
83be5dfffffffff,125.0,0.0,11.0
83be6afffffffff,32.0,0.0,6.0
83be6bfffffffff,2.0,0.0,0.0
83be71fffffffff,207.0,0.0,17.0
83be72fffffffff,5.0,0.0,0.0
83be73fffffffff,83.0,0.0,6.0
83be88fffffffff,1000.0,0.0,54.0
83be89fffffffff,140.0,0.0,4.0
83be8afffffffff,2.0,0.0,0.0
83be8bfffffffff,417.0,0.0,13.0
83be8dfffffffff,10889.0,0.0,769.0
83bea9fffffffff,545.0,0.0,17.0
83beabfffffffff,1483.0,0.0,222.0
83bec0fffffffff,20.0,0.0,0.0
83bec1fffffffff,1.0,0.0,0.0
83bec4fffffffff,39.0,0.0,1.0
83bec5fffffffff,4.0,0.0,0.0
83bec6fffffffff,67.0,0.0,0.0
83bec8fffffffff,7.0,0.0,0.0
83becafffffffff,1.0,0.0,0.0
83becbfffffffff,1.0,0.0,0.0
83beccfffffffff,1.0,0.0,0.0
83becdfffffffff,3.0,0.0,0.0
83becefffffffff,151.0,0.0,0.0
83bed0fffffffff,20.0,0.0,0.0
83bed1fffffffff,38.0,0.0,0.0
83bed2fffffffff,20.0,0.0,0.0
83bed3fffffffff,10.0,0.0,0.0
83bed4fffffffff,60.0,0.0,0.0
83bed5fffffffff,56.0,0.0,0.0
83bed6fffffffff,27.0,0.0,0.0
83bed8fffffffff,9.0,0.0,0.0
83bedbfffffffff,14.0,0.0,0.0
83bedcfffffffff,13.0,0.0,0.0
83beddfffffffff,22.0,0.0,0.0
83bedefffffffff,91.0,0.0,0.0
83bee0fffffffff,130.0,0.0,0.0
83bee1fffffffff,67.0,0.0,0.0
83bee2fffffffff,96.0,0.0,0.0
83bee3fffffffff,12.0,0.0,0.0
83bee4fffffffff,39.0,0.0,0.0
83bee5fffffffff,146.0,0.0,0.0
83bee6fffffffff,110.0,0.0,0.0
83bee8fffffffff,4.0,0.0,2.0
83beeafffffffff,47.0,0.0,0.0
83beebfffffffff,5.0,0.0,0.0
83beecfffffffff,38.0,0.0,0.0
83beeefffffffff,21.0,0.0,0.0
83bef0fffffffff,459.0,0.0,6.0
83bef1fffffffff,96.0,0.0,0.0
83bef2fffffffff,351.0,0.0,6.0
83bef3fffffffff,5.0,0.0,0.0
83bef4fffffffff,24.0,0.0,0.0
83bef5fffffffff,149.0,0.0,0.0
83bef6fffffffff,612.0,0.0,34.0
