cell_id,Eudynamys orientalis,Eudynamys orientalis [orientalis Group],Eudynamys orientalis cyanocephalus/subcyanocephalus
849c009ffffffff,6.0,0.0,2.0
849c00bffffffff,4.0,0.0,1.0
849c011ffffffff,6.0,0.0,0.0
849c017ffffffff,12.0,0.0,6.0
849c019ffffffff,8.0,0.0,4.0
849c01dffffffff,8.0,0.0,6.0
849c051ffffffff,3.0,0.0,0.0
849c055ffffffff,2.0,0.0,2.0
849c059ffffffff,56.0,0.0,24.0
849c05dffffffff,360.0,0.0,154.0
849c0a1ffffffff,1.0,0.0,1.0
849c0a5ffffffff,1.0,0.0,1.0
849c0e9ffffffff,66.0,0.0,34.0
849c0edffffffff,11.0,0.0,4.0
849c191ffffffff,69.0,0.0,23.0
849c19dffffffff,11.0,0.0,2.0
849c203ffffffff,19.0,0.0,1.0
849c207ffffffff,2.0,0.0,0.0
849c20bffffffff,2.0,0.0,2.0
849c211ffffffff,12.0,0.0,3.0
849c215ffffffff,45.0,0.0,12.0
849c217ffffffff,6.0,0.0,0.0
849c21bffffffff,5.0,0.0,2.0
849c231ffffffff,256.0,0.0,67.0
849c233ffffffff,122.0,0.0,49.0
849c237ffffffff,243.0,0.0,158.0
849c239ffffffff,99.0,0.0,24.0
849c23bffffffff,142.0,0.0,43.0
849c23dffffffff,4.0,0.0,2.0
849c251ffffffff,39.0,0.0,11.0
849c257ffffffff,2.0,0.0,0.0
849c259ffffffff,4.0,0.0,0.0
849c25dffffffff,4.0,0.0,2.0
849c2cdffffffff,1.0,0.0,0.0
849c2ddffffffff,41.0,0.0,8.0
849c2e1ffffffff,8.0,0.0,4.0
849c417ffffffff,7.0,0.0,5.0
849c487ffffffff,1.0,0.0,0.0
849c497ffffffff,2.0,0.0,0.0
849c499ffffffff,2.0,0.0,2.0
849c4a3ffffffff,3.0,0.0,0.0
849c4b3ffffffff,14.0,0.0,6.0
849c4bdffffffff,2.0,0.0,0.0
849c4d3ffffffff,3.0,0.0,0.0
849c4e1ffffffff,2.0,0.0,2.0
849c583ffffffff,1.0,0.0,1.0
849c589ffffffff,8.0,0.0,0.0
849c5a5ffffffff,4.0,0.0,0.0
849c5a7ffffffff,2.0,0.0,0.0
849c5b5ffffffff,4.0,0.0,0.0
849c605ffffffff,5.0,0.0,5.0
849c60dffffffff,2.0,0.0,0.0
849c649ffffffff,1.0,0.0,1.0
849c743ffffffff,2.0,0.0,0.0
849c851ffffffff,2.0,0.0,0.0
849c85bffffffff,1.0,0.0,0.0
849c8b5ffffffff,3.0,1.0,0.0
849c8bdffffffff,3.0,3.0,0.0
849c901ffffffff,53.0,9.0,0.0
849c993ffffffff,3.0,2.0,0.0
849c9d5ffffffff,4.0,4.0,0.0
849caadffffffff,3.0,0.0,0.0
849cae7ffffffff,7.0,0.0,0.0
849cc23ffffffff,2.0,2.0,0.0
849cc29ffffffff,3.0,3.0,0.0
849cc2bffffffff,1.0,1.0,0.0
849cd31ffffffff,163.0,15.0,3.0
849cd33ffffffff,84.0,4.0,4.0
849ce0dffffffff,1.0,0.0,0.0
849ce2dffffffff,2.0,0.0,0.0
849ce47ffffffff,20.0,0.0,4.0
849ce9bffffffff,8.0,0.0,2.0
849cf39ffffffff,2.0,0.0,0.0
849cf3bffffffff,8.0,0.0,2.0
849cf53ffffffff,5.0,0.0,0.0
849d013ffffffff,10.0,0.0,6.0
849d01bffffffff,104.0,0.0,27.0
849d097ffffffff,2.0,0.0,0.0
849d0abffffffff,10.0,0.0,2.0
849d0b1ffffffff,185.0,0.0,10.0
849d0b3ffffffff,3.0,0.0,3.0
849d0b5ffffffff,92.0,0.0,15.0
849d0b7ffffffff,19.0,0.0,8.0
849d0bbffffffff,2.0,0.0,2.0
849d0bdffffffff,18.0,0.0,0.0
849d0c1ffffffff,5.0,0.0,2.0
849d0c5ffffffff,2.0,0.0,0.0
849d0cdffffffff,45.0,0.0,19.0
849d0e1ffffffff,4.0,0.0,2.0
849d0e3ffffffff,2.0,0.0,0.0
849d0e9ffffffff,6.0,0.0,2.0
849d0ebffffffff,2.0,0.0,2.0
849d211ffffffff,14.0,0.0,9.0
849d213ffffffff,2.0,0.0,2.0
849d215ffffffff,2.0,0.0,2.0
849d217ffffffff,61.0,0.0,22.0
849d219ffffffff,6.0,0.0,0.0
849d21dffffffff,67.0,0.0,10.0
849d23bffffffff,11.0,0.0,5.0
849d24bffffffff,141.0,0.0,10.0
849d253ffffffff,17.0,0.0,5.0
849d255ffffffff,11.0,0.0,2.0
849d257ffffffff,33.0,0.0,4.0
849d259ffffffff,8.0,0.0,2.0
849d289ffffffff,7.0,0.0,7.0
849d28bffffffff,9.0,0.0,1.0
849d2a3ffffffff,2.0,0.0,2.0
849d2a5ffffffff,12.0,0.0,3.0
849d2adffffffff,3.0,0.0,2.0
849d2c5ffffffff,1.0,0.0,0.0
849d2d1ffffffff,2.0,0.0,0.0
849d2d7ffffffff,10.0,0.0,2.0
849d2e7ffffffff,16.0,0.0,3.0
849d433ffffffff,3.0,0.0,0.0
849d46bffffffff,2.0,0.0,0.0
849d4a1ffffffff,32.0,0.0,8.0
849d4abffffffff,6.0,0.0,2.0
849d4adffffffff,8.0,0.0,0.0
849d55dffffffff,4.0,0.0,2.0
849ed19ffffffff,2.0,2.0,0.0
849ed51ffffffff,2.0,0.0,0.0
849ed59ffffffff,1.0,0.0,0.0
849edebffffffff,2.0,1.0,0.0
84be081ffffffff,6.0,0.0,0.0
84be085ffffffff,295.0,0.0,105.0
84be087ffffffff,137.0,0.0,34.0
84be089ffffffff,2094.0,0.0,311.0
84be08bffffffff,12.0,0.0,2.0
84be08dffffffff,525.0,0.0,66.0
84be09dffffffff,12.0,0.0,0.0
84be0a1ffffffff,3.0,0.0,0.0
84be0a3ffffffff,11.0,0.0,4.0
84be0a5ffffffff,6.0,0.0,0.0
84be0a7ffffffff,7.0,0.0,0.0
84be0a9ffffffff,14.0,0.0,0.0
84be0abffffffff,2.0,0.0,0.0
84be0adffffffff,109.0,0.0,10.0
84be0b3ffffffff,5.0,0.0,0.0
84be0b5ffffffff,7.0,0.0,3.0
84be0b9ffffffff,5.0,0.0,2.0
84be0bdffffffff,74.0,0.0,24.0
84be0c3ffffffff,1001.0,0.0,408.0
84be0c7ffffffff,74.0,0.0,38.0
84be0d3ffffffff,10.0,0.0,4.0
84be0d5ffffffff,121.0,0.0,82.0
84be0d7ffffffff,13.0,0.0,1.0
84be0d9ffffffff,20.0,0.0,5.0
84be0ddffffffff,146.0,0.0,86.0
84be0e3ffffffff,467.0,0.0,170.0
84be0e7ffffffff,121.0,0.0,35.0
84be181ffffffff,203.0,0.0,38.0
84be183ffffffff,8.0,0.0,2.0
84be185ffffffff,49.0,0.0,18.0
84be187ffffffff,14.0,0.0,3.0
84be189ffffffff,73.0,0.0,13.0
84be18bffffffff,52.0,0.0,8.0
84be18dffffffff,7.0,0.0,0.0
84be193ffffffff,2.0,0.0,0.0
84be197ffffffff,2.0,0.0,2.0
84be199ffffffff,10.0,0.0,2.0
84be19bffffffff,2.0,0.0,0.0
84be19dffffffff,8.0,0.0,2.0
84be1a1ffffffff,59.0,0.0,12.0
84be1a3ffffffff,6.0,0.0,0.0
84be1a5ffffffff,19.0,0.0,0.0
84be1a7ffffffff,1.0,0.0,1.0
84be1a9ffffffff,53.0,0.0,24.0
84be1abffffffff,20.0,0.0,8.0
84be1b1ffffffff,19.0,0.0,6.0
84be1b7ffffffff,4.0,0.0,4.0
84be1bbffffffff,4.0,0.0,0.0
84be1bdffffffff,21.0,0.0,0.0
84be1d1ffffffff,79.0,0.0,10.0
84be1d3ffffffff,108.0,0.0,22.0
84be1d5ffffffff,37.0,0.0,8.0
84be1d7ffffffff,12.0,0.0,2.0
84be1dbffffffff,83.0,0.0,15.0
84be293ffffffff,23.0,0.0,6.0
84be2b3ffffffff,141.0,0.0,5.0
84be409ffffffff,2.0,0.0,0.0
84be455ffffffff,6.0,0.0,5.0
84be54dffffffff,2.0,0.0,0.0
84be56dffffffff,2.0,0.0,0.0
84be605ffffffff,2.0,0.0,0.0
84be623ffffffff,3.0,0.0,3.0
84be629ffffffff,11.0,0.0,5.0
84be62bffffffff,1.0,0.0,0.0
84be62dffffffff,2.0,0.0,0.0
84be631ffffffff,2.0,0.0,2.0
84be635ffffffff,38.0,0.0,14.0
84be639ffffffff,3.0,0.0,0.0
84be63bffffffff,77.0,0.0,20.0
84be63dffffffff,9.0,0.0,0.0
84be661ffffffff,2.0,0.0,2.0
84be713ffffffff,8.0,0.0,6.0
84be717ffffffff,4.0,0.0,2.0
84be71dffffffff,1.0,0.0,1.0
84be723ffffffff,3.0,0.0,0.0
84be725ffffffff,144.0,0.0,5.0
84be72dffffffff,977.0,0.0,192.0
84be735ffffffff,2.0,0.0,1.0
84be73bffffffff,10.0,0.0,5.0
84be745ffffffff,4.0,0.0,2.0
84be749ffffffff,8.0,0.0,4.0
84be74bffffffff,25.0,0.0,11.0
84be74dffffffff,162.0,0.0,53.0
84be751ffffffff,10.0,0.0,2.0
84be759ffffffff,63.0,0.0,31.0
84be75bffffffff,16.0,0.0,13.0
84be75dffffffff,12.0,0.0,5.0
84be763ffffffff,3.0,0.0,0.0
84be765ffffffff,15.0,0.0,4.0
84be769ffffffff,26.0,0.0,1.0
84be76dffffffff,33.0,0.0,12.0
84be883ffffffff,136.0,0.0,22.0
84be887ffffffff,72.0,0.0,11.0
84be88bffffffff,174.0,0.0,30.0
84be891ffffffff,2.0,0.0,2.0
84be893ffffffff,1.0,0.0,0.0
84be897ffffffff,2.0,0.0,0.0
84be899ffffffff,7.0,0.0,0.0
84be89bffffffff,5.0,0.0,2.0
84be89dffffffff,19.0,0.0,3.0
84be8b1ffffffff,13.0,0.0,0.0
84be8b3ffffffff,7.0,0.0,0.0
84be8b5ffffffff,16.0,0.0,4.0
84be8b7ffffffff,47.0,0.0,15.0
84be8b9ffffffff,2.0,0.0,0.0
84be8bdffffffff,29.0,0.0,5.0
84be8d1ffffffff,1759.0,0.0,358.0
84be8d3ffffffff,234.0,0.0,30.0
84be8d5ffffffff,157.0,0.0,25.0
84be8d7ffffffff,119.0,0.0,12.0
84be8d9ffffffff,1011.0,0.0,268.0
84be8dbffffffff,615.0,0.0,65.0
84be8ddffffffff,166.0,0.0,33.0
84bea91ffffffff,29.0,0.0,10.0
84bea93ffffffff,7.0,0.0,3.0
84bea95ffffffff,146.0,0.0,68.0
84bea97ffffffff,23.0,0.0,9.0
84bea9bffffffff,25.0,0.0,5.0
84beab3ffffffff,239.0,0.0,54.0
84beab7ffffffff,5.0,0.0,0.0
84beabbffffffff,74.0,0.0,11.0
84bec4dffffffff,2.0,0.0,2.0
84bec61ffffffff,2.0,0.0,0.0
84bec63ffffffff,7.0,0.0,0.0
84bed07ffffffff,2.0,0.0,0.0
84bed25ffffffff,6.0,0.0,0.0
84bed2bffffffff,3.0,0.0,0.0
84bed2dffffffff,11.0,0.0,3.0
84bed41ffffffff,4.0,0.0,1.0
84bed43ffffffff,8.0,0.0,3.0
84bed4dffffffff,2.0,0.0,2.0
84bed59ffffffff,3.0,0.0,2.0
84bed67ffffffff,2.0,0.0,0.0
84bed6dffffffff,3.0,0.0,2.0
84bede5ffffffff,7.0,0.0,5.0
84bededffffffff,14.0,0.0,2.0
84bee01ffffffff,19.0,0.0,1.0
84bee05ffffffff,10.0,0.0,0.0
84bee0bffffffff,2.0,0.0,0.0
84bee0dffffffff,2.0,0.0,0.0
84bee29ffffffff,2.0,0.0,0.0
84bee2dffffffff,1.0,0.0,0.0
84bee41ffffffff,4.0,0.0,2.0
84bee49ffffffff,2.0,0.0,2.0
84bee4bffffffff,6.0,0.0,2.0
84bee4dffffffff,7.0,0.0,0.0
84bee59ffffffff,3.0,0.0,0.0
84bee61ffffffff,8.0,0.0,0.0
84bee65ffffffff,20.0,0.0,14.0
84bee69ffffffff,3.0,0.0,2.0
84bee6dffffffff,26.0,0.0,10.0
84bef01ffffffff,6.0,0.0,0.0
84bef03ffffffff,4.0,0.0,3.0
84bef07ffffffff,8.0,0.0,3.0
84bef09ffffffff,6.0,0.0,0.0
84bef0bffffffff,7.0,0.0,7.0
84bef0dffffffff,66.0,0.0,16.0
84bef15ffffffff,8.0,0.0,3.0
84bef21ffffffff,10.0,0.0,0.0
84bef23ffffffff,2.0,0.0,0.0
84bef25ffffffff,34.0,0.0,0.0
84bef27ffffffff,1.0,0.0,1.0
84bef29ffffffff,1.0,0.0,0.0
84bef2bffffffff,3.0,0.0,0.0
84bef2dffffffff,251.0,0.0,36.0
84bef3dffffffff,2.0,0.0,0.0
84bef41ffffffff,2.0,0.0,0.0
84bef47ffffffff,12.0,0.0,4.0
84bef4bffffffff,3.0,0.0,2.0
84bef51ffffffff,13.0,0.0,4.0
84bef59ffffffff,7.0,0.0,0.0
84bef5bffffffff,3.0,0.0,3.0
84bef5dffffffff,44.0,0.0,2.0
84bef61ffffffff,10.0,0.0,3.0
84bef63ffffffff,34.0,0.0,3.0
84bef65ffffffff,95.0,0.0,3.0
84bef67ffffffff,48.0,0.0,7.0
84bef69ffffffff,1.0,0.0,1.0
84bef6dffffffff,37.0,0.0,9.0
