cell_id,Muscisaxicola rufivertex,Muscisaxicola rufivertex occipitalis,Muscisaxicola rufivertex pallidiceps,Muscisaxicola rufivertex rufivertex
83b346fffffffff,3.0,0.0,0.0,0.0
83b350fffffffff,1.0,0.0,0.0,0.0
83b351fffffffff,43.0,0.0,0.0,0.0
83b352fffffffff,18.0,0.0,0.0,0.0
83b353fffffffff,30.0,0.0,0.0,0.0
83b354fffffffff,67.0,0.0,0.0,0.0
83b355fffffffff,82.0,0.0,0.0,0.0
83b356fffffffff,36.0,0.0,0.0,0.0
83b35afffffffff,9.0,0.0,0.0,0.0
83b35efffffffff,58.0,0.0,0.0,0.0
83b371fffffffff,1.0,0.0,0.0,0.0
83b372fffffffff,7.0,0.0,0.0,0.0
83b373fffffffff,79.0,0.0,0.0,0.0
83b376fffffffff,1.0,0.0,0.0,0.0
