cell_id,Telophorus zeylonus,Telophorus zeylonus [zeylonus Group],Telophorus zeylonus restrictus
84bc1b3ffffffff,1.0,0.0,0.0
84bc403ffffffff,7.0,0.0,0.0
84bc409ffffffff,4.0,0.0,0.0
84bc40dffffffff,78.0,2.0,0.0
84bc411ffffffff,7.0,1.0,0.0
84bc41bffffffff,1.0,0.0,0.0
84bc41dffffffff,9.0,0.0,0.0
84bc425ffffffff,1.0,0.0,0.0
84bc431ffffffff,94.0,15.0,0.0
84bc433ffffffff,2.0,0.0,0.0
84bc437ffffffff,6.0,0.0,0.0
84bc43dffffffff,4.0,0.0,0.0
84bc443ffffffff,4.0,0.0,0.0
84bc447ffffffff,7.0,0.0,0.0
84bc453ffffffff,12.0,1.0,0.0
84bc455ffffffff,1.0,0.0,0.0
84bc457ffffffff,7.0,0.0,0.0
84bc45bffffffff,4.0,0.0,0.0
84bc469ffffffff,2.0,0.0,0.0
84bc46dffffffff,14.0,0.0,0.0
84bc481ffffffff,29.0,17.0,0.0
84bc483ffffffff,1.0,0.0,0.0
84bc485ffffffff,2.0,0.0,0.0
84bc487ffffffff,2.0,0.0,0.0
84bc48bffffffff,9.0,5.0,0.0
84bc491ffffffff,29.0,13.0,0.0
84bc497ffffffff,12.0,0.0,0.0
84bc499ffffffff,2.0,0.0,0.0
84bc49bffffffff,30.0,3.0,0.0
84bc49dffffffff,17.0,0.0,0.0
84bc4a3ffffffff,1.0,1.0,0.0
84bc4b1ffffffff,2.0,2.0,0.0
84bc4bbffffffff,11.0,3.0,0.0
84bc4bdffffffff,46.0,21.0,0.0
84bc4c3ffffffff,1.0,0.0,0.0
84bc4c7ffffffff,2.0,2.0,0.0
84bc4c9ffffffff,2.0,0.0,0.0
84bc4cbffffffff,4.0,0.0,0.0
84bc4d1ffffffff,1.0,0.0,0.0
84bc4d3ffffffff,4.0,0.0,0.0
84bc4d5ffffffff,153.0,42.0,0.0
84bc4d7ffffffff,2.0,1.0,0.0
84bc4d9ffffffff,41.0,3.0,0.0
84bc4dbffffffff,4.0,0.0,0.0
84bc4ddffffffff,100.0,40.0,0.0
84bc4e9ffffffff,6.0,6.0,0.0
84bc4ebffffffff,5.0,5.0,0.0
84bc501ffffffff,6.0,0.0,0.0
84bc50bffffffff,20.0,1.0,0.0
84bc519ffffffff,8.0,0.0,0.0
84bc51bffffffff,2.0,2.0,0.0
84bc52bffffffff,2.0,0.0,0.0
84bc53bffffffff,1.0,0.0,0.0
84bc543ffffffff,2.0,2.0,0.0
84bc549ffffffff,6.0,1.0,0.0
84bc559ffffffff,6.0,0.0,0.0
84bc567ffffffff,2.0,0.0,0.0
84bc581ffffffff,2.0,0.0,0.0
84bc595ffffffff,2.0,0.0,0.0
84bc5c1ffffffff,1.0,0.0,0.0
84bc5c9ffffffff,2.0,2.0,0.0
84bc5d7ffffffff,1.0,0.0,0.0
84bc5e3ffffffff,1.0,1.0,0.0
84bc5edffffffff,27.0,0.0,0.0
84bc683ffffffff,29.0,7.0,0.0
84bc687ffffffff,306.0,95.0,0.0
84bc695ffffffff,28.0,5.0,0.0
84bc697ffffffff,29.0,2.0,0.0
84bc6a1ffffffff,2.0,0.0,0.0
84bc6a3ffffffff,45.0,5.0,0.0
84bc6a5ffffffff,4.0,0.0,0.0
84bc6a7ffffffff,4.0,0.0,0.0
84bc6abffffffff,129.0,25.0,0.0
84bc6adffffffff,10.0,3.0,0.0
84bc6b1ffffffff,25.0,0.0,0.0
84bc6b3ffffffff,13.0,2.0,0.0
84bc6b5ffffffff,6.0,0.0,0.0
84bc6b7ffffffff,10.0,0.0,0.0
84bc6b9ffffffff,4.0,0.0,0.0
84bc6bdffffffff,27.0,4.0,0.0
84bc713ffffffff,2.0,0.0,0.0
84bc717ffffffff,43.0,0.0,0.0
84bc723ffffffff,3.0,0.0,0.0
84bc731ffffffff,59.0,0.0,0.0
84bc735ffffffff,6.0,0.0,0.0
84bc737ffffffff,62.0,3.0,0.0
84bc739ffffffff,14.0,1.0,0.0
84bc73bffffffff,16.0,0.0,0.0
84bc73dffffffff,2.0,0.0,0.0
84bcc01ffffffff,1.0,0.0,0.0
84bcc05ffffffff,2.0,0.0,0.0
84bcc15ffffffff,4.0,0.0,0.0
84bcc17ffffffff,3.0,0.0,0.0
84bcc27ffffffff,13.0,1.0,0.0
84bcc29ffffffff,6.0,2.0,0.0
84bcc2bffffffff,3.0,0.0,0.0
84bcc31ffffffff,2.0,2.0,0.0
84bcc33ffffffff,17.0,4.0,0.0
84bcc35ffffffff,17.0,3.0,0.0
84bcc3bffffffff,5.0,5.0,0.0
84bcc3dffffffff,101.0,13.0,0.0
84bcc45ffffffff,5.0,0.0,0.0
84bcc49ffffffff,15.0,0.0,0.0
84bcc4bffffffff,42.0,11.0,0.0
84bcc4dffffffff,12.0,3.0,0.0
84bcc51ffffffff,2.0,0.0,0.0
84bcc61ffffffff,1.0,0.0,0.0
84bcc65ffffffff,16.0,0.0,0.0
84bcc69ffffffff,18.0,3.0,0.0
84bcc6bffffffff,2.0,2.0,0.0
84bcc6dffffffff,157.0,45.0,0.0
84bcd01ffffffff,1.0,0.0,0.0
84bcd07ffffffff,2.0,0.0,0.0
84bcd09ffffffff,1.0,0.0,0.0
84bcd0bffffffff,5.0,0.0,0.0
84bcd0dffffffff,2.0,0.0,0.0
84bcd11ffffffff,2.0,0.0,0.0
84bcd15ffffffff,42.0,10.0,0.0
84bcd19ffffffff,7.0,4.0,0.0
84bcd1dffffffff,71.0,10.0,0.0
84bcd43ffffffff,22.0,0.0,0.0
84bcd51ffffffff,4.0,0.0,0.0
84bcd55ffffffff,3.0,3.0,0.0
84bcd57ffffffff,8.0,2.0,0.0
84bcd63ffffffff,1.0,0.0,0.0
84bcd67ffffffff,4.0,0.0,0.0
84bcdc1ffffffff,2.0,0.0,0.0
84bcdc9ffffffff,72.0,14.0,0.0
84bcdcdffffffff,3.0,0.0,0.0
84bce05ffffffff,15.0,5.0,0.0
84bce09ffffffff,3.0,0.0,0.0
84bce0dffffffff,2.0,2.0,0.0
84bce11ffffffff,1.0,0.0,0.0
84bce13ffffffff,4.0,0.0,0.0
84bce15ffffffff,1.0,0.0,0.0
84bce17ffffffff,1.0,0.0,0.0
84bce21ffffffff,20.0,7.0,0.0
84bce23ffffffff,2.0,0.0,0.0
84bce25ffffffff,3.0,0.0,0.0
84bce27ffffffff,5.0,3.0,0.0
84bce29ffffffff,255.0,48.0,0.0
84bce2bffffffff,15.0,11.0,0.0
84bce2dffffffff,23.0,5.0,0.0
84bce35ffffffff,3.0,0.0,0.0
84bce37ffffffff,10.0,1.0,0.0
84bce55ffffffff,1.0,0.0,0.0
84bce57ffffffff,1.0,1.0,0.0
84bce61ffffffff,2.0,2.0,0.0
84bce63ffffffff,25.0,10.0,0.0
84bce67ffffffff,15.0,2.0,0.0
84bce6bffffffff,3.0,1.0,0.0
84bce83ffffffff,4.0,0.0,0.0
84bce85ffffffff,1.0,0.0,0.0
84bce89ffffffff,2.0,0.0,0.0
84bce95ffffffff,4.0,0.0,0.0
84bce99ffffffff,4.0,0.0,0.0
84bcec9ffffffff,1.0,1.0,0.0
84bcecbffffffff,3.0,0.0,0.0
84bced1ffffffff,4.0,0.0,0.0
84bcee3ffffffff,2.0,0.0,0.0
84bceebffffffff,2.0,0.0,0.0
84bcf09ffffffff,4.0,0.0,0.0
84bcf13ffffffff,5.0,2.0,0.0
84bcf17ffffffff,5.0,0.0,0.0
84bcf19ffffffff,2.0,0.0,0.0
84bcf1bffffffff,4.0,0.0,0.0
84bcf1dffffffff,8.0,0.0,0.0
84bcf29ffffffff,4.0,1.0,0.0
84bcf33ffffffff,108.0,27.0,0.0
84bcf3bffffffff,7.0,1.0,0.0
84bcf3dffffffff,9.0,7.0,0.0
84bcf53ffffffff,8.0,2.0,0.0
84bcf5bffffffff,19.0,8.0,0.0
84bcf61ffffffff,3.0,0.0,0.0
84bcf63ffffffff,10.0,0.0,0.0
