cell_id,Dendrocopos leucotos,Dendrocopos leucotos lilfordi,Dendrocopos leucotos [leucotos Group],Dendrocopos leucotos owstoni
841136bffffffff,11.0,0.0,0.0,0.0
8411549ffffffff,2.0,0.0,0.0,0.0
8411813ffffffff,12.0,0.0,0.0,0.0
841181bffffffff,9.0,0.0,0.0,0.0
841181dffffffff,8.0,0.0,0.0,0.0
84118adffffffff,13.0,0.0,0.0,0.0
84118c1ffffffff,3.0,0.0,0.0,0.0
84118c5ffffffff,2.0,0.0,0.0,0.0
84118cdffffffff,13.0,0.0,0.0,0.0
84118e7ffffffff,2.0,0.0,0.0,0.0
84118e9ffffffff,14.0,0.0,3.0,0.0
8411a0dffffffff,2.0,0.0,0.0,0.0
8411a43ffffffff,1.0,0.0,0.0,0.0
8411aa1ffffffff,30.0,0.0,0.0,0.0
8411aa3ffffffff,2.0,0.0,0.0,0.0
8411aa5ffffffff,29.0,0.0,0.0,0.0
8411aa7ffffffff,124.0,0.0,0.0,0.0
8411aa9ffffffff,1.0,0.0,0.0,0.0
8411ab5ffffffff,3.0,0.0,0.0,0.0
8411abdffffffff,3.0,0.0,0.0,0.0
8411ae3ffffffff,43.0,0.0,10.0,0.0
8411ae7ffffffff,4.0,0.0,0.0,0.0
8411b4dffffffff,7.0,0.0,0.0,0.0
8414813ffffffff,18.0,0.0,0.0,0.0
84149adffffffff,12.0,0.0,0.0,0.0
8414a8dffffffff,2.0,0.0,0.0,0.0
8414ae5ffffffff,113.0,0.0,0.0,0.0
8414aedffffffff,4.0,0.0,0.0,0.0
841598bffffffff,7.0,0.0,0.0,0.0
841599dffffffff,3.0,0.0,0.0,0.0
8418493ffffffff,62.0,4.0,0.0,0.0
8418497ffffffff,63.0,0.0,0.0,0.0
841e009ffffffff,1.0,0.0,0.0,0.0
841e011ffffffff,4.0,0.0,0.0,0.0
841e013ffffffff,4.0,0.0,0.0,0.0
841e019ffffffff,4.0,0.0,0.0,0.0
841e01bffffffff,2.0,0.0,0.0,0.0
841e029ffffffff,3.0,0.0,0.0,0.0
841e031ffffffff,7.0,0.0,0.0,0.0
841e035ffffffff,2.0,0.0,0.0,0.0
841e051ffffffff,2.0,0.0,0.0,0.0
841e053ffffffff,5.0,0.0,0.0,0.0
841e055ffffffff,2.0,0.0,0.0,0.0
841e057ffffffff,1.0,0.0,0.0,0.0
841e05bffffffff,1.0,0.0,0.0,0.0
841e063ffffffff,2.0,0.0,0.0,0.0
841e067ffffffff,2.0,0.0,0.0,0.0
841e0b5ffffffff,1.0,0.0,0.0,0.0
841e0c3ffffffff,1.0,0.0,0.0,0.0
841e0c5ffffffff,2.0,0.0,0.0,0.0
841e0c7ffffffff,1.0,0.0,0.0,0.0
841e0cbffffffff,3.0,0.0,0.0,0.0
841e0ddffffffff,2.0,0.0,0.0,0.0
841e0e1ffffffff,4.0,0.0,0.0,0.0
841e0ebffffffff,2.0,0.0,0.0,0.0
841e0edffffffff,13.0,0.0,0.0,0.0
841e115ffffffff,2.0,0.0,0.0,0.0
841e121ffffffff,3.0,0.0,0.0,0.0
841e123ffffffff,2.0,0.0,0.0,0.0
841e127ffffffff,4.0,0.0,0.0,0.0
841e129ffffffff,1.0,0.0,0.0,0.0
841e143ffffffff,1.0,0.0,0.0,0.0
841e14dffffffff,2.0,0.0,0.0,0.0
841e151ffffffff,4.0,0.0,0.0,0.0
841e15bffffffff,5.0,0.0,0.0,0.0
841e15dffffffff,1.0,0.0,0.0,0.0
841e167ffffffff,2.0,0.0,0.0,0.0
841e1ddffffffff,2.0,0.0,0.0,0.0
841e1e7ffffffff,6.0,0.0,0.0,0.0
841e287ffffffff,2.0,0.0,0.0,0.0
841e2a3ffffffff,21.0,0.0,0.0,0.0
841e2a5ffffffff,3.0,0.0,0.0,0.0
841e2b7ffffffff,7.0,0.0,0.0,0.0
841e2bbffffffff,2.0,0.0,0.0,0.0
841e50dffffffff,1.0,0.0,0.0,0.0
841e521ffffffff,3.0,0.0,0.0,0.0
841e525ffffffff,3.0,0.0,0.0,0.0
841e527ffffffff,2.0,0.0,0.0,0.0
841e609ffffffff,1.0,0.0,0.0,0.0
841e615ffffffff,1.0,0.0,0.0,0.0
841e64dffffffff,4.0,0.0,0.0,0.0
841e661ffffffff,1.0,0.0,0.0,0.0
841e753ffffffff,3.0,0.0,0.0,0.0
841e761ffffffff,1.0,0.0,0.0,0.0
841eac3ffffffff,13.0,0.0,0.0,0.0
841eac7ffffffff,2.0,0.0,0.0,0.0
841eac9ffffffff,1.0,0.0,0.0,0.0
841eacbffffffff,2.0,0.0,0.0,0.0
841ec03ffffffff,2.0,0.0,0.0,0.0
841ec05ffffffff,6.0,0.0,0.0,0.0
841ec15ffffffff,2.0,0.0,0.0,0.0
841ec21ffffffff,8.0,1.0,0.0,0.0
841ec39ffffffff,5.0,0.0,0.0,0.0
841ec53ffffffff,2.0,0.0,0.0,0.0
841ec55ffffffff,4.0,0.0,0.0,0.0
841ec57ffffffff,2.0,0.0,0.0,0.0
841ec67ffffffff,2.0,0.0,0.0,0.0
841ec97ffffffff,1.0,0.0,0.0,0.0
841eca3ffffffff,4.0,0.0,0.0,0.0
841eca7ffffffff,2.0,0.0,0.0,0.0
841ecb9ffffffff,18.0,0.0,0.0,0.0
841ecbbffffffff,39.0,0.0,0.0,0.0
841ecd5ffffffff,14.0,0.0,0.0,0.0
841ecddffffffff,14.0,4.0,0.0,0.0
841ece1ffffffff,1.0,1.0,0.0,0.0
841ed0dffffffff,2.0,0.0,0.0,0.0
841ed13ffffffff,7.0,0.0,0.0,0.0
841ed37ffffffff,1.0,0.0,0.0,0.0
841ed3bffffffff,2.0,0.0,0.0,0.0
841ed41ffffffff,2.0,0.0,0.0,0.0
841ed53ffffffff,1.0,0.0,0.0,0.0
841edcdffffffff,2.0,2.0,0.0,0.0
841ede9ffffffff,2.0,0.0,0.0,0.0
841edebffffffff,2.0,0.0,0.0,0.0
841ee0dffffffff,1.0,0.0,0.0,0.0
841ee29ffffffff,2.0,0.0,0.0,0.0
841ee5bffffffff,2.0,0.0,0.0,0.0
841ef05ffffffff,4.0,0.0,0.0,0.0
841ef2dffffffff,3.0,0.0,0.0,0.0
841ef33ffffffff,1.0,0.0,0.0,0.0
841f407ffffffff,2.0,0.0,0.0,0.0
841f453ffffffff,2.0,0.0,0.0,0.0
841f457ffffffff,1.0,0.0,0.0,0.0
841f45dffffffff,1.0,0.0,0.0,0.0
841f4e1ffffffff,3.0,0.0,0.0,0.0
841f4e3ffffffff,2.0,0.0,0.0,0.0
841f4e7ffffffff,2.0,0.0,0.0,0.0
841f511ffffffff,3.0,0.0,0.0,0.0
841f519ffffffff,3.0,0.0,0.0,0.0
841f51bffffffff,1.0,0.0,0.0,0.0
841f593ffffffff,6.0,0.0,0.0,0.0
841f597ffffffff,3.0,0.0,0.0,0.0
841f5a9ffffffff,4.0,0.0,0.0,0.0
841f5abffffffff,2.0,0.0,0.0,0.0
841f5adffffffff,6.0,0.0,0.0,0.0
841f5b3ffffffff,1.0,0.0,0.0,0.0
841f5c5ffffffff,102.0,0.0,0.0,0.0
841f5c7ffffffff,7.0,0.0,0.0,0.0
841f5cdffffffff,1.0,0.0,0.0,0.0
841f5d5ffffffff,2.0,0.0,0.0,0.0
841f5e3ffffffff,1.0,0.0,0.0,0.0
841f5e7ffffffff,1.0,0.0,0.0,0.0
841f5e9ffffffff,18.0,0.0,0.0,0.0
841f5ebffffffff,3.0,0.0,0.0,0.0
841f601ffffffff,2.0,0.0,0.0,0.0
841f605ffffffff,2.0,0.0,0.0,0.0
841f611ffffffff,8.0,0.0,6.0,0.0
841f631ffffffff,3.0,0.0,0.0,0.0
841f659ffffffff,7.0,0.0,0.0,0.0
841f65dffffffff,12.0,0.0,0.0,0.0
841f681ffffffff,3.0,0.0,0.0,0.0
841f6b3ffffffff,1.0,0.0,0.0,0.0
841f6cdffffffff,4.0,0.0,0.0,0.0
841f6e9ffffffff,2.0,0.0,0.0,0.0
841f751ffffffff,1.0,0.0,0.0,0.0
841f75bffffffff,3.0,0.0,0.0,0.0
841f881ffffffff,18.0,0.0,0.0,0.0
841f883ffffffff,2.0,0.0,0.0,0.0
841f88bffffffff,2.0,0.0,2.0,0.0
841f891ffffffff,3.0,0.0,0.0,0.0
841f893ffffffff,3.0,0.0,0.0,0.0
841f89dffffffff,8.0,0.0,0.0,0.0
841f8e3ffffffff,1.0,0.0,0.0,0.0
84204a1ffffffff,16.0,0.0,0.0,0.0
84204a5ffffffff,23.0,0.0,0.0,0.0
84204adffffffff,2.0,0.0,0.0,0.0
84204b5ffffffff,1.0,0.0,0.0,0.0
84214bdffffffff,1.0,0.0,0.0,0.0
8424053ffffffff,2.0,0.0,0.0,0.0
8424251ffffffff,4.0,0.0,0.0,0.0
8424255ffffffff,3.0,0.0,0.0,0.0
84242e1ffffffff,1.0,0.0,0.0,0.0
8424647ffffffff,2.0,0.0,0.0,0.0
8425409ffffffff,2.0,0.0,0.0,0.0
8425461ffffffff,2.0,0.0,0.0,0.0
8425465ffffffff,18.0,0.0,0.0,0.0
8425467ffffffff,8.0,0.0,0.0,0.0
8425469ffffffff,8.0,0.0,0.0,0.0
8425535ffffffff,2.0,0.0,0.0,0.0
8425539ffffffff,2.0,0.0,0.0,0.0
8425581ffffffff,1.0,0.0,0.0,0.0
84255a3ffffffff,13.0,0.0,0.0,0.0
84255a7ffffffff,17.0,0.0,0.0,0.0
84255abffffffff,13.0,0.0,0.0,0.0
84255b5ffffffff,5.0,0.0,0.0,0.0
8425713ffffffff,2.0,0.0,0.0,0.0
8425731ffffffff,1.0,0.0,0.0,0.0
8425a41ffffffff,1.0,0.0,0.0,0.0
8425a49ffffffff,17.0,0.0,0.0,0.0
8425ae9ffffffff,2.0,0.0,0.0,0.0
842c215ffffffff,4.0,0.0,0.0,0.0
842c2b7ffffffff,6.0,0.0,0.0,0.0
842d00bffffffff,2.0,0.0,0.0,0.0
842d01dffffffff,6.0,0.0,0.0,0.0
842d31bffffffff,1.0,0.0,0.0,0.0
842d357ffffffff,3.0,0.0,0.0,0.0
842dacdffffffff,2.0,0.0,0.0,0.0
842e0adffffffff,1.0,0.0,0.0,0.0
842e0bdffffffff,1.0,0.0,0.0,0.0
842e135ffffffff,2.0,0.0,0.0,0.0
842e137ffffffff,4.0,0.0,0.0,0.0
842e1a3ffffffff,1.0,0.0,0.0,0.0
842e1a5ffffffff,3.0,0.0,0.0,0.0
842e1adffffffff,2.0,0.0,2.0,0.0
842e1b1ffffffff,4.0,0.0,0.0,0.0
842e1b5ffffffff,9.0,0.0,2.0,0.0
842e1b9ffffffff,1.0,0.0,0.0,0.0
842e1bdffffffff,2.0,0.0,0.0,0.0
842e1dbffffffff,1.0,0.0,0.0,0.0
842e497ffffffff,1.0,0.0,0.0,0.0
842e619ffffffff,2.0,0.0,0.0,0.0
842e61dffffffff,2.0,0.0,0.0,0.0
842e687ffffffff,2.0,0.0,0.0,0.0
842e745ffffffff,21.0,0.0,0.0,0.0
842e757ffffffff,2.0,0.0,0.0,0.0
842e759ffffffff,1.0,0.0,0.0,0.0
842e75bffffffff,1.0,0.0,0.0,0.0
842e75dffffffff,19.0,0.0,1.0,0.0
842e881ffffffff,2.0,0.0,0.0,0.0
842eac3ffffffff,1.0,0.0,0.0,0.0
842eac7ffffffff,4.0,0.0,4.0,0.0
842eac9ffffffff,28.0,0.0,0.0,0.0
842eacbffffffff,4.0,0.0,0.0,0.0
842ead1ffffffff,3.0,0.0,1.0,0.0
842ead3ffffffff,3.0,0.0,3.0,0.0
842ead9ffffffff,6.0,0.0,0.0,0.0
842eadbffffffff,3.0,0.0,0.0,0.0
842eaddffffffff,29.0,0.0,1.0,0.0
842ec03ffffffff,2.0,0.0,0.0,0.0
842ec23ffffffff,2.0,0.0,0.0,0.0
842ec25ffffffff,3.0,0.0,0.0,0.0
842ec81ffffffff,3.0,0.0,0.0,0.0
842ec91ffffffff,6.0,0.0,0.0,0.0
842ec99ffffffff,11.0,0.0,0.0,0.0
842ecb9ffffffff,3.0,0.0,0.0,0.0
842eda5ffffffff,2.0,0.0,0.0,0.0
842eeb3ffffffff,1.0,0.0,0.0,0.0
842f5bbffffffff,2.0,0.0,0.0,0.0
8430c01ffffffff,2.0,0.0,0.0,0.0
8430c15ffffffff,3.0,0.0,0.0,0.0
8430c17ffffffff,7.0,0.0,0.0,0.0
8430c19ffffffff,2.0,0.0,0.0,0.0
8430c1bffffffff,3.0,0.0,0.0,0.0
8430c1dffffffff,10.0,0.0,0.0,0.0
8430c29ffffffff,2.0,0.0,1.0,0.0
8430c41ffffffff,3.0,0.0,0.0,0.0
8430c49ffffffff,9.0,0.0,0.0,0.0
8430c59ffffffff,1.0,0.0,0.0,0.0
8430c63ffffffff,11.0,0.0,2.0,0.0
8430c67ffffffff,5.0,0.0,0.0,0.0
8430cedffffffff,2.0,0.0,0.0,0.0
8430d03ffffffff,3.0,0.0,0.0,0.0
8430d11ffffffff,4.0,0.0,0.0,0.0
8430d15ffffffff,11.0,0.0,0.0,0.0
8430d1dffffffff,7.0,0.0,0.0,0.0
8430e03ffffffff,13.0,0.0,0.0,0.0
8430e09ffffffff,3.0,0.0,0.0,0.0
8430e0bffffffff,3.0,0.0,0.0,0.0
8430e11ffffffff,6.0,0.0,0.0,0.0
8430e15ffffffff,3.0,0.0,2.0,0.0
8430e1dffffffff,59.0,0.0,6.0,0.0
8430e31ffffffff,71.0,0.0,0.0,0.0
8430e35ffffffff,4.0,0.0,0.0,0.0
8430e37ffffffff,13.0,0.0,0.0,0.0
8430e39ffffffff,1.0,0.0,0.0,0.0
8430e3dffffffff,1.0,0.0,0.0,0.0
8430e57ffffffff,14.0,0.0,0.0,0.0
8430ec1ffffffff,4.0,0.0,0.0,0.0
8430ee7ffffffff,2.0,0.0,0.0,0.0
8430eebffffffff,2.0,0.0,0.0,0.0
8430f31ffffffff,2.0,0.0,0.0,0.0
8431135ffffffff,1.0,0.0,0.0,0.0
8431503ffffffff,1.0,0.0,0.0,0.0
843155bffffffff,2.0,0.0,0.0,0.0
84315b7ffffffff,2.0,0.0,0.0,0.0
8431613ffffffff,9.0,0.0,0.0,0.0
8431649ffffffff,14.0,0.0,0.0,0.0
84316c1ffffffff,12.0,0.0,0.0,0.0
84316c5ffffffff,7.0,0.0,0.0,0.0
84316c7ffffffff,1.0,0.0,0.0,0.0
84316c9ffffffff,2.0,0.0,0.0,0.0
84316cdffffffff,5.0,0.0,0.0,0.0
84316ddffffffff,7.0,0.0,0.0,0.0
84316e5ffffffff,22.0,0.0,0.0,0.0
84316e7ffffffff,3.0,0.0,0.0,0.0
8431855ffffffff,1.0,0.0,0.0,0.0
8431a87ffffffff,41.0,0.0,0.0,0.0
8431aa5ffffffff,2.0,0.0,0.0,0.0
8439759ffffffff,2.0,0.0,0.0,0.0
843f2dbffffffff,14.0,0.0,0.0,0.0
8440525ffffffff,1.0,0.0,0.0,0.0
844052dffffffff,8.0,0.0,4.0,0.0
8440885ffffffff,1.0,0.0,0.0,0.0
8440c05ffffffff,2.0,0.0,0.0,0.0
8440c2dffffffff,2.0,0.0,2.0,0.0
8440c43ffffffff,2.0,0.0,0.0,0.0
8440c59ffffffff,2.0,0.0,0.0,0.0
8440c6dffffffff,28.0,0.0,0.0,0.0
8440e13ffffffff,35.0,0.0,0.0,0.0
8440e5bffffffff,6.0,0.0,0.0,0.0
8440ec1ffffffff,1.0,0.0,0.0,0.0
8440ee9ffffffff,2.0,0.0,0.0,0.0
8440eebffffffff,6.0,0.0,0.0,0.0
844b0b3ffffffff,1.0,0.0,0.0,0.0
844b56dffffffff,63.0,0.0,0.0,37.0
844b60dffffffff,2.0,0.0,0.0,0.0
844b66bffffffff,1.0,0.0,0.0,0.0
844b751ffffffff,2.0,0.0,0.0,0.0
844b753ffffffff,42.0,0.0,2.0,0.0
844b75bffffffff,2.0,0.0,0.0,0.0
844b845ffffffff,2.0,0.0,0.0,0.0
844b869ffffffff,7.0,0.0,1.0,0.0
844ba01ffffffff,41.0,0.0,2.0,0.0
844ba03ffffffff,121.0,0.0,1.0,0.0
844ba05ffffffff,555.0,0.0,84.0,0.0
844ba07ffffffff,182.0,0.0,8.0,0.0
844ba21ffffffff,34.0,0.0,0.0,0.0
844ba23ffffffff,3.0,0.0,0.0,0.0
844ba25ffffffff,7.0,0.0,0.0,0.0
844ba27ffffffff,209.0,0.0,12.0,0.0
844ba2bffffffff,175.0,0.0,2.0,0.0
844ba39ffffffff,5.0,0.0,0.0,0.0
844ba3dffffffff,28.0,0.0,0.0,0.0
844bb13ffffffff,8.0,0.0,0.0,0.0
844bb1bffffffff,24.0,0.0,3.0,0.0
