cell_id,Microspingus torquatus,Microspingus torquatus torquatus,Microspingus torquatus pectoralis
84b245bffffffff,2.0,0.0,0.0
84b245dffffffff,3.0,0.0,0.0
84b2461ffffffff,4.0,0.0,0.0
84b2463ffffffff,87.0,0.0,0.0
84b2467ffffffff,5.0,0.0,0.0
84b246bffffffff,7.0,0.0,0.0
84b246dffffffff,3.0,0.0,0.0
84b24a9ffffffff,7.0,0.0,0.0
84b24abffffffff,3.0,0.0,0.0
84b24adffffffff,1.0,0.0,0.0
84b24c5ffffffff,14.0,0.0,0.0
84b24cdffffffff,52.0,0.0,0.0
84b24dbffffffff,1.0,0.0,0.0
84b24e5ffffffff,7.0,0.0,0.0
84b250dffffffff,3.0,0.0,0.0
84b2519ffffffff,2.0,0.0,0.0
84b251bffffffff,19.0,0.0,0.0
84b251dffffffff,1.0,0.0,0.0
84b2527ffffffff,1.0,0.0,0.0
84b2533ffffffff,4.0,0.0,0.0
84b2541ffffffff,2.0,0.0,0.0
84b2549ffffffff,6.0,0.0,0.0
84b2551ffffffff,2.0,0.0,0.0
84b2555ffffffff,3.0,0.0,0.0
84b2557ffffffff,3.0,0.0,0.0
84b255dffffffff,8.0,0.0,0.0
84b2581ffffffff,5.0,0.0,0.0
84b2583ffffffff,5.0,0.0,0.0
84b2585ffffffff,8.0,0.0,0.0
84b2589ffffffff,35.0,0.0,0.0
84b258dffffffff,13.0,0.0,0.0
84b2591ffffffff,26.0,0.0,0.0
84b2595ffffffff,2.0,0.0,0.0
84b259bffffffff,5.0,0.0,0.0
84b259dffffffff,3.0,0.0,0.0
84b25a1ffffffff,2.0,0.0,0.0
84b25a7ffffffff,4.0,0.0,0.0
84b25adffffffff,1.0,0.0,0.0
84b25b1ffffffff,1.0,0.0,0.0
84b25b5ffffffff,1.0,0.0,0.0
84b25b9ffffffff,2.0,0.0,0.0
84b25bbffffffff,2.0,0.0,0.0
84b25c1ffffffff,16.0,0.0,0.0
84b25c3ffffffff,2.0,0.0,0.0
84b25c7ffffffff,24.0,0.0,0.0
84b25c9ffffffff,1.0,0.0,0.0
84b25cbffffffff,5.0,0.0,0.0
84b25cdffffffff,114.0,0.0,0.0
84b25d1ffffffff,10.0,0.0,0.0
84b25d3ffffffff,3.0,0.0,0.0
84b25d5ffffffff,36.0,0.0,0.0
84b25d7ffffffff,26.0,0.0,0.0
84b25d9ffffffff,1.0,0.0,0.0
84b25ddffffffff,3.0,0.0,0.0
84b25e1ffffffff,63.0,0.0,0.0
84b25e3ffffffff,32.0,0.0,0.0
84b25e5ffffffff,4.0,0.0,0.0
84b25e7ffffffff,5.0,0.0,0.0
84b25ebffffffff,14.0,0.0,0.0
84b25edffffffff,2.0,0.0,0.0
84b2611ffffffff,3.0,0.0,0.0
84b2627ffffffff,2.0,0.0,0.0
84b262bffffffff,5.0,0.0,0.0
84b262dffffffff,106.0,0.0,0.0
84b2633ffffffff,1.0,0.0,0.0
84b263dffffffff,14.0,0.0,0.0
84b2661ffffffff,3.0,0.0,0.0
84b2665ffffffff,19.0,0.0,0.0
84b2667ffffffff,11.0,0.0,0.0
84b26adffffffff,20.0,0.0,0.0
84b2701ffffffff,7.0,0.0,0.0
84b2703ffffffff,1.0,0.0,0.0
84b2709ffffffff,1.0,0.0,0.0
84b270bffffffff,3.0,0.0,0.0
84b270dffffffff,7.0,0.0,0.0
84b2715ffffffff,9.0,0.0,0.0
84b2717ffffffff,6.0,0.0,0.0
84b2719ffffffff,2.0,0.0,0.0
84b2721ffffffff,1.0,0.0,0.0
84b2725ffffffff,3.0,0.0,0.0
84b272bffffffff,9.0,0.0,0.0
84b2743ffffffff,2.0,0.0,0.0
84b2749ffffffff,2.0,0.0,0.0
84b2753ffffffff,4.0,0.0,0.0
84b2757ffffffff,8.0,0.0,0.0
84b275bffffffff,112.0,0.0,0.0
84b275dffffffff,9.0,0.0,0.0
84b276bffffffff,5.0,0.0,0.0
84b2cddffffffff,1.0,0.0,0.0
84b2e1bffffffff,2.0,0.0,0.0
84b2e85ffffffff,84.0,0.0,0.0
84b2e91ffffffff,58.0,0.0,0.0
84b2e95ffffffff,3.0,0.0,0.0
84b2e99ffffffff,72.0,0.0,0.0
84b2e9bffffffff,2.0,0.0,0.0
84b2e9dffffffff,4.0,0.0,0.0
84b2ea9ffffffff,11.0,0.0,0.0
84b2eb7ffffffff,8.0,0.0,0.0
84b2eb9ffffffff,9.0,0.0,0.0
84b2ebbffffffff,36.0,0.0,0.0
84b2ec1ffffffff,41.0,0.0,0.0
84b2ec5ffffffff,2.0,0.0,0.0
84b2ec9ffffffff,3.0,0.0,0.0
84b2ecbffffffff,6.0,0.0,0.0
84b2ecdffffffff,5.0,0.0,0.0
84b2ed7ffffffff,10.0,0.0,0.0
84b2ed9ffffffff,15.0,0.0,0.0
84b2ee1ffffffff,3.0,0.0,0.0
84b2ee3ffffffff,2.0,0.0,0.0
84b2ee9ffffffff,3.0,0.0,0.0
84b2eebffffffff,44.0,0.0,0.0
84b32c9ffffffff,3.0,0.0,0.0
84b32d9ffffffff,2.0,0.0,0.0
84b32dbffffffff,14.0,0.0,0.0
84b32ddffffffff,10.0,0.0,0.0
84b3421ffffffff,5.0,0.0,0.0
84b3423ffffffff,7.0,0.0,0.0
84b342bffffffff,2.0,0.0,0.0
84b343bffffffff,9.0,0.0,0.0
84b3481ffffffff,2.0,0.0,0.0
84b3487ffffffff,1.0,0.0,0.0
84b3491ffffffff,2.0,0.0,0.0
84b34a5ffffffff,4.0,0.0,0.0
84b34b1ffffffff,29.0,0.0,0.0
84b34b9ffffffff,5.0,0.0,0.0
84b34bdffffffff,3.0,0.0,0.0
84b34c1ffffffff,3.0,0.0,0.0
84b34c3ffffffff,3.0,0.0,0.0
84b34c5ffffffff,3.0,0.0,0.0
84b34c7ffffffff,3.0,0.0,0.0
84b34d1ffffffff,5.0,0.0,0.0
84b34d3ffffffff,3.0,0.0,0.0
84b34d7ffffffff,2.0,0.0,0.0
84b34d9ffffffff,6.0,0.0,0.0
84b34dbffffffff,17.0,0.0,0.0
84b3583ffffffff,1.0,0.0,0.0
84b3589ffffffff,18.0,0.0,0.0
84b358dffffffff,2.0,0.0,0.0
84b35a1ffffffff,16.0,0.0,0.0
84b35a5ffffffff,36.0,0.0,0.0
84b35a7ffffffff,89.0,0.0,0.0
84b35a9ffffffff,15.0,0.0,0.0
84b35abffffffff,5.0,0.0,0.0
84b35adffffffff,114.0,0.0,0.0
84b35bdffffffff,9.0,0.0,0.0
84b35c1ffffffff,1.0,0.0,0.0
84b35d5ffffffff,2.0,0.0,0.0
84b35ddffffffff,6.0,0.0,0.0
84b35e1ffffffff,32.0,0.0,0.0
84b35e3ffffffff,23.0,0.0,0.0
84b35e5ffffffff,31.0,0.0,0.0
84b35e7ffffffff,8.0,0.0,0.0
84b35e9ffffffff,11.0,0.0,0.0
84b35ebffffffff,2.0,0.0,0.0
84b3605ffffffff,1.0,0.0,0.0
84b3611ffffffff,4.0,0.0,0.0
84b3615ffffffff,10.0,0.0,0.0
84b3617ffffffff,1.0,0.0,0.0
84b361dffffffff,1.0,0.0,0.0
84b3629ffffffff,6.0,0.0,0.0
84b362dffffffff,1.0,0.0,0.0
84b3661ffffffff,2.0,0.0,0.0
84b3663ffffffff,3.0,0.0,0.0
84b3667ffffffff,1.0,0.0,0.0
84b3689ffffffff,4.0,0.0,0.0
84b3699ffffffff,33.0,0.0,0.0
84b369bffffffff,2.0,0.0,0.0
84b36a9ffffffff,2.0,0.0,0.0
84b36d3ffffffff,2.0,0.0,0.0
84b36d7ffffffff,2.0,0.0,0.0
84b36e9ffffffff,2.0,0.0,0.0
84c2cd3ffffffff,1.0,0.0,0.0
84c3083ffffffff,1.0,0.0,0.0
84c308bffffffff,1.0,0.0,0.0
84c3093ffffffff,5.0,0.0,0.0
84c30b9ffffffff,2.0,0.0,0.0
84c3297ffffffff,52.0,0.0,6.0
84c32b3ffffffff,1.0,0.0,0.0
84c32b7ffffffff,3.0,0.0,0.0
84c3401ffffffff,36.0,0.0,0.0
84c3403ffffffff,18.0,0.0,0.0
84c3409ffffffff,2.0,0.0,0.0
84c340dffffffff,10.0,0.0,0.0
84c3419ffffffff,3.0,0.0,0.0
84c3445ffffffff,3.0,0.0,0.0
84c3451ffffffff,2.0,0.0,0.0
84c3459ffffffff,3.0,0.0,0.0
84c345bffffffff,8.0,0.0,0.0
84c345dffffffff,2.0,0.0,0.0
84c3465ffffffff,4.0,0.0,0.0
84c3469ffffffff,2.0,0.0,0.0
84c346bffffffff,6.0,0.0,0.0
84c349bffffffff,2.0,0.0,0.0
84c34bbffffffff,3.0,0.0,0.0
84c34c9ffffffff,4.0,0.0,0.0
84c34e9ffffffff,1.0,0.0,0.0
84c3505ffffffff,2.0,0.0,0.0
84c3509ffffffff,7.0,0.0,0.0
84c350dffffffff,6.0,0.0,3.0
84c3543ffffffff,1.0,0.0,0.0
84c3547ffffffff,6.0,0.0,0.0
84c355bffffffff,2.0,0.0,0.0
84c3563ffffffff,2.0,0.0,0.0
84c3569ffffffff,1.0,0.0,0.0
84c356bffffffff,25.0,0.0,0.0
84c356dffffffff,2.0,0.0,0.0
84c3603ffffffff,11.0,0.0,0.0
84c3607ffffffff,8.0,0.0,0.0
84c3623ffffffff,2.0,0.0,0.0
84c3633ffffffff,2.0,0.0,0.0
84c3663ffffffff,8.0,0.0,0.0
84c3681ffffffff,3.0,0.0,0.0
84c36a3ffffffff,4.0,0.0,0.0
84c36a7ffffffff,2.0,0.0,0.0
84c36abffffffff,4.0,0.0,0.0
84c36b5ffffffff,4.0,0.0,0.0
84c36c1ffffffff,6.0,0.0,0.0
84c36c7ffffffff,3.0,0.0,0.0
84c36d7ffffffff,1.0,0.0,0.0
84c36d9ffffffff,1.0,0.0,0.0
84c36dbffffffff,5.0,0.0,0.0
84c36ddffffffff,7.0,0.0,0.0
84c3709ffffffff,1.0,0.0,0.0
84c371bffffffff,20.0,0.0,0.0
84c371dffffffff,3.0,0.0,0.0
84c3729ffffffff,9.0,0.0,0.0
84c372bffffffff,2.0,0.0,0.0
84c3733ffffffff,4.0,0.0,0.0
84c3735ffffffff,8.0,0.0,0.0
84c3739ffffffff,9.0,0.0,0.0
84c3755ffffffff,1.0,0.0,0.0
84c375dffffffff,1.0,0.0,0.0
84c3765ffffffff,1.0,0.0,0.0
84c3767ffffffff,5.0,0.0,0.0
84c376dffffffff,8.0,0.0,3.0
