cell_id,Systellura longirostris,Systellura longirostris roraimae,Systellura longirostris ruficervix,Systellura longirostris atripunctata,Systellura longirostris bifasciata/patagonica,Systellura longirostris longirostris,Systellura longirostris mochaensis
84c2e31ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84c2ea1ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84c2ebbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84c2f23ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84c32e1ffffffff,3.0,0.0,0.0,0.0,3.0,0.0,0.0
84c3543ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84c371bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
84ce839ffffffff,1.0,0.0,0.0,0.0,1.0,0.0,0.0
84cf129ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84cf913ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
