cell_id,Anas crecca,Anas crecca crecca,Anas crecca carolinensis,Anas crecca crecca x carolinensis
821e37fffffffff,1524.0,60.0,0.0,0.0
821e47fffffffff,32.0,0.0,0.0,0.0
821e4ffffffffff,22.0,0.0,0.0,0.0
821e57fffffffff,86.0,1.0,0.0,0.0
821e5ffffffffff,281.0,14.0,0.0,0.0
821e67fffffffff,76.0,0.0,0.0,0.0
821e6ffffffffff,16.0,0.0,0.0,0.0
821e77fffffffff,11.0,0.0,0.0,0.0
821e87fffffffff,367.0,84.0,0.0,0.0
821e8ffffffffff,5.0,3.0,0.0,0.0
821e97fffffffff,18.0,3.0,0.0,0.0
821ea7fffffffff,545.0,69.0,0.0,0.0
821eaffffffffff,55.0,0.0,0.0,0.0
821eb7fffffffff,86.0,8.0,0.0,0.0
821ec7fffffffff,1286.0,112.0,0.0,0.0
821ecffffffffff,993.0,201.0,0.0,0.0
821ed7fffffffff,332.0,20.0,0.0,0.0
821edffffffffff,508.0,35.0,0.0,0.0
821ee7fffffffff,172.0,4.0,0.0,0.0
821eeffffffffff,530.0,149.0,0.0,0.0
821ef7fffffffff,104.0,35.0,0.0,0.0
821f07fffffffff,1371.0,701.0,0.0,0.0
821f0ffffffffff,321.0,73.0,0.0,0.0
821f17fffffffff,738.0,281.0,0.0,0.0
821f1ffffffffff,448.0,100.0,0.0,0.0
821f27fffffffff,436.0,222.0,0.0,0.0
821f2ffffffffff,902.0,622.0,0.0,0.0
821f37fffffffff,719.0,272.0,0.0,0.0
821f47fffffffff,29.0,1.0,0.0,0.0
821f4ffffffffff,135.0,5.0,0.0,0.0
821f57fffffffff,282.0,61.0,0.0,0.0
821f5ffffffffff,82.0,7.0,0.0,0.0
821f67fffffffff,122.0,17.0,0.0,0.0
821f6ffffffffff,5.0,0.0,0.0,0.0
821f77fffffffff,351.0,41.0,0.0,0.0
821f87fffffffff,1308.0,243.0,0.0,0.0
821f8ffffffffff,1262.0,634.0,0.0,0.0
821f97fffffffff,143.0,81.0,0.0,0.0
821f9ffffffffff,333.0,36.0,0.0,0.0
821fa7fffffffff,502.0,75.0,0.0,0.0
821faffffffffff,1615.0,379.0,0.0,0.0
821fb7fffffffff,597.0,64.0,0.0,0.0
82200ffffffffff,8.0,7.0,0.0,0.0
822017fffffffff,20.0,2.0,0.0,0.0
82201ffffffffff,13.0,13.0,0.0,0.0
822037fffffffff,5.0,0.0,0.0,0.0
82204ffffffffff,4.0,4.0,0.0,0.0
82205ffffffffff,2.0,2.0,0.0,0.0
82206ffffffffff,5.0,3.0,0.0,0.0
822087fffffffff,2.0,0.0,0.0,0.0
82208ffffffffff,2.0,1.0,0.0,0.0
822097fffffffff,2.0,0.0,0.0,0.0
82209ffffffffff,13.0,0.0,0.0,0.0
8220a7fffffffff,15.0,10.0,0.0,0.0
8220affffffffff,15.0,9.0,0.0,0.0
8220b7fffffffff,26.0,5.0,0.0,0.0
8220e7fffffffff,59.0,37.0,0.0,0.0
8220f7fffffffff,13.0,12.0,0.0,0.0
82210ffffffffff,1.0,0.0,0.0,0.0
822127fffffffff,6.0,6.0,0.0,0.0
82214ffffffffff,11.0,0.0,0.0,0.0
822157fffffffff,26.0,20.0,0.0,0.0
82219ffffffffff,21.0,6.0,0.0,0.0
8222d7fffffffff,96.0,14.0,25.0,6.0
8222dffffffffff,3354.0,752.0,311.0,212.0
8222effffffffff,1195.0,914.0,0.0,0.0
822407fffffffff,20.0,0.0,0.0,0.0
82240ffffffffff,9.0,0.0,0.0,0.0
822427fffffffff,1.0,0.0,0.0,0.0
82242ffffffffff,103.0,3.0,0.0,0.0
822437fffffffff,14.0,0.0,0.0,0.0
822447fffffffff,19.0,0.0,0.0,0.0
82244ffffffffff,11.0,9.0,0.0,0.0
822457fffffffff,54.0,0.0,0.0,0.0
822467fffffffff,116.0,1.0,0.0,0.0
82246ffffffffff,19.0,1.0,0.0,0.0
822477fffffffff,117.0,3.0,0.0,0.0
82248ffffffffff,17.0,7.0,0.0,0.0
822507fffffffff,4.0,0.0,0.0,0.0
82250ffffffffff,10.0,0.0,0.0,0.0
822517fffffffff,76.0,0.0,0.0,0.0
822547fffffffff,29.0,19.0,0.0,0.0
822557fffffffff,5.0,0.0,0.0,0.0
82255ffffffffff,72.0,1.0,0.0,0.0
82256ffffffffff,2.0,2.0,0.0,0.0
822577fffffffff,9.0,4.0,0.0,0.0
8225affffffffff,15.0,0.0,0.0,0.0
8225b7fffffffff,17.0,6.0,0.0,0.0
822607fffffffff,1312.0,0.0,312.0,0.0
82260ffffffffff,2562.0,0.0,245.0,0.0
822617fffffffff,454.0,0.0,35.0,0.0
82261ffffffffff,1384.0,0.0,160.0,0.0
822627fffffffff,2653.0,0.0,98.0,0.0
82262ffffffffff,3506.0,0.0,92.0,0.0
822637fffffffff,1154.0,0.0,235.0,0.0
822647fffffffff,4958.0,0.0,403.0,0.0
82264ffffffffff,4061.0,0.0,199.0,0.0
822657fffffffff,6262.0,0.0,337.0,0.0
82265ffffffffff,2177.0,0.0,111.0,0.0
822667fffffffff,6573.0,0.0,677.0,0.0
82266ffffffffff,3824.0,0.0,348.0,0.0
822677fffffffff,2416.0,0.0,224.0,0.0
822687fffffffff,10941.0,0.0,1320.0,0.0
82268ffffffffff,20702.0,0.0,2078.0,0.0
822697fffffffff,8876.0,0.0,3232.0,0.0
82269ffffffffff,6569.0,0.0,986.0,0.0
8226a7fffffffff,386.0,0.0,27.0,0.0
8226affffffffff,9503.0,0.0,1532.0,0.0
8226b7fffffffff,1157.0,0.0,117.0,0.0
8226c7fffffffff,1361.0,0.0,106.0,0.0
8226cffffffffff,6845.0,0.0,507.0,0.0
8226d7fffffffff,1459.0,0.0,218.0,0.0
8226dffffffffff,2551.0,0.0,509.0,0.0
8226e7fffffffff,6023.0,0.0,502.0,0.0
8226effffffffff,1198.0,0.0,100.0,0.0
8226f7fffffffff,2879.0,0.0,314.0,0.0
822707fffffffff,2806.0,0.0,410.0,0.0
82270ffffffffff,582.0,0.0,42.0,0.0
822717fffffffff,2041.0,0.0,263.0,0.0
82271ffffffffff,1602.0,0.0,168.0,0.0
82272ffffffffff,8.0,0.0,0.0,0.0
822737fffffffff,4.0,0.0,0.0,0.0
822747fffffffff,1938.0,0.0,149.0,0.0
82274ffffffffff,5924.0,0.0,524.0,0.0
822757fffffffff,2551.0,0.0,285.0,0.0
82275ffffffffff,9754.0,0.0,334.0,0.0
822767fffffffff,1026.0,0.0,100.0,0.0
82276ffffffffff,2307.0,0.0,300.0,0.0
822777fffffffff,762.0,0.0,92.0,0.0
822787fffffffff,642.0,0.0,161.0,0.0
82278ffffffffff,585.0,0.0,117.0,0.0
822797fffffffff,1896.0,0.0,125.0,0.0
82279ffffffffff,734.0,0.0,115.0,0.0
8227a7fffffffff,1144.0,0.0,74.0,0.0
8227affffffffff,1577.0,0.0,259.0,0.0
8227b7fffffffff,686.0,0.0,55.0,0.0
822807fffffffff,7489.0,0.0,2902.0,0.0
822817fffffffff,4718.0,0.0,842.0,0.0
82281ffffffffff,7967.0,10.0,1851.0,0.0
822837fffffffff,42254.0,0.0,7135.0,0.0
822887fffffffff,5906.0,0.0,1094.0,0.0
82288ffffffffff,7811.0,0.0,908.0,0.0
822897fffffffff,3749.0,0.0,324.0,0.0
82289ffffffffff,2791.0,0.0,383.0,0.0
8228a7fffffffff,326.0,0.0,37.0,0.0
8228affffffffff,5282.0,0.0,386.0,0.0
8228b7fffffffff,3255.0,0.0,553.0,0.0
8228c7fffffffff,5936.0,0.0,621.0,0.0
8228cffffffffff,21.0,0.0,1.0,0.0
8228d7fffffffff,37810.0,57.0,4582.0,4.0
8228dffffffffff,20953.0,30.0,2480.0,4.0
8228e7fffffffff,51.0,9.0,0.0,0.0
8228f7fffffffff,31926.0,94.0,3536.0,11.0
