cell_id,Dendropicos griseocephalus,Dendropicos griseocephalus ruwenzori,Dendropicos griseocephalus kilimensis,Dendropicos griseocephalus griseocephalus
84bcc65ffffffff,2.0,0.0,0.0,2.0
84bcc69ffffffff,1.0,0.0,0.0,0.0
84bcc6dffffffff,2.0,0.0,0.0,0.0
84bcd01ffffffff,11.0,0.0,0.0,0.0
84bcd05ffffffff,7.0,0.0,0.0,7.0
84bcd07ffffffff,102.0,0.0,0.0,32.0
84bcd09ffffffff,5.0,0.0,0.0,2.0
84bcd0bffffffff,10.0,0.0,0.0,2.0
84bcd1dffffffff,2.0,0.0,0.0,2.0
84bcd23ffffffff,1.0,0.0,0.0,0.0
84bcd37ffffffff,3.0,0.0,0.0,0.0
84bcd3dffffffff,4.0,0.0,0.0,0.0
84bcd43ffffffff,5.0,0.0,0.0,0.0
84bcd47ffffffff,4.0,0.0,0.0,0.0
84bcd4bffffffff,3.0,0.0,0.0,0.0
84bcd55ffffffff,2.0,0.0,0.0,0.0
84bcd57ffffffff,2.0,0.0,0.0,0.0
84bce21ffffffff,18.0,0.0,0.0,13.0
84bce29ffffffff,59.0,0.0,0.0,15.0
84bce2dffffffff,4.0,0.0,0.0,0.0
84bce45ffffffff,2.0,0.0,0.0,0.0
84bce4dffffffff,2.0,0.0,0.0,0.0
84bce61ffffffff,1.0,0.0,0.0,0.0
84bce63ffffffff,4.0,0.0,0.0,0.0
84bce65ffffffff,1.0,0.0,0.0,0.0
84bce67ffffffff,71.0,0.0,0.0,15.0
84bce6bffffffff,6.0,0.0,0.0,0.0
84bce6dffffffff,1.0,0.0,0.0,0.0
84bcf09ffffffff,82.0,0.0,0.0,14.0
84bcf0bffffffff,1.0,0.0,0.0,1.0
84bcf1dffffffff,2.0,0.0,0.0,0.0
84bcf33ffffffff,2.0,0.0,0.0,0.0
84bcf3dffffffff,3.0,0.0,0.0,2.0
84bcf47ffffffff,12.0,0.0,0.0,8.0
84bcf53ffffffff,34.0,0.0,0.0,6.0
84bcf59ffffffff,12.0,0.0,0.0,0.0
84bcf5bffffffff,64.0,0.0,0.0,27.0
84bcf5dffffffff,1.0,0.0,0.0,0.0
84bcf63ffffffff,2.0,0.0,0.0,0.0
