cell_id,Butorides striata,Butorides striata striata,Butorides striata sundevalli,Butorides striata [atricapilla Group]
82aca7fffffffff,2.0,0.0,0.0,0.0
82acb7fffffffff,2.0,0.0,0.0,0.0
82ad37fffffffff,2.0,0.0,0.0,0.0
82b20ffffffffff,3.0,0.0,0.0,0.0
82b21ffffffffff,2.0,0.0,0.0,0.0
82b24ffffffffff,211.0,0.0,0.0,0.0
82b25ffffffffff,2.0,0.0,0.0,0.0
82b26ffffffffff,126.0,0.0,0.0,0.0
82b2cffffffffff,3.0,0.0,0.0,0.0
82b2e7fffffffff,8.0,0.0,0.0,0.0
82b2effffffffff,3.0,3.0,0.0,0.0
82b307fffffffff,1.0,0.0,0.0,0.0
82b347fffffffff,17.0,0.0,0.0,0.0
82b357fffffffff,3.0,0.0,0.0,0.0
82b35ffffffffff,13.0,0.0,0.0,0.0
82b367fffffffff,1.0,1.0,0.0,0.0
82b36ffffffffff,5.0,0.0,0.0,0.0
82bc47fffffffff,1.0,0.0,0.0,0.0
82bcd7fffffffff,6.0,0.0,0.0,3.0
82bcdffffffffff,5.0,0.0,0.0,3.0
82be0ffffffffff,15.0,0.0,0.0,0.0
82be8ffffffffff,10.0,0.0,0.0,4.0
82bef7fffffffff,7.0,0.0,0.0,0.0
82c2c7fffffffff,7.0,4.0,0.0,0.0
82c2cffffffffff,270.0,0.0,0.0,0.0
82c2e7fffffffff,5.0,1.0,0.0,0.0
82c2effffffffff,17.0,0.0,0.0,0.0
82c2f7fffffffff,6.0,0.0,0.0,0.0
82c34ffffffffff,4.0,0.0,0.0,0.0
82c367fffffffff,21.0,3.0,0.0,0.0
