cell_id,Sporophila leucoptera,Sporophila leucoptera bicolor,Sporophila leucoptera [leucoptera Group]
84a8117ffffffff,15.0,0.0,0.0
84a8119ffffffff,3.0,0.0,0.0
84a811dffffffff,1.0,0.0,0.0
84a8121ffffffff,28.0,0.0,0.0
84a8123ffffffff,28.0,0.0,0.0
84a8125ffffffff,10.0,0.0,0.0
84a8127ffffffff,93.0,0.0,5.0
84a8129ffffffff,25.0,0.0,0.0
84a812bffffffff,57.0,0.0,0.0
84a812dffffffff,13.0,0.0,0.0
84a8131ffffffff,6.0,0.0,0.0
84a8133ffffffff,1.0,0.0,0.0
84a8137ffffffff,2.0,0.0,0.0
84a8139ffffffff,25.0,0.0,5.0
84a813bffffffff,38.0,0.0,2.0
84a8143ffffffff,22.0,0.0,0.0
84a8153ffffffff,1.0,0.0,0.0
84a8155ffffffff,3.0,0.0,0.0
84a815dffffffff,3.0,0.0,0.0
84a8163ffffffff,1.0,0.0,0.0
84a8181ffffffff,3.0,0.0,0.0
84a8185ffffffff,14.0,0.0,0.0
84a8187ffffffff,13.0,0.0,0.0
84a8189ffffffff,3.0,0.0,0.0
84a818dffffffff,25.0,0.0,0.0
84a8191ffffffff,2.0,0.0,0.0
84a8193ffffffff,5.0,0.0,0.0
84a8195ffffffff,53.0,0.0,0.0
84a8197ffffffff,2.0,0.0,0.0
84a8199ffffffff,6.0,0.0,0.0
84a81a1ffffffff,16.0,0.0,0.0
84a81a3ffffffff,2.0,0.0,0.0
84a81a9ffffffff,2.0,0.0,0.0
84a81abffffffff,12.0,0.0,0.0
84a81adffffffff,8.0,0.0,0.0
84a81b1ffffffff,18.0,0.0,0.0
84a81b3ffffffff,2.0,0.0,0.0
84a81b5ffffffff,2.0,0.0,0.0
84a81b9ffffffff,5.0,0.0,0.0
84a81bbffffffff,33.0,0.0,0.0
84a81bdffffffff,9.0,0.0,0.0
84a81c7ffffffff,20.0,0.0,0.0
84a81cbffffffff,2.0,0.0,0.0
84a81cdffffffff,78.0,0.0,0.0
84a81d1ffffffff,7.0,0.0,0.0
84a81d9ffffffff,4.0,0.0,0.0
84a81e1ffffffff,94.0,0.0,0.0
84a81e3ffffffff,26.0,0.0,0.0
84a81e7ffffffff,11.0,0.0,0.0
84a81e9ffffffff,76.0,0.0,0.0
84a81ebffffffff,9.0,0.0,0.0
84a81edffffffff,233.0,0.0,0.0
84a8291ffffffff,11.0,0.0,0.0
84a829bffffffff,1.0,0.0,0.0
84a82abffffffff,2.0,0.0,0.0
84a8337ffffffff,17.0,0.0,0.0
84a8403ffffffff,33.0,0.0,0.0
84a8405ffffffff,4.0,0.0,0.0
84a840bffffffff,1.0,0.0,0.0
84a840dffffffff,131.0,0.0,0.0
84a8411ffffffff,11.0,0.0,0.0
84a8413ffffffff,5.0,0.0,0.0
84a8415ffffffff,1.0,0.0,0.0
84a8417ffffffff,1.0,0.0,0.0
84a842bffffffff,1.0,0.0,0.0
84a844dffffffff,6.0,0.0,0.0
84a845bffffffff,25.0,0.0,0.0
84a8461ffffffff,5.0,0.0,0.0
84a8463ffffffff,10.0,0.0,0.0
84a846bffffffff,2.0,0.0,0.0
84a84a3ffffffff,2.0,0.0,0.0
84a84a5ffffffff,7.0,0.0,4.0
84a84e7ffffffff,2.0,0.0,0.0
84a8519ffffffff,2.0,0.0,0.0
84a8559ffffffff,1.0,0.0,0.0
84a855dffffffff,1.0,0.0,0.0
84a8591ffffffff,169.0,0.0,5.0
84a8593ffffffff,5.0,0.0,0.0
84a8599ffffffff,149.0,0.0,5.0
84a85b3ffffffff,3.0,0.0,0.0
84a85d3ffffffff,242.0,0.0,3.0
84a85d7ffffffff,5.0,0.0,0.0
84a8607ffffffff,2.0,0.0,0.0
84a8615ffffffff,5.0,0.0,0.0
84a862dffffffff,10.0,0.0,0.0
84a8639ffffffff,1.0,0.0,0.0
84a8645ffffffff,2.0,0.0,0.0
84a8647ffffffff,10.0,0.0,0.0
84a866bffffffff,2.0,0.0,0.0
84a8701ffffffff,4.0,0.0,0.0
84a871bffffffff,4.0,0.0,0.0
84a8737ffffffff,22.0,0.0,0.0
84a8743ffffffff,1.0,0.0,0.0
84a8753ffffffff,2.0,0.0,0.0
84a8763ffffffff,2.0,0.0,0.0
84a876dffffffff,9.0,0.0,0.0
84a8805ffffffff,18.0,0.0,3.0
84a8807ffffffff,15.0,0.0,0.0
84a880dffffffff,8.0,0.0,0.0
84a8813ffffffff,1.0,0.0,0.0
84a8817ffffffff,2.0,0.0,0.0
84a8821ffffffff,4.0,0.0,0.0
84a8831ffffffff,3.0,0.0,0.0
84a883dffffffff,2.0,0.0,0.0
84a8847ffffffff,2.0,0.0,0.0
84a8849ffffffff,70.0,0.0,0.0
84a884bffffffff,10.0,0.0,0.0
84a884dffffffff,4.0,0.0,0.0
84a8857ffffffff,4.0,0.0,0.0
84a885bffffffff,2.0,0.0,0.0
84a8863ffffffff,9.0,0.0,0.0
84a8867ffffffff,12.0,0.0,0.0
84a8889ffffffff,2.0,0.0,0.0
84a88a9ffffffff,2.0,0.0,0.0
84a88b1ffffffff,2.0,0.0,0.0
84a88bbffffffff,3.0,0.0,0.0
84a88c3ffffffff,2.0,0.0,0.0
84a88c7ffffffff,1.0,0.0,0.0
84a88d5ffffffff,1.0,0.0,0.0
84a88ddffffffff,82.0,0.0,6.0
84a8911ffffffff,4.0,0.0,0.0
84a8917ffffffff,8.0,0.0,0.0
84a8919ffffffff,7.0,0.0,0.0
84a891dffffffff,5.0,0.0,0.0
84a893bffffffff,2.0,0.0,0.0
84a8953ffffffff,4.0,0.0,0.0
84a8957ffffffff,1.0,0.0,0.0
84a89b3ffffffff,1.0,0.0,0.0
84a89c5ffffffff,1.0,0.0,0.0
84a8a03ffffffff,16.0,0.0,0.0
84a8a07ffffffff,18.0,0.0,0.0
84a8a11ffffffff,5.0,0.0,0.0
84a8a13ffffffff,65.0,0.0,2.0
84a8a15ffffffff,33.0,0.0,0.0
84a8a17ffffffff,47.0,0.0,2.0
84a8a19ffffffff,84.0,0.0,0.0
84a8a1bffffffff,29.0,0.0,2.0
84a8a1dffffffff,12.0,0.0,0.0
84a8a21ffffffff,10.0,0.0,0.0
84a8a23ffffffff,50.0,0.0,2.0
84a8a25ffffffff,3.0,0.0,0.0
84a8a27ffffffff,3.0,0.0,0.0
84a8a2bffffffff,14.0,0.0,0.0
84a8a31ffffffff,11.0,0.0,0.0
84a8a33ffffffff,5.0,0.0,0.0
84a8a35ffffffff,20.0,0.0,0.0
84a8a37ffffffff,1.0,0.0,0.0
84a8a39ffffffff,3.0,0.0,0.0
84a8a3bffffffff,2.0,0.0,0.0
84a8a3dffffffff,19.0,0.0,0.0
84a8a53ffffffff,83.0,0.0,9.0
84a8a8bffffffff,2.0,0.0,0.0
84a8a91ffffffff,7.0,0.0,5.0
84a8a95ffffffff,4.0,0.0,0.0
84a8a97ffffffff,18.0,0.0,0.0
84a8aadffffffff,11.0,0.0,0.0
84a8ab1ffffffff,9.0,0.0,0.0
84a8ab9ffffffff,3.0,0.0,0.0
84a8abbffffffff,2.0,0.0,0.0
84a8abdffffffff,2.0,0.0,0.0
84a8ac1ffffffff,3.0,0.0,0.0
84a8ac3ffffffff,4.0,0.0,0.0
84a8ac5ffffffff,9.0,0.0,0.0
84a8ac9ffffffff,14.0,0.0,0.0
84a8acbffffffff,47.0,0.0,4.0
84a8acdffffffff,13.0,0.0,0.0
84a8ad3ffffffff,13.0,0.0,0.0
84a8ad5ffffffff,7.0,0.0,0.0
84a8ae1ffffffff,3.0,0.0,0.0
84a8ae5ffffffff,16.0,0.0,0.0
84a8ae7ffffffff,5.0,0.0,0.0
84a8aebffffffff,1.0,0.0,0.0
84a8b13ffffffff,2.0,0.0,0.0
84a8b1bffffffff,2.0,0.0,0.0
84a8c01ffffffff,22.0,0.0,0.0
84a8c03ffffffff,1.0,0.0,0.0
84a8c05ffffffff,4.0,0.0,0.0
84a8c0dffffffff,29.0,0.0,0.0
84a8c25ffffffff,29.0,0.0,12.0
84a8c27ffffffff,3.0,0.0,0.0
84a8c63ffffffff,1.0,0.0,0.0
84a8c83ffffffff,1.0,0.0,0.0
84a8ce9ffffffff,1.0,0.0,0.0
84a8cebffffffff,2.0,0.0,1.0
84a8d05ffffffff,10.0,0.0,0.0
84a8d11ffffffff,16.0,0.0,0.0
84a8d19ffffffff,37.0,0.0,1.0
84a8d1bffffffff,3.0,0.0,0.0
84a8d1dffffffff,2.0,0.0,0.0
84a8d35ffffffff,2.0,0.0,0.0
84a8d43ffffffff,9.0,0.0,0.0
84a8d9dffffffff,1.0,0.0,0.0
84a8e09ffffffff,1.0,0.0,0.0
84a8e4bffffffff,1.0,0.0,0.0
84a8e4dffffffff,1.0,0.0,0.0
84a8e65ffffffff,3.0,0.0,0.0
84a8e69ffffffff,2.0,0.0,0.0
84a8e6dffffffff,22.0,0.0,0.0
84a8ec9ffffffff,5.0,0.0,0.0
84a8f39ffffffff,1.0,0.0,0.0
84a8f41ffffffff,4.0,0.0,0.0
84a8f43ffffffff,2.0,0.0,0.0
84a8f47ffffffff,2.0,0.0,0.0
84a8f4dffffffff,3.0,0.0,0.0
84a8f59ffffffff,3.0,0.0,0.0
84a8f5dffffffff,1.0,0.0,0.0
84a940dffffffff,7.0,0.0,0.0
84a9411ffffffff,207.0,0.0,0.0
84a9413ffffffff,13.0,0.0,0.0
84a9417ffffffff,9.0,0.0,0.0
84a9419ffffffff,21.0,0.0,0.0
84a941bffffffff,27.0,0.0,0.0
84a9425ffffffff,2.0,0.0,0.0
84a9429ffffffff,20.0,0.0,0.0
84a942dffffffff,2.0,0.0,0.0
84a9433ffffffff,4.0,0.0,0.0
84a9435ffffffff,2.0,0.0,0.0
84a9439ffffffff,2.0,0.0,0.0
84a943bffffffff,1.0,0.0,0.0
84a943dffffffff,2.0,0.0,0.0
84a9441ffffffff,9.0,0.0,0.0
84a9443ffffffff,3.0,0.0,0.0
84a9447ffffffff,9.0,0.0,0.0
84a9453ffffffff,24.0,0.0,0.0
84a9457ffffffff,9.0,0.0,0.0
84a9459ffffffff,1.0,0.0,0.0
84a945bffffffff,20.0,0.0,0.0
84a9461ffffffff,111.0,0.0,0.0
84a9463ffffffff,11.0,0.0,0.0
84a9465ffffffff,40.0,0.0,0.0
84a9467ffffffff,60.0,0.0,0.0
84a946bffffffff,31.0,0.0,2.0
84a94c1ffffffff,2.0,0.0,0.0
84a94c7ffffffff,10.0,0.0,0.0
84a94e1ffffffff,1.0,0.0,0.0
84a94e3ffffffff,8.0,0.0,0.0
84a94e5ffffffff,843.0,0.0,0.0
84a94e7ffffffff,34.0,0.0,0.0
84a94edffffffff,15.0,0.0,0.0
84a953bffffffff,7.0,0.0,0.0
84a9599ffffffff,7.0,0.0,0.0
84a95a5ffffffff,18.0,0.0,0.0
84a95c5ffffffff,7.0,0.0,0.0
84a95d1ffffffff,27.0,0.0,0.0
84a95d7ffffffff,1.0,0.0,0.0
84a95d9ffffffff,38.0,0.0,0.0
84a95dbffffffff,143.0,0.0,0.0
84a95edffffffff,12.0,0.0,0.0
84a9611ffffffff,44.0,0.0,0.0
84a9613ffffffff,3.0,0.0,0.0
84a9617ffffffff,22.0,0.0,0.0
84a9627ffffffff,13.0,0.0,0.0
84a9631ffffffff,3.0,0.0,0.0
84a9635ffffffff,1.0,0.0,0.0
84a963dffffffff,2.0,0.0,0.0
84a96a5ffffffff,9.0,0.0,0.0
84a96a7ffffffff,2.0,0.0,0.0
84a96adffffffff,121.0,0.0,0.0
84a96e1ffffffff,14.0,0.0,0.0
84a96e7ffffffff,34.0,0.0,0.0
84b360bffffffff,5.0,0.0,0.0
84b3641ffffffff,1.0,0.0,0.0
84c2c97ffffffff,7.0,0.0,0.0
84c2c99ffffffff,1.0,0.0,0.0
84c2ca7ffffffff,2.0,0.0,0.0
