cell_id,Anthracothorax nigricollis,Anthracothorax nigricollis nigricollis,Anthracothorax nigricollis iridescens
838171fffffffff,30.0,0.0,0.0
838174fffffffff,2.0,0.0,0.0
838175fffffffff,6.0,0.0,0.0
838180fffffffff,43.0,0.0,0.0
838181fffffffff,173.0,0.0,0.0
838183fffffffff,19.0,0.0,0.0
838185fffffffff,52.0,0.0,0.0
83818bfffffffff,2.0,0.0,0.0
83818cfffffffff,2.0,0.0,0.0
83818efffffffff,5.0,0.0,0.0
8381a1fffffffff,6.0,0.0,0.0
838a00fffffffff,11.0,0.0,0.0
838a04fffffffff,4.0,0.0,0.0
838a05fffffffff,7.0,0.0,0.0
838a10fffffffff,8.0,0.0,0.0
838a1afffffffff,3.0,0.0,0.0
838a20fffffffff,1.0,0.0,0.0
838a21fffffffff,1.0,0.0,0.0
838a23fffffffff,5.0,0.0,0.0
838a24fffffffff,3.0,0.0,0.0
838a31fffffffff,3.0,0.0,0.0
838a33fffffffff,6.0,0.0,0.0
838a35fffffffff,2.0,0.0,0.0
838a45fffffffff,250.0,2.0,0.0
838a4bfffffffff,8.0,0.0,0.0
838a5afffffffff,1.0,0.0,0.0
838a63fffffffff,34.0,0.0,0.0
838a68fffffffff,4.0,0.0,0.0
838a69fffffffff,132.0,0.0,0.0
838a6dfffffffff,282.0,0.0,0.0
838a6efffffffff,1.0,0.0,0.0
838a80fffffffff,2.0,0.0,0.0
838a81fffffffff,1.0,0.0,0.0
838a8cfffffffff,1.0,0.0,0.0
838a90fffffffff,2.0,0.0,0.0
838a9cfffffffff,8.0,0.0,0.0
838a9dfffffffff,2.0,0.0,0.0
838aa5fffffffff,3.0,0.0,0.0
838aa9fffffffff,7.0,0.0,0.0
838aaafffffffff,6.0,0.0,0.0
838aabfffffffff,8.0,0.0,0.0
838ab6fffffffff,3.0,0.0,0.0
838ad8fffffffff,1.0,0.0,0.0
838adafffffffff,10.0,0.0,0.0
838adbfffffffff,34.0,2.0,0.0
838ae5fffffffff,6.0,0.0,0.0
838af0fffffffff,6.0,0.0,0.0
838af1fffffffff,3.0,0.0,0.0
838af2fffffffff,10.0,3.0,0.0
838af4fffffffff,9.0,0.0,0.0
838af6fffffffff,68.0,1.0,0.0
838b01fffffffff,4.0,0.0,0.0
838b02fffffffff,1.0,0.0,0.0
838b08fffffffff,7.0,0.0,0.0
838b0bfffffffff,1.0,0.0,0.0
838b0cfffffffff,42.0,0.0,0.0
838b0dfffffffff,3.0,0.0,0.0
838b0efffffffff,3.0,0.0,0.0
838b10fffffffff,3.0,0.0,0.0
838b11fffffffff,6.0,0.0,0.0
838b13fffffffff,2.0,0.0,0.0
838b1cfffffffff,7.0,0.0,0.0
838b1efffffffff,1.0,0.0,0.0
838b22fffffffff,45.0,0.0,0.0
838b23fffffffff,14.0,0.0,0.0
838b2afffffffff,29.0,0.0,0.0
838b2efffffffff,3.0,0.0,0.0
838b40fffffffff,8.0,0.0,0.0
838b42fffffffff,5.0,0.0,0.0
838b44fffffffff,86.0,0.0,0.0
838b45fffffffff,4.0,0.0,0.0
838b46fffffffff,10.0,0.0,0.0
838b4efffffffff,9.0,0.0,0.0
838b51fffffffff,2.0,0.0,0.0
838b52fffffffff,1.0,0.0,0.0
838b56fffffffff,26.0,0.0,0.0
838b5cfffffffff,12.0,0.0,0.0
838b61fffffffff,85.0,0.0,0.0
838b62fffffffff,2.0,0.0,0.0
838b63fffffffff,12.0,0.0,0.0
838b69fffffffff,9.0,0.0,0.0
838b6efffffffff,3.0,0.0,0.0
838b70fffffffff,2.0,0.0,0.0
838b71fffffffff,68.0,0.0,0.0
838b74fffffffff,3.0,0.0,0.0
838b75fffffffff,2.0,0.0,0.0
838b76fffffffff,4.0,0.0,0.0
838b82fffffffff,1.0,0.0,0.0
838b84fffffffff,125.0,0.0,0.0
838b88fffffffff,34.0,0.0,0.0
838b8afffffffff,1.0,0.0,0.0
838b99fffffffff,87.0,0.0,0.0
838b9dfffffffff,526.0,0.0,0.0
838ba0fffffffff,9.0,0.0,0.0
838ba2fffffffff,4.0,0.0,0.0
838ba4fffffffff,2.0,0.0,0.0
838ba5fffffffff,2.0,0.0,0.0
838ba6fffffffff,8.0,0.0,0.0
838bb5fffffffff,205.0,0.0,0.0
838e64fffffffff,34.0,0.0,0.0
838e65fffffffff,23.0,0.0,0.0
838f08fffffffff,1.0,0.0,1.0
838f0dfffffffff,12.0,0.0,12.0
838f28fffffffff,5.0,0.0,5.0
838f29fffffffff,3.0,0.0,3.0
838f2afffffffff,113.0,0.0,100.0
838f2bfffffffff,117.0,0.0,111.0
838f2cfffffffff,57.0,0.0,56.0
838f2efffffffff,22.0,0.0,19.0
838f40fffffffff,300.0,0.0,0.0
838f43fffffffff,8.0,0.0,0.0
838f44fffffffff,4.0,0.0,0.0
838f46fffffffff,389.0,0.0,0.0
838f48fffffffff,17.0,0.0,0.0
838f4afffffffff,29.0,0.0,0.0
838f4bfffffffff,8.0,0.0,0.0
838f4cfffffffff,5.0,0.0,0.0
838f4efffffffff,2.0,0.0,0.0
838f5dfffffffff,14.0,0.0,0.0
838f61fffffffff,175.0,0.0,0.0
838f63fffffffff,3.0,0.0,0.0
838f6bfffffffff,2.0,0.0,0.0
838f6efffffffff,32.0,0.0,0.0
838f70fffffffff,1.0,0.0,0.0
838f71fffffffff,10.0,0.0,0.0
838f72fffffffff,1.0,0.0,0.0
838f74fffffffff,12.0,0.0,0.0
838f76fffffffff,5.0,0.0,0.0
83a596fffffffff,75.0,0.0,0.0
83a801fffffffff,2.0,0.0,0.0
83a802fffffffff,5.0,0.0,0.0
83a803fffffffff,3.0,0.0,0.0
83a804fffffffff,6.0,0.0,0.0
83a806fffffffff,191.0,0.0,0.0
83a80bfffffffff,2.0,0.0,0.0
83a80cfffffffff,3.0,0.0,0.0
83a80efffffffff,2.0,0.0,0.0
83a810fffffffff,171.0,0.0,0.0
83a811fffffffff,14.0,0.0,0.0
83a812fffffffff,517.0,0.0,0.0
83a813fffffffff,84.0,0.0,0.0
83a814fffffffff,97.0,0.0,0.0
83a815fffffffff,248.0,0.0,0.0
83a818fffffffff,24.0,0.0,0.0
83a819fffffffff,14.0,0.0,0.0
83a81afffffffff,9.0,0.0,0.0
83a81bfffffffff,4.0,0.0,0.0
83a81cfffffffff,33.0,0.0,0.0
83a81dfffffffff,14.0,0.0,0.0
83a81efffffffff,146.0,0.0,0.0
83a821fffffffff,2.0,0.0,0.0
83a826fffffffff,1.0,0.0,0.0
83a828fffffffff,1.0,0.0,0.0
83a829fffffffff,23.0,0.0,0.0
83a82afffffffff,2.0,0.0,0.0
83a82bfffffffff,2.0,0.0,0.0
83a82cfffffffff,4.0,0.0,0.0
83a82dfffffffff,2.0,0.0,0.0
83a82efffffffff,4.0,0.0,0.0
83a831fffffffff,154.0,0.0,0.0
83a833fffffffff,60.0,0.0,0.0
83a835fffffffff,31.0,0.0,0.0
83a840fffffffff,50.0,0.0,0.0
83a842fffffffff,2.0,0.0,0.0
83a844fffffffff,13.0,0.0,0.0
83a845fffffffff,11.0,0.0,0.0
83a846fffffffff,16.0,0.0,0.0
83a84afffffffff,2.0,0.0,0.0
83a84dfffffffff,2.0,0.0,0.0
83a853fffffffff,3.0,0.0,0.0
83a855fffffffff,30.0,0.0,0.0
83a856fffffffff,1.0,0.0,0.0
83a859fffffffff,110.0,0.0,0.0
83a85afffffffff,2.0,0.0,0.0
83a85bfffffffff,3.0,0.0,0.0
83a85dfffffffff,50.0,0.0,0.0
83a860fffffffff,2.0,0.0,0.0
83a863fffffffff,2.0,0.0,0.0
83a864fffffffff,2.0,0.0,0.0
83a870fffffffff,3.0,0.0,0.0
83a872fffffffff,2.0,0.0,0.0
83a873fffffffff,7.0,0.0,0.0
83a874fffffffff,1.0,0.0,0.0
83a875fffffffff,1.0,0.0,0.0
83a876fffffffff,11.0,0.0,0.0
83a881fffffffff,7.0,0.0,0.0
83a883fffffffff,4.0,0.0,0.0
83a88bfffffffff,2.0,0.0,0.0
83a88cfffffffff,4.0,0.0,0.0
83a88dfffffffff,20.0,0.0,0.0
83a88efffffffff,3.0,0.0,0.0
83a891fffffffff,36.0,0.0,0.0
83a8a0fffffffff,8.0,0.0,0.0
83a8a1fffffffff,183.0,0.0,0.0
83a8a2fffffffff,18.0,0.0,0.0
83a8a3fffffffff,11.0,0.0,0.0
83a8a5fffffffff,115.0,0.0,0.0
83a8aafffffffff,2.0,0.0,0.0
83a8abfffffffff,2.0,0.0,0.0
83a8acfffffffff,9.0,0.0,0.0
83a8adfffffffff,1.0,0.0,0.0
83a8aefffffffff,2.0,0.0,0.0
83a8b1fffffffff,6.0,0.0,0.0
83a8c0fffffffff,65.0,0.0,0.0
83a8c1fffffffff,2.0,0.0,0.0
83a8c2fffffffff,12.0,0.0,0.0
83a8c4fffffffff,9.0,0.0,0.0
83a8c6fffffffff,8.0,0.0,0.0
83a8c9fffffffff,5.0,0.0,0.0
83a8ccfffffffff,4.0,0.0,0.0
83a8d0fffffffff,2.0,0.0,0.0
83a8d1fffffffff,31.0,0.0,0.0
83a8d3fffffffff,9.0,0.0,0.0
83a8d4fffffffff,2.0,0.0,0.0
83a8d5fffffffff,1.0,0.0,0.0
83a8d6fffffffff,2.0,0.0,0.0
83a8dafffffffff,1.0,0.0,0.0
83a8ddfffffffff,2.0,0.0,0.0
83a8defffffffff,24.0,0.0,0.0
83a8ecfffffffff,2.0,0.0,0.0
83a8f0fffffffff,2.0,0.0,0.0
83a8f4fffffffff,9.0,0.0,0.0
83a8f5fffffffff,2.0,0.0,0.0
83a8f6fffffffff,2.0,0.0,0.0
83a903fffffffff,2.0,0.0,0.0
83a909fffffffff,2.0,0.0,0.0
83a90cfffffffff,5.0,0.0,0.0
83a90efffffffff,5.0,0.0,0.0
83a918fffffffff,2.0,0.0,0.0
83a91bfffffffff,22.0,0.0,0.0
83a91dfffffffff,22.0,0.0,0.0
83a92efffffffff,1.0,0.0,0.0
83a940fffffffff,3.0,0.0,0.0
83a941fffffffff,2.0,0.0,0.0
83a942fffffffff,33.0,0.0,0.0
83a943fffffffff,44.0,0.0,0.0
83a944fffffffff,23.0,0.0,0.0
83a946fffffffff,74.0,0.0,0.0
83a94bfffffffff,4.0,0.0,0.0
83a94efffffffff,66.0,0.0,0.0
83a951fffffffff,8.0,0.0,0.0
83a952fffffffff,9.0,0.0,0.0
83a953fffffffff,496.0,0.0,0.0
83a955fffffffff,8.0,0.0,0.0
83a95afffffffff,17.0,0.0,0.0
83a95bfffffffff,5.0,0.0,0.0
83a95cfffffffff,19.0,0.0,0.0
83a95dfffffffff,4.0,0.0,0.0
83a95efffffffff,90.0,0.0,0.0
83a962fffffffff,2.0,0.0,0.0
83a971fffffffff,4.0,0.0,0.0
83a976fffffffff,10.0,0.0,0.0
83b36afffffffff,3.0,0.0,0.0
83b36dfffffffff,3.0,0.0,0.0
