cell_id,Melanopareia maximiliani,Melanopareia maximiliani maximiliani/argentina,Melanopareia maximiliani pallida
84b2581ffffffff,12.0,0.0,0.0
84b2583ffffffff,7.0,0.0,0.0
84b2585ffffffff,7.0,0.0,0.0
84b2589ffffffff,74.0,0.0,0.0
84b258dffffffff,19.0,0.0,0.0
84b25a1ffffffff,1.0,0.0,0.0
84b25a9ffffffff,1.0,0.0,0.0
84b25abffffffff,2.0,0.0,0.0
84b25c1ffffffff,24.0,0.0,0.0
84b25c3ffffffff,2.0,0.0,0.0
84b25c7ffffffff,32.0,0.0,0.0
84b25c9ffffffff,4.0,0.0,0.0
84b25cbffffffff,129.0,0.0,0.0
84b25cdffffffff,44.0,0.0,0.0
84b25d1ffffffff,4.0,0.0,0.0
84b25d3ffffffff,3.0,0.0,0.0
84b25d5ffffffff,2.0,0.0,0.0
84b25d7ffffffff,16.0,0.0,0.0
84b25d9ffffffff,6.0,0.0,0.0
84b25ddffffffff,8.0,0.0,0.0
84b25e1ffffffff,5.0,0.0,0.0
84b25e3ffffffff,15.0,0.0,0.0
84b25ebffffffff,13.0,0.0,0.0
84b2611ffffffff,4.0,0.0,0.0
84b2619ffffffff,2.0,0.0,0.0
84b2623ffffffff,3.0,0.0,0.0
84b2629ffffffff,3.0,0.0,0.0
84b262dffffffff,21.0,0.0,0.0
84b2633ffffffff,1.0,0.0,0.0
84b263dffffffff,11.0,0.0,0.0
84b2645ffffffff,1.0,0.0,0.0
84b2653ffffffff,1.0,0.0,0.0
84b2659ffffffff,1.0,0.0,0.0
84b265dffffffff,1.0,0.0,0.0
84b2661ffffffff,1.0,0.0,0.0
84b2663ffffffff,2.0,0.0,0.0
84b2667ffffffff,16.0,0.0,0.0
84b268dffffffff,4.0,0.0,0.0
84b26a5ffffffff,13.0,0.0,0.0
84b26adffffffff,21.0,0.0,0.0
84b26e7ffffffff,9.0,0.0,0.0
84b26ebffffffff,3.0,0.0,0.0
84b26edffffffff,4.0,0.0,0.0
84b2701ffffffff,5.0,0.0,0.0
84b2705ffffffff,4.0,0.0,0.0
84b2709ffffffff,15.0,0.0,0.0
84b270bffffffff,1.0,0.0,0.0
84b270dffffffff,41.0,0.0,0.0
84b2715ffffffff,1.0,0.0,0.0
84b2747ffffffff,2.0,0.0,0.0
84b274bffffffff,2.0,0.0,0.0
84b2755ffffffff,2.0,0.0,0.0
84b2757ffffffff,1.0,0.0,0.0
84b275bffffffff,11.0,0.0,0.0
84b275dffffffff,8.0,0.0,0.0
84b3219ffffffff,25.0,0.0,0.0
84b3253ffffffff,2.0,0.0,0.0
84b32c9ffffffff,4.0,0.0,0.0
84b342dffffffff,4.0,0.0,0.0
84b346dffffffff,11.0,0.0,0.0
84b349dffffffff,5.0,0.0,0.0
84b34b1ffffffff,32.0,0.0,0.0
84b34b9ffffffff,47.0,0.0,0.0
84b34bdffffffff,17.0,0.0,0.0
84b34c1ffffffff,1.0,0.0,0.0
84b34c5ffffffff,2.0,0.0,0.0
84b34cdffffffff,2.0,0.0,0.0
84b34d1ffffffff,7.0,0.0,0.0
84b34d7ffffffff,2.0,0.0,0.0
84b34d9ffffffff,2.0,0.0,0.0
84b34dbffffffff,8.0,0.0,0.0
84b3511ffffffff,1.0,0.0,0.0
84b3513ffffffff,32.0,0.0,0.0
84b3517ffffffff,2.0,0.0,0.0
84b351bffffffff,4.0,0.0,0.0
84b3583ffffffff,3.0,0.0,0.0
84b3585ffffffff,2.0,0.0,0.0
84b3589ffffffff,9.0,0.0,0.0
84b358dffffffff,1.0,0.0,0.0
84b35a1ffffffff,4.0,0.0,0.0
84b35a9ffffffff,10.0,0.0,0.0
84b35b3ffffffff,1.0,0.0,0.0
84b35b9ffffffff,1.0,0.0,0.0
84b35bdffffffff,4.0,0.0,0.0
84b35c1ffffffff,3.0,0.0,0.0
84b35c3ffffffff,4.0,0.0,0.0
84b35c5ffffffff,48.0,0.0,0.0
84b35c7ffffffff,23.0,0.0,0.0
84b35c9ffffffff,33.0,0.0,0.0
84b35d5ffffffff,19.0,0.0,0.0
84b35ddffffffff,1.0,0.0,0.0
84b35e1ffffffff,18.0,0.0,0.0
84b35e9ffffffff,17.0,0.0,0.0
84b35ebffffffff,3.0,0.0,0.0
84b35edffffffff,1.0,0.0,0.0
84b3661ffffffff,1.0,0.0,0.0
84b3683ffffffff,6.0,0.0,0.0
84b3689ffffffff,4.0,0.0,0.0
84b368bffffffff,2.0,0.0,0.0
84b3695ffffffff,4.0,0.0,0.0
84b3699ffffffff,96.0,0.0,0.0
84b369dffffffff,10.0,0.0,0.0
84b36d5ffffffff,9.0,0.0,0.0
84b36d7ffffffff,3.0,0.0,0.0
84b3717ffffffff,1.0,0.0,0.0
84b3733ffffffff,3.0,0.0,0.0
