cell_id,Bradornis microrhynchus,Bradornis microrhynchus pumilus,Bradornis microrhynchus [microrhynchus Group]
847ae9dffffffff,10.0,0.0,0.0
847aeabffffffff,2.0,0.0,0.0
847aed1ffffffff,4.0,0.0,0.0
847aed3ffffffff,33.0,9.0,0.0
847aedbffffffff,1.0,0.0,0.0
847b489ffffffff,3.0,0.0,0.0
847b4b1ffffffff,8.0,0.0,1.0
847b4b3ffffffff,7.0,0.0,2.0
847b4b7ffffffff,9.0,0.0,1.0
847b4b9ffffffff,1.0,0.0,0.0
847b4d1ffffffff,2.0,0.0,0.0
847b4dbffffffff,3.0,0.0,0.0
847b6a9ffffffff,1.0,0.0,0.0
8496837ffffffff,1.0,0.0,0.0
8496901ffffffff,4.0,0.0,0.0
8496905ffffffff,29.0,0.0,1.0
8496907ffffffff,189.0,0.0,26.0
8496909ffffffff,1.0,0.0,1.0
8496915ffffffff,1.0,0.0,0.0
849691dffffffff,2.0,0.0,0.0
8496921ffffffff,42.0,0.0,0.0
8496923ffffffff,12.0,0.0,2.0
8496925ffffffff,268.0,0.0,50.0
8496927ffffffff,3.0,0.0,0.0
849692bffffffff,148.0,0.0,17.0
849692dffffffff,88.0,0.0,4.0
8496931ffffffff,8.0,0.0,0.0
8496933ffffffff,36.0,0.0,5.0
8496935ffffffff,73.0,0.0,3.0
8496937ffffffff,28.0,0.0,3.0
849693bffffffff,4.0,0.0,0.0
849693dffffffff,90.0,0.0,8.0
8496945ffffffff,2.0,0.0,2.0
84969a1ffffffff,37.0,0.0,2.0
84969a5ffffffff,25.0,0.0,1.0
84969abffffffff,1.0,0.0,0.0
84969adffffffff,2.0,0.0,0.0
8496a07ffffffff,1.0,0.0,0.0
8496a15ffffffff,2.0,0.0,0.0
8496a27ffffffff,2.0,0.0,2.0
8496a39ffffffff,3.0,0.0,0.0
8496a89ffffffff,1.0,0.0,1.0
8496aedffffffff,2.0,0.0,0.0
8496b01ffffffff,2.0,0.0,2.0
8496b11ffffffff,2.0,0.0,0.0
8496b13ffffffff,28.0,0.0,0.0
8496b19ffffffff,87.0,0.0,0.0
8496b1bffffffff,38.0,0.0,7.0
8496b23ffffffff,1.0,0.0,0.0
8496b2dffffffff,2.0,0.0,2.0
8496b39ffffffff,1.0,0.0,0.0
8496b47ffffffff,1.0,0.0,0.0
8496b53ffffffff,10.0,0.0,3.0
8496b57ffffffff,7.0,0.0,2.0
8496b63ffffffff,9.0,0.0,1.0
8496b67ffffffff,3.0,0.0,0.0
8496b6dffffffff,2.0,0.0,0.0
