cell_id,Dendrocopos major,Dendrocopos major canariensis/thanneri,Dendrocopos major numidus/mauritanus,Dendrocopos major [major Group],Dendrocopos major poelzami,Dendrocopos major japonicus,Dendrocopos major cabanisi/stresemanni
84089a1ffffffff,35.0,0.0,0.0,0.0,0.0,0.0,0.0
84089a3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84089a5ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84089a7ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84089a9ffffffff,59.0,0.0,0.0,0.0,0.0,0.0,0.0
84089abffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
84089adffffffff,19.0,0.0,0.0,0.0,0.0,0.0,0.0
84089b1ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84089b5ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84089b7ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
84089bbffffffff,63.0,0.0,0.0,10.0,0.0,0.0,0.0
84089bdffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
84089c3ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84089cbffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
84089d1ffffffff,32.0,0.0,0.0,0.0,0.0,0.0,0.0
84089d3ffffffff,151.0,0.0,0.0,0.0,0.0,0.0,0.0
84089d7ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84089d9ffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
84089dbffffffff,53.0,0.0,0.0,0.0,0.0,0.0,0.0
84089ddffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
84089e3ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
84089e5ffffffff,15.0,0.0,0.0,0.0,0.0,0.0,0.0
84089e7ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
84089ebffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
84089edffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a05ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a07ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a0bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a0dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a15ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a19ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a23ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a25ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a27ffffffff,25.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a2bffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a33ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a35ffffffff,5.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a39ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a3bffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a3dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a43ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a45ffffffff,5.0,0.0,0.0,3.0,0.0,0.0,0.0
8408a4dffffffff,2.0,0.0,0.0,2.0,0.0,0.0,0.0
8408a53ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a59ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a61ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a63ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a65ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a69ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a6dffffffff,6.0,0.0,0.0,3.0,0.0,0.0,0.0
8408a8dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408a97ffffffff,7.0,0.0,0.0,0.0,0.0,0.0,0.0
8408ae3ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408aebffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b01ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b03ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b05ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b07ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b09ffffffff,11.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b0dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b11ffffffff,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b15ffffffff,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b17ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b1bffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b1dffffffff,14.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b25ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b29ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b2dffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b31ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b33ffffffff,16.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b37ffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b3bffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b3dffffffff,13.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b41ffffffff,10.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b47ffffffff,8.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b49ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b4dffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b51ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b5bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b61ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b63ffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b65ffffffff,12.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b67ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b69ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b6bffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408b6dffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c07ffffffff,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c19ffffffff,9.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c1bffffffff,4.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c21ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c23ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c29ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c31ffffffff,6.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c33ffffffff,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8408c85ffffffff,3.0,0.0,0.0,0.0,0.0,0.0,0.0
