cell_id,Myiobius barbatus,Myiobius barbatus [barbatus Group],Myiobius barbatus mastacalis
84a8109ffffffff,52.0,0.0,0.0
84a810dffffffff,22.0,0.0,0.0
84a8123ffffffff,1.0,0.0,0.0
84a8125ffffffff,11.0,0.0,2.0
84a8129ffffffff,7.0,0.0,0.0
84a812dffffffff,147.0,0.0,11.0
84a8143ffffffff,39.0,0.0,0.0
84a8151ffffffff,8.0,0.0,0.0
84a8153ffffffff,1.0,0.0,0.0
84a8155ffffffff,72.0,0.0,6.0
84a8157ffffffff,9.0,0.0,0.0
84a815bffffffff,42.0,0.0,0.0
84a8163ffffffff,15.0,0.0,0.0
84a8167ffffffff,5.0,0.0,0.0
84a8311ffffffff,19.0,0.0,0.0
84a8313ffffffff,4.0,0.0,0.0
84a831dffffffff,11.0,0.0,1.0
84a8333ffffffff,9.0,0.0,0.0
84a8337ffffffff,4.0,0.0,0.0
84a833bffffffff,55.0,0.0,0.0
84a8357ffffffff,5.0,0.0,0.0
84a8805ffffffff,2.0,0.0,0.0
84a8811ffffffff,9.0,0.0,0.0
84a8813ffffffff,1.0,0.0,1.0
84a8819ffffffff,1.0,0.0,0.0
84a881bffffffff,13.0,0.0,0.0
84a8825ffffffff,1.0,0.0,0.0
84a882dffffffff,27.0,0.0,3.0
84a8849ffffffff,36.0,0.0,3.0
84a884dffffffff,2.0,0.0,0.0
84a8867ffffffff,1.0,0.0,0.0
84a8917ffffffff,2.0,0.0,2.0
84a8919ffffffff,31.0,0.0,8.0
84a8953ffffffff,22.0,0.0,3.0
84a8a03ffffffff,4.0,0.0,0.0
84a8a07ffffffff,10.0,0.0,0.0
84a8a11ffffffff,2.0,0.0,0.0
84a8a13ffffffff,38.0,0.0,11.0
84a8a15ffffffff,14.0,0.0,0.0
84a8a17ffffffff,4.0,0.0,0.0
84a8a19ffffffff,113.0,0.0,7.0
84a8a1dffffffff,16.0,0.0,0.0
84a8a21ffffffff,3.0,0.0,0.0
84a8a23ffffffff,244.0,0.0,15.0
84a8a27ffffffff,2.0,0.0,1.0
84a8a39ffffffff,1.0,0.0,0.0
84a8a3dffffffff,56.0,0.0,3.0
84a8a53ffffffff,185.0,0.0,16.0
