cell_id,Oenanthe lugens,Oenanthe lugens lugens/persica,Oenanthe lugens halophila,Oenanthe lugens warriae
843e6c9ffffffff,800.0,205.0,0.0,0.0
843e6cbffffffff,198.0,36.0,0.0,0.0
843e6ddffffffff,76.0,6.0,0.0,0.0
84430e7ffffffff,1.0,0.0,0.0,0.0
844315bffffffff,2.0,0.0,0.0,0.0
844324dffffffff,4.0,0.0,0.0,0.0
8443319ffffffff,5.0,0.0,0.0,0.0
844331dffffffff,2.0,0.0,0.0,0.0
8443a25ffffffff,2.0,0.0,0.0,0.0
8443a93ffffffff,3.0,0.0,0.0,0.0
8443ac5ffffffff,1.0,0.0,0.0,0.0
8443ae1ffffffff,4.0,0.0,0.0,0.0
8443ae5ffffffff,1.0,1.0,0.0,0.0
8453291ffffffff,6.0,0.0,0.0,0.0
84532c3ffffffff,1.0,0.0,0.0,0.0
8453323ffffffff,4.0,0.0,0.0,0.0
845343dffffffff,1.0,0.0,0.0,0.0
8453441ffffffff,6.0,0.0,0.0,0.0
8453451ffffffff,6.0,0.0,0.0,0.0
8453457ffffffff,2.0,0.0,0.0,0.0
84534c9ffffffff,2.0,0.0,0.0,0.0
84534d5ffffffff,3.0,0.0,0.0,0.0
8453549ffffffff,1.0,0.0,0.0,0.0
8453551ffffffff,2.0,0.0,0.0,0.0
8453553ffffffff,2.0,0.0,0.0,0.0
8453631ffffffff,1.0,0.0,0.0,0.0
8453645ffffffff,16.0,2.0,0.0,0.0
84536a3ffffffff,12.0,0.0,0.0,0.0
84536a9ffffffff,2.0,0.0,0.0,0.0
8453725ffffffff,3.0,0.0,0.0,0.0
845373dffffffff,10.0,0.0,0.0,0.0
8453765ffffffff,2.0,0.0,0.0,0.0
8453a49ffffffff,3.0,0.0,0.0,0.0
8453a4bffffffff,2.0,0.0,0.0,0.0
8455341ffffffff,1.0,0.0,1.0,0.0
8463321ffffffff,3.0,0.0,0.0,0.0
