cell_id,Cyanocitta stelleri,Cyanocitta stelleri [stelleri Group],Cyanocitta stelleri annectens,Cyanocitta stelleri [diademata Group],Cyanocitta stelleri [coronata Group]
8428841ffffffff,2.0,2.0,0.0,0.0,0.0
8428843ffffffff,15.0,0.0,0.0,0.0,0.0
8428845ffffffff,17.0,0.0,0.0,0.0,0.0
8428847ffffffff,54.0,0.0,0.0,0.0,0.0
8428861ffffffff,2.0,0.0,2.0,0.0,0.0
842886bffffffff,12.0,0.0,0.0,0.0,0.0
842886dffffffff,14.0,0.0,14.0,0.0,0.0
842889bffffffff,6.0,1.0,0.0,0.0,0.0
84288a1ffffffff,7.0,0.0,0.0,0.0,0.0
84288a5ffffffff,3.0,0.0,0.0,0.0,0.0
84288a7ffffffff,2.0,0.0,0.0,0.0,0.0
84288a9ffffffff,2.0,1.0,0.0,0.0,0.0
84288adffffffff,17.0,0.0,0.0,0.0,0.0
84288c5ffffffff,24.0,8.0,15.0,0.0,0.0
84288cdffffffff,4.0,4.0,0.0,0.0,0.0
84288d5ffffffff,2.0,0.0,0.0,0.0,0.0
84288d7ffffffff,1.0,0.0,0.0,0.0,0.0
84288e3ffffffff,1.0,0.0,0.0,0.0,0.0
8428921ffffffff,2.0,0.0,0.0,0.0,0.0
8428989ffffffff,8.0,8.0,0.0,0.0,0.0
842898dffffffff,1.0,0.0,0.0,0.0,0.0
8428a17ffffffff,2.0,2.0,0.0,0.0,0.0
8428a35ffffffff,1.0,0.0,0.0,0.0,0.0
8428a91ffffffff,4.0,2.0,0.0,0.0,0.0
8428a93ffffffff,4.0,0.0,0.0,0.0,0.0
8428a99ffffffff,1.0,1.0,0.0,0.0,0.0
8428adbffffffff,1.0,0.0,0.0,0.0,0.0
8428addffffffff,2.0,2.0,0.0,0.0,0.0
8428ae9ffffffff,1.0,0.0,1.0,0.0,0.0
8428b13ffffffff,2.0,0.0,0.0,0.0,0.0
8428b6dffffffff,7.0,0.0,0.0,2.0,0.0
8428c25ffffffff,3.0,3.0,0.0,0.0,0.0
8428c61ffffffff,4.0,0.0,0.0,0.0,0.0
