cell_id,Icterus cucullatus,Icterus cucullatus cucullatus/sennetti,Icterus cucullatus [nelsoni Group],Icterus cucullatus igneus
844982bffffffff,1.0,0.0,0.0,0.0
844983dffffffff,17.0,0.0,0.0,0.0
8449861ffffffff,2.0,2.0,0.0,0.0
8449865ffffffff,2.0,2.0,0.0,0.0
8449869ffffffff,6.0,6.0,0.0,0.0
844986bffffffff,2.0,2.0,0.0,0.0
84498c9ffffffff,5.0,0.0,0.0,0.0
8449905ffffffff,2.0,0.0,0.0,0.0
844990dffffffff,2.0,0.0,0.0,0.0
8449913ffffffff,1.0,0.0,0.0,0.0
8449929ffffffff,2.0,0.0,0.0,0.0
8449951ffffffff,2.0,0.0,0.0,0.0
8449959ffffffff,9.0,0.0,0.0,0.0
844995bffffffff,7.0,3.0,0.0,0.0
8449963ffffffff,2.0,0.0,0.0,0.0
8449981ffffffff,1.0,1.0,0.0,0.0
8449987ffffffff,2.0,2.0,0.0,0.0
84499b5ffffffff,1.0,0.0,0.0,0.0
84499c1ffffffff,7.0,0.0,0.0,0.0
84499c5ffffffff,1.0,0.0,0.0,0.0
84499c9ffffffff,5.0,0.0,0.0,0.0
84499cdffffffff,14.0,0.0,0.0,0.0
84499e5ffffffff,1.0,1.0,0.0,0.0
8449a3dffffffff,1.0,1.0,0.0,0.0
8449a81ffffffff,2.0,0.0,0.0,0.0
8449a87ffffffff,2.0,0.0,0.0,0.0
8449a8dffffffff,2.0,0.0,0.0,0.0
8449a91ffffffff,2.0,0.0,0.0,0.0
8449aa7ffffffff,2.0,0.0,0.0,0.0
8449ab5ffffffff,4.0,0.0,0.0,0.0
8449ae3ffffffff,2.0,0.0,0.0,0.0
8449b33ffffffff,4.0,4.0,0.0,0.0
8449b37ffffffff,6.0,4.0,0.0,0.0
846d06dffffffff,2.0,0.0,0.0,0.0
846d159ffffffff,28.0,0.0,0.0,0.0
846d15dffffffff,11.0,0.0,0.0,0.0
846d2c9ffffffff,1.0,0.0,0.0,0.0
846d30dffffffff,23.0,0.0,0.0,0.0
846d32bffffffff,6.0,0.0,0.0,0.0
846d333ffffffff,5.0,0.0,0.0,0.0
846d337ffffffff,26.0,0.0,0.0,0.0
846d33dffffffff,7.0,0.0,0.0,0.0
846d34dffffffff,4.0,0.0,0.0,0.0
846d36bffffffff,2.0,0.0,0.0,0.0
