cell_id,Sporophila americana,Sporophila americana americana/dispar,Sporophila americana murallae
84814d9ffffffff,7.0,0.0,0.0
84814dbffffffff,2.0,0.0,0.0
84814e3ffffffff,5.0,0.0,0.0
84814e5ffffffff,4.0,0.0,0.0
84814e7ffffffff,32.0,1.0,0.0
8481583ffffffff,8.0,0.0,0.0
84815d1ffffffff,1.0,0.0,0.0
84815d7ffffffff,2.0,0.0,0.0
84815d9ffffffff,23.0,0.0,0.0
84815dbffffffff,9.0,0.0,0.0
848162bffffffff,7.0,0.0,0.0
848a003ffffffff,17.0,1.0,0.0
848a01dffffffff,1.0,0.0,0.0
848a059ffffffff,13.0,0.0,0.0
848a05dffffffff,2.0,0.0,0.0
848a1a7ffffffff,5.0,0.0,0.0
848a25bffffffff,1.0,0.0,0.0
848a2edffffffff,4.0,0.0,0.0
848a317ffffffff,2.0,1.0,0.0
848a451ffffffff,30.0,0.0,30.0
848a459ffffffff,5.0,0.0,5.0
848a45bffffffff,117.0,0.0,117.0
848a45dffffffff,61.0,0.0,60.0
848a637ffffffff,2.0,0.0,2.0
848a68bffffffff,11.0,0.0,11.0
848a699ffffffff,76.0,0.0,76.0
848a69bffffffff,1.0,0.0,1.0
848a69dffffffff,2.0,0.0,2.0
848a6d1ffffffff,1.0,0.0,1.0
848a6d3ffffffff,81.0,0.0,81.0
848a6d7ffffffff,42.0,0.0,41.0
848a6d9ffffffff,85.0,0.0,84.0
848a6dbffffffff,8.0,0.0,8.0
848a6e5ffffffff,1.0,0.0,1.0
848a703ffffffff,4.0,0.0,0.0
848a805ffffffff,1.0,0.0,0.0
848a809ffffffff,6.0,0.0,0.0
848a827ffffffff,5.0,0.0,0.0
848a8c3ffffffff,1.0,0.0,0.0
848a8cbffffffff,7.0,0.0,0.0
848a8cdffffffff,8.0,0.0,0.0
848a8d9ffffffff,2.0,0.0,0.0
848a8e1ffffffff,2.0,0.0,0.0
848a925ffffffff,4.0,0.0,0.0
848a927ffffffff,2.0,0.0,0.0
848a963ffffffff,5.0,0.0,0.0
848a9c1ffffffff,2.0,0.0,0.0
848aa93ffffffff,3.0,0.0,0.0
848aa97ffffffff,2.0,0.0,0.0
848aaa3ffffffff,8.0,0.0,0.0
848aab5ffffffff,7.0,0.0,0.0
848aab9ffffffff,9.0,0.0,0.0
848aadbffffffff,4.0,0.0,0.0
848ae59ffffffff,1.0,0.0,0.0
848ae5bffffffff,1.0,0.0,0.0
848af09ffffffff,12.0,0.0,0.0
848af29ffffffff,13.0,0.0,0.0
848af41ffffffff,1.0,0.0,0.0
848af45ffffffff,61.0,2.0,0.0
848af47ffffffff,3.0,0.0,0.0
848af61ffffffff,10.0,0.0,0.0
848af69ffffffff,60.0,1.0,0.0
848af6bffffffff,18.0,0.0,0.0
848b693ffffffff,3.0,0.0,3.0
848b695ffffffff,3.0,0.0,3.0
848f409ffffffff,4.0,0.0,2.0
848f44bffffffff,9.0,0.0,9.0
848f461ffffffff,3.0,0.0,3.0
848f489ffffffff,25.0,0.0,25.0
848f48dffffffff,6.0,0.0,6.0
848f495ffffffff,2.0,0.0,2.0
848f4a1ffffffff,3.0,0.0,3.0
848f4abffffffff,1.0,0.0,1.0
848f4c7ffffffff,36.0,0.0,36.0
848f4e7ffffffff,4.0,0.0,4.0
848f611ffffffff,12.0,0.0,12.0
848f613ffffffff,45.0,0.0,45.0
848f617ffffffff,1.0,0.0,1.0
848f61bffffffff,83.0,0.0,81.0
848f6c9ffffffff,16.0,0.0,16.0
848f6cdffffffff,11.0,0.0,11.0
848f6e9ffffffff,12.0,0.0,12.0
848f705ffffffff,1.0,0.0,1.0
848f70dffffffff,1.0,0.0,1.0
848f71bffffffff,3.0,0.0,3.0
848f729ffffffff,2.0,0.0,1.0
848f745ffffffff,4.0,0.0,4.0
848f74dffffffff,16.0,0.0,16.0
848f76bffffffff,4.0,0.0,4.0
