cell_id,Malurus leucopterus,Malurus leucopterus leuconotus,Malurus leucopterus leucopterus/edouardi
83a7a5fffffffff,2.0,0.0,0.0
83a7a6fffffffff,4.0,2.0,0.0
83a7b4fffffffff,7.0,0.0,0.0
83a7b5fffffffff,1.0,0.0,0.0
83b804fffffffff,26.0,7.0,0.0
83b809fffffffff,2.0,2.0,0.0
83b812fffffffff,34.0,10.0,0.0
83b816fffffffff,2.0,0.0,0.0
83b822fffffffff,42.0,3.0,0.0
83b823fffffffff,25.0,5.0,0.0
83b828fffffffff,4.0,2.0,0.0
83b829fffffffff,7.0,4.0,0.0
83b82efffffffff,21.0,8.0,0.0
83b836fffffffff,3.0,0.0,0.0
83b841fffffffff,33.0,9.0,0.0
83b842fffffffff,1.0,0.0,0.0
83b843fffffffff,2.0,2.0,0.0
83b845fffffffff,12.0,6.0,0.0
83b849fffffffff,2.0,0.0,0.0
83b84bfffffffff,2.0,0.0,0.0
83b850fffffffff,7.0,5.0,0.0
83b856fffffffff,9.0,6.0,0.0
83b859fffffffff,13.0,2.0,0.0
83b86bfffffffff,10.0,2.0,0.0
83b870fffffffff,3.0,0.0,0.0
83b872fffffffff,3.0,3.0,0.0
83b876fffffffff,20.0,18.0,0.0
83b880fffffffff,15.0,2.0,0.0
83b881fffffffff,10.0,2.0,0.0
83b884fffffffff,78.0,12.0,0.0
83b885fffffffff,157.0,3.0,0.0
83b888fffffffff,15.0,7.0,0.0
83b892fffffffff,3.0,0.0,0.0
83b89afffffffff,3.0,0.0,0.0
83b89cfffffffff,8.0,0.0,0.0
83b89efffffffff,2.0,0.0,0.0
83b8a0fffffffff,14.0,6.0,0.0
83b8a1fffffffff,9.0,4.0,0.0
83b8a2fffffffff,53.0,11.0,0.0
83b8a3fffffffff,2.0,0.0,0.0
83b8a4fffffffff,5.0,0.0,0.0
83b8a5fffffffff,1.0,0.0,0.0
83b8a6fffffffff,4.0,0.0,0.0
83b8a8fffffffff,4.0,0.0,0.0
83b8a9fffffffff,33.0,4.0,0.0
83b8aafffffffff,4.0,0.0,0.0
83b8abfffffffff,1.0,0.0,0.0
83b8aefffffffff,34.0,4.0,0.0
83b8b6fffffffff,2.0,0.0,0.0
83b8c2fffffffff,1.0,0.0,0.0
83b8cbfffffffff,3.0,0.0,0.0
83b8ddfffffffff,1.0,0.0,0.0
83b8f2fffffffff,1.0,1.0,0.0
83b8f3fffffffff,1.0,0.0,0.0
83b912fffffffff,76.0,28.0,0.0
83b913fffffffff,12.0,5.0,0.0
83b916fffffffff,110.0,5.0,0.0
83b980fffffffff,72.0,41.0,0.0
83b981fffffffff,25.0,3.0,0.0
83b982fffffffff,10.0,2.0,0.0
83b983fffffffff,4.0,0.0,0.0
83b984fffffffff,16.0,3.0,0.0
83b985fffffffff,228.0,72.0,0.0
83b986fffffffff,115.0,50.0,0.0
83b988fffffffff,66.0,22.0,0.0
83b989fffffffff,23.0,8.0,0.0
83b98afffffffff,4.0,2.0,0.0
83b98bfffffffff,4.0,2.0,0.0
83b98dfffffffff,14.0,0.0,0.0
83b98efffffffff,4.0,1.0,0.0
83b990fffffffff,17.0,0.0,0.0
83b991fffffffff,14.0,2.0,0.0
83b993fffffffff,11.0,0.0,0.0
83b994fffffffff,1.0,0.0,0.0
83b995fffffffff,54.0,0.0,0.0
83b996fffffffff,4.0,0.0,0.0
83b998fffffffff,5.0,0.0,0.0
83b999fffffffff,4.0,0.0,0.0
83b99afffffffff,3.0,0.0,0.0
83b99cfffffffff,111.0,26.0,0.0
83b99efffffffff,132.0,42.0,0.0
83b9a0fffffffff,12.0,0.0,0.0
83b9a1fffffffff,239.0,35.0,0.0
83b9a3fffffffff,59.0,8.0,0.0
83b9a4fffffffff,34.0,3.0,0.0
83b9a5fffffffff,33.0,0.0,0.0
83b9a6fffffffff,121.0,21.0,0.0
83b9a8fffffffff,2.0,0.0,0.0
83b9a9fffffffff,4.0,0.0,0.0
83b9aafffffffff,18.0,0.0,0.0
83b9abfffffffff,37.0,13.0,0.0
83b9acfffffffff,70.0,8.0,0.0
83b9adfffffffff,93.0,6.0,0.0
83b9b0fffffffff,19.0,1.0,0.0
83b9b1fffffffff,3.0,0.0,0.0
83b9b2fffffffff,199.0,30.0,0.0
83b9b3fffffffff,212.0,64.0,0.0
83b9b4fffffffff,43.0,13.0,0.0
83b9b5fffffffff,105.0,11.0,0.0
83b9b6fffffffff,7.0,0.0,0.0
83be40fffffffff,208.0,30.0,0.0
83be42fffffffff,268.0,53.0,0.0
83be43fffffffff,446.0,122.0,0.0
83be46fffffffff,2.0,0.0,0.0
83be4afffffffff,147.0,37.0,0.0
83be4bfffffffff,63.0,4.0,0.0
83be4efffffffff,83.0,30.0,0.0
83be50fffffffff,510.0,55.0,0.0
83be51fffffffff,24.0,0.0,0.0
83be52fffffffff,3.0,0.0,0.0
83be53fffffffff,8.0,0.0,0.0
83be55fffffffff,5.0,1.0,0.0
83be58fffffffff,1.0,1.0,0.0
83be59fffffffff,5.0,0.0,0.0
83be5afffffffff,4.0,0.0,0.0
83be5bfffffffff,42.0,8.0,0.0
83be5cfffffffff,5.0,0.0,0.0
83be5dfffffffff,129.0,35.0,0.0
83be5efffffffff,26.0,13.0,0.0
83bec0fffffffff,11.0,0.0,0.0
83bec1fffffffff,5.0,0.0,0.0
83bec2fffffffff,2.0,0.0,0.0
83bec4fffffffff,8.0,0.0,0.0
83bec5fffffffff,10.0,0.0,0.0
83bec6fffffffff,10.0,0.0,0.0
83bec8fffffffff,75.0,4.0,0.0
83bec9fffffffff,7.0,0.0,0.0
83becafffffffff,10.0,0.0,0.0
83becbfffffffff,2.0,0.0,0.0
83beccfffffffff,4.0,0.0,0.0
83becdfffffffff,16.0,2.0,0.0
83becefffffffff,288.0,43.0,0.0
83bed1fffffffff,3.0,0.0,0.0
83bed4fffffffff,1.0,0.0,0.0
83bed5fffffffff,2.0,0.0,0.0
83bed8fffffffff,2.0,0.0,0.0
83bedbfffffffff,9.0,2.0,0.0
83beddfffffffff,6.0,0.0,0.0
83bee0fffffffff,12.0,0.0,0.0
83bee1fffffffff,111.0,7.0,0.0
83bee2fffffffff,32.0,0.0,0.0
83bee3fffffffff,67.0,0.0,0.0
83bee5fffffffff,1.0,0.0,0.0
83bee6fffffffff,14.0,0.0,0.0
83bee9fffffffff,5.0,2.0,0.0
83beeafffffffff,71.0,7.0,0.0
83beebfffffffff,6.0,4.0,0.0
83beeefffffffff,17.0,0.0,0.0
83bef0fffffffff,215.0,0.0,0.0
83bef1fffffffff,27.0,0.0,0.0
83bef2fffffffff,121.0,0.0,0.0
83bef3fffffffff,4.0,0.0,0.0
83bef5fffffffff,2.0,0.0,0.0
83bef6fffffffff,3.0,0.0,0.0
83c992fffffffff,2.0,0.0,0.0
83c996fffffffff,4.0,0.0,0.0
