cell_id,Peucaea ruficauda,Peucaea ruficauda acuminata,Peucaea ruficauda [ruficauda Group]
846d653ffffffff,48.0,0.0,0.0
846d655ffffffff,107.0,0.0,0.0
846d657ffffffff,322.0,0.0,0.0
846d65dffffffff,14.0,0.0,0.0
846d661ffffffff,35.0,0.0,0.0
846d663ffffffff,270.0,0.0,0.0
846d665ffffffff,96.0,0.0,0.0
846d667ffffffff,62.0,0.0,0.0
846d669ffffffff,16.0,0.0,0.0
846d66bffffffff,158.0,0.0,0.0
846d66dffffffff,38.0,0.0,0.0
846d681ffffffff,664.0,0.0,0.0
846d683ffffffff,1060.0,0.0,0.0
846d685ffffffff,178.0,0.0,0.0
846d687ffffffff,637.0,0.0,0.0
846d689ffffffff,5.0,0.0,0.0
846d68bffffffff,115.0,0.0,0.0
846d68dffffffff,149.0,0.0,0.0
846d691ffffffff,131.0,0.0,0.0
846d693ffffffff,629.0,0.0,0.0
846d695ffffffff,1729.0,0.0,0.0
846d697ffffffff,2511.0,0.0,0.0
846d69bffffffff,60.0,0.0,0.0
846d69dffffffff,36.0,0.0,0.0
846d6abffffffff,114.0,0.0,0.0
846d6b1ffffffff,45.0,0.0,0.0
846d6b3ffffffff,6.0,0.0,0.0
846d6b9ffffffff,174.0,0.0,0.0
846d6bbffffffff,952.0,0.0,0.0
846d6bdffffffff,43.0,0.0,0.0
846d6c7ffffffff,5.0,0.0,0.0
846d6c9ffffffff,13.0,0.0,0.0
846d6cdffffffff,15.0,0.0,0.0
846d6e1ffffffff,8.0,0.0,0.0
846d6e9ffffffff,199.0,0.0,0.0
846d6ebffffffff,17.0,0.0,0.0
846d6edffffffff,37.0,0.0,0.0
846d741ffffffff,40.0,0.0,0.0
846d743ffffffff,21.0,0.0,0.0
846d745ffffffff,40.0,0.0,0.0
846d747ffffffff,63.0,0.0,0.0
846d749ffffffff,48.0,0.0,0.0
846d74bffffffff,201.0,0.0,0.0
846d74dffffffff,3.0,0.0,0.0
846d751ffffffff,55.0,0.0,0.0
846d759ffffffff,24.0,0.0,0.0
846d75bffffffff,40.0,0.0,0.0
846d75dffffffff,148.0,0.0,0.0
846d769ffffffff,114.0,0.0,0.0
846d76dffffffff,78.0,0.0,0.0
