cell_id,Lepidothrix coronata,Lepidothrix coronata [coronata Group],Lepidothrix coronata [exquisita Group]
8466ee5ffffffff,104.0,0.0,0.0
8466ee7ffffffff,20.0,0.0,0.0
8466eebffffffff,7.0,0.0,0.0
8466eedffffffff,8.0,0.0,0.0
848a003ffffffff,13.0,0.0,0.0
848a00bffffffff,6.0,0.0,0.0
848a01dffffffff,15.0,0.0,0.0
848a051ffffffff,13.0,0.0,0.0
848a059ffffffff,13.0,0.0,0.0
848a05bffffffff,22.0,0.0,0.0
848a1a7ffffffff,26.0,0.0,0.0
848a1abffffffff,2.0,0.0,0.0
848a213ffffffff,1.0,0.0,0.0
848a2cdffffffff,3.0,0.0,0.0
848a337ffffffff,2.0,0.0,0.0
848a451ffffffff,13.0,0.0,0.0
848a459ffffffff,58.0,0.0,0.0
848a45bffffffff,40.0,0.0,0.0
848a45dffffffff,105.0,0.0,0.0
848a4b9ffffffff,4.0,0.0,0.0
848a4cdffffffff,1.0,0.0,0.0
848a525ffffffff,4.0,0.0,0.0
848a553ffffffff,1.0,0.0,0.0
848a565ffffffff,2.0,0.0,0.0
848a68bffffffff,7.0,0.0,0.0
848a699ffffffff,183.0,0.0,0.0
848a69dffffffff,4.0,0.0,0.0
848a6bdffffffff,1.0,0.0,0.0
848a6d3ffffffff,1.0,0.0,0.0
848a6d7ffffffff,36.0,0.0,0.0
848a6d9ffffffff,27.0,0.0,0.0
848a6dbffffffff,148.0,0.0,0.0
848a6e5ffffffff,1.0,0.0,0.0
848a70bffffffff,8.0,0.0,0.0
848a73dffffffff,14.0,0.0,0.0
848aa93ffffffff,14.0,0.0,0.0
848adbbffffffff,17.0,0.0,0.0
848ae59ffffffff,1.0,0.0,0.0
848ae5bffffffff,2.0,0.0,0.0
848ae6dffffffff,2.0,0.0,0.0
848af09ffffffff,29.0,0.0,0.0
848af11ffffffff,6.0,0.0,0.0
848af41ffffffff,57.0,0.0,0.0
848af43ffffffff,1.0,0.0,0.0
848af45ffffffff,18.0,0.0,0.0
848af4dffffffff,5.0,0.0,0.0
848b213ffffffff,2.0,0.0,0.0
848b2c7ffffffff,4.0,0.0,0.0
848b2e9ffffffff,6.0,0.0,0.0
848b2ebffffffff,3.0,0.0,0.0
848b401ffffffff,2.0,0.0,0.0
848b40dffffffff,9.0,0.0,0.0
848b429ffffffff,1.0,0.0,0.0
848b445ffffffff,6.0,0.0,0.0
848b449ffffffff,9.0,0.0,0.0
848b44bffffffff,41.0,0.0,12.0
848b44dffffffff,74.0,0.0,0.0
848b459ffffffff,4.0,0.0,0.0
848b463ffffffff,3.0,0.0,0.0
848b469ffffffff,16.0,0.0,0.0
848b53dffffffff,2.0,0.0,0.0
848b627ffffffff,10.0,0.0,2.0
848b631ffffffff,7.0,0.0,5.0
848b633ffffffff,2.0,0.0,0.0
848b635ffffffff,12.0,0.0,0.0
848b637ffffffff,115.0,0.0,12.0
848b63bffffffff,6.0,0.0,0.0
848b63dffffffff,3.0,0.0,0.0
848b683ffffffff,3.0,0.0,0.0
848b691ffffffff,3.0,0.0,0.0
848b693ffffffff,10.0,0.0,0.0
848b695ffffffff,15.0,0.0,0.0
848b697ffffffff,1.0,0.0,0.0
848b699ffffffff,4.0,0.0,0.0
848b6bbffffffff,6.0,0.0,0.0
848b6e5ffffffff,21.0,0.0,5.0
848b6e7ffffffff,55.0,0.0,3.0
848b6edffffffff,74.0,0.0,1.0
848b709ffffffff,50.0,0.0,0.0
848b713ffffffff,7.0,0.0,0.0
848b717ffffffff,1.0,0.0,0.0
848b71bffffffff,8.0,0.0,0.0
848b743ffffffff,2.0,0.0,0.0
848b745ffffffff,3.0,0.0,0.0
848b747ffffffff,12.0,0.0,0.0
848b755ffffffff,2.0,0.0,0.0
848e649ffffffff,3.0,0.0,0.0
848e651ffffffff,2.0,0.0,0.0
848f401ffffffff,99.0,0.0,0.0
848f403ffffffff,2.0,0.0,0.0
848f40dffffffff,4.0,0.0,0.0
848f437ffffffff,1.0,0.0,0.0
848f439ffffffff,8.0,0.0,0.0
848f485ffffffff,5.0,0.0,0.0
848f487ffffffff,6.0,0.0,0.0
848f489ffffffff,2.0,0.0,0.0
848f48dffffffff,3.0,0.0,0.0
848f495ffffffff,2.0,0.0,0.0
848f4a9ffffffff,2.0,0.0,0.0
848f4d9ffffffff,1.0,0.0,0.0
848f4e3ffffffff,2.0,0.0,0.0
848f611ffffffff,9.0,0.0,0.0
848f619ffffffff,55.0,0.0,0.0
848f61bffffffff,44.0,0.0,0.0
848f657ffffffff,29.0,0.0,0.0
848f6b5ffffffff,35.0,0.0,0.0
848f6e9ffffffff,2.0,0.0,0.0
848f6ebffffffff,1.0,0.0,0.0
848f71bffffffff,34.0,0.0,0.0
848f71dffffffff,4.0,0.0,0.0
848f73dffffffff,2.0,0.0,0.0
848f745ffffffff,2.0,0.0,0.0
848f74bffffffff,10.0,0.0,0.0
848f76bffffffff,1.0,0.0,0.0
