cell_id,Coturnicops noveboracensis,Coturnicops noveboracensis noveboracensis,Coturnicops noveboracensis goldmani
842744bffffffff,21.0,0.0,0.0
8427485ffffffff,31.0,0.0,0.0
8427487ffffffff,1.0,0.0,0.0
842748dffffffff,4.0,0.0,0.0
8427499ffffffff,3.0,0.0,0.0
84274b3ffffffff,2.0,0.0,0.0
84274b5ffffffff,10.0,0.0,0.0
84274d1ffffffff,4.0,0.0,0.0
84274d3ffffffff,7.0,0.0,0.0
84274d5ffffffff,9.0,0.0,0.0
84274d7ffffffff,33.0,0.0,0.0
8427521ffffffff,30.0,0.0,0.0
8427529ffffffff,23.0,0.0,0.0
842752dffffffff,8.0,0.0,0.0
8427541ffffffff,3.0,0.0,0.0
842754dffffffff,1.0,0.0,0.0
8427565ffffffff,13.0,0.0,0.0
8427581ffffffff,32.0,0.0,0.0
842759bffffffff,3.0,0.0,0.0
842759dffffffff,2.0,0.0,0.0
84275b5ffffffff,2.0,0.0,0.0
84275c3ffffffff,6.0,0.0,0.0
84275c7ffffffff,51.0,0.0,0.0
84275cbffffffff,5.0,0.0,0.0
84275d1ffffffff,2.0,0.0,0.0
84275d7ffffffff,1.0,0.0,0.0
8427637ffffffff,1.0,0.0,0.0
842763bffffffff,8.0,0.0,0.0
8427665ffffffff,2.0,0.0,0.0
84276a7ffffffff,8.0,0.0,0.0
84276b7ffffffff,1.0,0.0,0.0
84276edffffffff,31.0,0.0,0.0
842771dffffffff,3.0,0.0,0.0
8427861ffffffff,5.0,0.0,0.0
8427a2dffffffff,2.0,0.0,0.0
8427a95ffffffff,2.0,0.0,0.0
8427ad7ffffffff,2.0,0.0,0.0
8427ae5ffffffff,1.0,0.0,0.0
8428109ffffffff,9.0,0.0,0.0
842810dffffffff,8.0,0.0,0.0
8428111ffffffff,3.0,0.0,0.0
8428123ffffffff,76.0,3.0,0.0
84281e5ffffffff,28.0,0.0,0.0
842830bffffffff,2.0,0.0,0.0
842893dffffffff,28.0,0.0,0.0
8428a99ffffffff,14.0,0.0,0.0
8428adbffffffff,30.0,0.0,0.0
8428addffffffff,5.0,0.0,0.0
8428f4bffffffff,1.0,0.0,0.0
8429a01ffffffff,2.0,0.0,0.0
842a109ffffffff,5.0,2.0,0.0
842a133ffffffff,2.0,0.0,0.0
842a15dffffffff,20.0,2.0,0.0
842a1a5ffffffff,1.0,0.0,0.0
842a307ffffffff,1.0,0.0,0.0
842a311ffffffff,16.0,5.0,0.0
842a313ffffffff,8.0,0.0,0.0
842a337ffffffff,2.0,0.0,0.0
842a86dffffffff,2.0,0.0,0.0
842a8bbffffffff,2.0,0.0,0.0
842a91dffffffff,11.0,0.0,0.0
842a931ffffffff,1.0,0.0,0.0
842a943ffffffff,4.0,0.0,0.0
842a94dffffffff,54.0,0.0,0.0
842a95dffffffff,1.0,0.0,0.0
842aa5dffffffff,24.0,0.0,0.0
842aa67ffffffff,3.0,2.0,0.0
842aa8dffffffff,1.0,0.0,0.0
842aa91ffffffff,3.0,0.0,0.0
842aa9bffffffff,16.0,0.0,0.0
842aac1ffffffff,6.0,0.0,0.0
842aac7ffffffff,8.0,2.0,0.0
842aacbffffffff,2.0,0.0,0.0
842aad1ffffffff,7.0,0.0,0.0
842aad5ffffffff,26.0,0.0,0.0
842aad9ffffffff,3.0,0.0,0.0
842aaddffffffff,35.0,0.0,0.0
842ab05ffffffff,1.0,0.0,0.0
842ab27ffffffff,2.0,0.0,0.0
842ab49ffffffff,4.0,0.0,0.0
842ad59ffffffff,13.0,0.0,0.0
842af0dffffffff,1.0,0.0,0.0
842af69ffffffff,2.0,0.0,0.0
842b121ffffffff,4.0,0.0,0.0
842b125ffffffff,2.0,0.0,0.0
842b127ffffffff,205.0,0.0,0.0
842b167ffffffff,28.0,0.0,0.0
842b16dffffffff,2.0,0.0,0.0
842b181ffffffff,4.0,0.0,0.0
842b235ffffffff,1.0,0.0,0.0
842b339ffffffff,1.0,0.0,0.0
842b33bffffffff,1.0,0.0,0.0
842b813ffffffff,43.0,0.0,0.0
842b827ffffffff,5.0,3.0,0.0
842b83bffffffff,22.0,2.0,0.0
842b94dffffffff,30.0,0.0,0.0
842b98bffffffff,2.0,0.0,0.0
842b98dffffffff,81.0,2.0,0.0
842b99dffffffff,4.0,0.0,0.0
842b9abffffffff,2.0,0.0,0.0
842b9b5ffffffff,8.0,0.0,0.0
842b9b7ffffffff,1.0,0.0,0.0
842b9bdffffffff,11.0,0.0,0.0
842b9d3ffffffff,2.0,0.0,0.0
842b9d7ffffffff,2.0,0.0,0.0
842b9e3ffffffff,1.0,0.0,0.0
842ba09ffffffff,2.0,0.0,0.0
842ba0bffffffff,6.0,0.0,0.0
842ba51ffffffff,45.0,0.0,0.0
842bac5ffffffff,45.0,0.0,0.0
842bacdffffffff,39.0,0.0,0.0
842bae7ffffffff,1.0,0.0,0.0
8444443ffffffff,6.0,0.0,0.0
844444bffffffff,3.0,0.0,0.0
8444459ffffffff,51.0,0.0,0.0
8444467ffffffff,1.0,0.0,0.0
8444499ffffffff,10.0,0.0,0.0
84444c1ffffffff,2.0,0.0,0.0
84444c3ffffffff,2.0,0.0,0.0
84444cdffffffff,2.0,0.0,0.0
84444d5ffffffff,3.0,0.0,0.0
8444501ffffffff,10.0,0.0,0.0
8444509ffffffff,37.0,0.0,0.0
844450dffffffff,1.0,0.0,0.0
8444555ffffffff,21.0,0.0,0.0
8444633ffffffff,57.0,0.0,0.0
84446c1ffffffff,3.0,0.0,0.0
84446c5ffffffff,27.0,0.0,0.0
84446cdffffffff,5.0,0.0,0.0
84446ddffffffff,33.0,0.0,0.0
84446e9ffffffff,1.0,0.0,0.0
84446edffffffff,8.0,0.0,0.0
8444a8bffffffff,2.0,0.0,0.0
8444d3bffffffff,3.0,0.0,0.0
8444d85ffffffff,5.0,0.0,0.0
8444e63ffffffff,4.0,0.0,0.0
8444e67ffffffff,2.0,0.0,0.0
8444f37ffffffff,2.0,0.0,0.0
8448903ffffffff,5.0,0.0,0.0
8448907ffffffff,4.0,0.0,0.0
8448923ffffffff,12.0,0.0,0.0
8448935ffffffff,5.0,0.0,0.0
8448937ffffffff,2.0,0.0,0.0
