cell_id,Nesotriccus murinus,Nesotriccus murinus incomtus/eremonomus,Nesotriccus murinus murinus/wagae
828107fffffffff,162.0,0.0,162.0
82810ffffffffff,2.0,0.0,2.0
828117fffffffff,5.0,0.0,5.0
82811ffffffffff,24.0,0.0,24.0
828127fffffffff,235.0,0.0,235.0
82812ffffffffff,6.0,0.0,6.0
828137fffffffff,217.0,0.0,217.0
828147fffffffff,8.0,0.0,8.0
82814ffffffffff,149.0,0.0,149.0
828157fffffffff,3.0,0.0,3.0
82815ffffffffff,12.0,0.0,12.0
828167fffffffff,19.0,0.0,19.0
828177fffffffff,29.0,0.0,29.0
828187fffffffff,9.0,0.0,9.0
82818ffffffffff,61.0,0.0,61.0
8281affffffffff,115.0,0.0,115.0
828a07fffffffff,21.0,0.0,21.0
828a1ffffffffff,4.0,0.0,4.0
828a37fffffffff,2.0,0.0,2.0
828a47fffffffff,230.0,0.0,230.0
828a5ffffffffff,1.0,0.0,1.0
828a6ffffffffff,337.0,0.0,337.0
828a87fffffffff,18.0,0.0,18.0
828a8ffffffffff,7.0,0.0,7.0
828a97fffffffff,7.0,0.0,7.0
828a9ffffffffff,7.0,0.0,7.0
828aaffffffffff,14.0,0.0,14.0
828adffffffffff,76.0,0.0,7.0
828af7fffffffff,337.0,0.0,337.0
828b0ffffffffff,6.0,0.0,6.0
828b1ffffffffff,2.0,0.0,2.0
828b27fffffffff,79.0,0.0,79.0
828b2ffffffffff,10.0,0.0,10.0
828b47fffffffff,136.0,0.0,136.0
828b4ffffffffff,4.0,0.0,4.0
828b57fffffffff,9.0,0.0,9.0
828b5ffffffffff,8.0,0.0,8.0
828b67fffffffff,37.0,0.0,37.0
828b6ffffffffff,6.0,0.0,6.0
828b77fffffffff,6.0,0.0,6.0
828b9ffffffffff,28.0,0.0,28.0
828ba7fffffffff,20.0,0.0,20.0
828bb7fffffffff,55.0,0.0,55.0
828e67fffffffff,72.0,0.0,72.0
828f47fffffffff,475.0,0.0,475.0
828f4ffffffffff,90.0,0.0,90.0
828f5ffffffffff,14.0,0.0,14.0
828f67fffffffff,56.0,0.0,56.0
828f6ffffffffff,2.0,0.0,2.0
828f77fffffffff,16.0,0.0,6.0
82a597fffffffff,4.0,0.0,4.0
82a807fffffffff,3.0,0.0,3.0
82a80ffffffffff,1.0,0.0,1.0
82a817fffffffff,22.0,0.0,22.0
82a81ffffffffff,177.0,0.0,176.0
82a82ffffffffff,9.0,0.0,9.0
82a847fffffffff,55.0,0.0,55.0
82a84ffffffffff,5.0,0.0,5.0
82a857fffffffff,7.0,0.0,7.0
82a85ffffffffff,162.0,0.0,162.0
82a867fffffffff,15.0,0.0,15.0
82a86ffffffffff,3.0,0.0,3.0
82a877fffffffff,3.0,0.0,3.0
82a887fffffffff,140.0,0.0,140.0
82a88ffffffffff,311.0,0.0,311.0
82a89ffffffffff,9.0,0.0,9.0
82a8a7fffffffff,54.0,0.0,54.0
82a8affffffffff,18.0,0.0,18.0
82a8c7fffffffff,42.0,0.0,42.0
82a8cffffffffff,3.0,0.0,3.0
82a8d7fffffffff,61.0,0.0,61.0
82a8dffffffffff,15.0,0.0,15.0
82a8e7fffffffff,6.0,0.0,6.0
82a8effffffffff,3.0,0.0,3.0
82a8f7fffffffff,13.0,0.0,13.0
82a947fffffffff,51.0,0.0,51.0
82a94ffffffffff,13.0,0.0,13.0
82a957fffffffff,28.0,0.0,28.0
82a95ffffffffff,9.0,0.0,9.0
82a96ffffffffff,93.0,0.0,93.0
82a977fffffffff,2.0,0.0,2.0
82b277fffffffff,2.0,0.0,2.0
82b347fffffffff,5.0,0.0,5.0
82b34ffffffffff,2.0,0.0,2.0
82b35ffffffffff,46.0,0.0,46.0
82b367fffffffff,11.0,0.0,11.0
82b36ffffffffff,7.0,0.0,7.0
