cell_id,Stigmatura budytoides,Stigmatura budytoides [budytoides Group],Stigmatura budytoides gracilis
84a94d1ffffffff,2.0,0.0,0.0
84a94d5ffffffff,4.0,0.0,0.0
84a94d7ffffffff,2.0,0.0,0.0
84a94ddffffffff,7.0,0.0,0.0
84b2091ffffffff,3.0,0.0,0.0
84b2095ffffffff,5.0,0.0,0.0
84b209bffffffff,8.0,0.0,0.0
84b209dffffffff,2.0,0.0,0.0
84b20b3ffffffff,11.0,0.0,0.0
84b20bbffffffff,11.0,0.0,0.0
84b20d9ffffffff,10.0,0.0,0.0
84b2297ffffffff,2.0,0.0,0.0
84b22b3ffffffff,6.0,0.0,0.0
84b22d9ffffffff,4.0,0.0,0.0
84b2401ffffffff,16.0,0.0,0.0
84b2405ffffffff,21.0,0.0,0.0
84b2407ffffffff,7.0,0.0,0.0
84b2409ffffffff,7.0,0.0,0.0
84b240bffffffff,9.0,0.0,0.0
84b2411ffffffff,2.0,0.0,0.0
84b2413ffffffff,196.0,0.0,0.0
84b2417ffffffff,2.0,0.0,0.0
84b2419ffffffff,6.0,0.0,0.0
84b241dffffffff,9.0,0.0,0.0
84b2421ffffffff,15.0,0.0,0.0
84b2423ffffffff,3.0,0.0,0.0
84b2425ffffffff,15.0,0.0,0.0
84b2427ffffffff,5.0,0.0,0.0
84b242bffffffff,92.0,0.0,0.0
84b242dffffffff,16.0,0.0,0.0
84b2431ffffffff,7.0,0.0,0.0
84b2433ffffffff,1.0,0.0,0.0
84b2435ffffffff,93.0,0.0,0.0
84b2437ffffffff,8.0,0.0,0.0
84b2439ffffffff,14.0,0.0,0.0
84b243bffffffff,5.0,0.0,0.0
84b243dffffffff,46.0,0.0,0.0
84b2441ffffffff,21.0,0.0,0.0
84b2443ffffffff,2.0,0.0,0.0
84b2445ffffffff,4.0,0.0,0.0
84b2447ffffffff,2.0,0.0,0.0
84b244dffffffff,8.0,0.0,0.0
84b2453ffffffff,12.0,0.0,0.0
84b2455ffffffff,2.0,0.0,0.0
84b2457ffffffff,25.0,0.0,0.0
84b245dffffffff,4.0,0.0,0.0
84b2461ffffffff,5.0,0.0,0.0
84b2463ffffffff,124.0,0.0,0.0
84b2467ffffffff,5.0,0.0,0.0
84b246bffffffff,8.0,0.0,0.0
84b246dffffffff,2.0,0.0,0.0
84b24a9ffffffff,2.0,0.0,0.0
84b24adffffffff,5.0,0.0,0.0
84b24bdffffffff,3.0,0.0,0.0
84b24c5ffffffff,23.0,0.0,0.0
84b24cdffffffff,50.0,0.0,0.0
84b24e5ffffffff,19.0,0.0,0.0
84b24ebffffffff,3.0,0.0,0.0
84b250dffffffff,14.0,0.0,0.0
84b2515ffffffff,2.0,0.0,0.0
84b2519ffffffff,7.0,0.0,0.0
84b251bffffffff,37.0,0.0,0.0
84b2523ffffffff,8.0,0.0,0.0
84b2525ffffffff,56.0,0.0,0.0
84b2527ffffffff,5.0,0.0,0.0
84b2533ffffffff,14.0,0.0,0.0
84b2537ffffffff,1.0,0.0,0.0
84b2549ffffffff,19.0,0.0,0.0
84b254bffffffff,6.0,0.0,0.0
84b2551ffffffff,2.0,0.0,0.0
84b2553ffffffff,2.0,0.0,0.0
84b2555ffffffff,2.0,0.0,0.0
84b2557ffffffff,11.0,0.0,0.0
84b2563ffffffff,2.0,0.0,0.0
84b2569ffffffff,2.0,0.0,0.0
84b256bffffffff,3.0,0.0,0.0
84b2581ffffffff,15.0,0.0,0.0
84b2583ffffffff,27.0,0.0,0.0
84b2585ffffffff,9.0,0.0,0.0
84b2589ffffffff,119.0,0.0,0.0
84b258bffffffff,4.0,0.0,0.0
84b258dffffffff,36.0,0.0,0.0
84b2591ffffffff,26.0,0.0,0.0
84b2595ffffffff,3.0,0.0,0.0
84b259dffffffff,2.0,0.0,0.0
84b25a1ffffffff,8.0,0.0,0.0
84b25a7ffffffff,2.0,0.0,0.0
84b25abffffffff,4.0,0.0,0.0
84b25adffffffff,2.0,0.0,0.0
84b25bbffffffff,3.0,0.0,0.0
84b25c1ffffffff,68.0,0.0,0.0
84b25c3ffffffff,11.0,0.0,0.0
84b25c7ffffffff,106.0,0.0,0.0
84b25c9ffffffff,3.0,0.0,0.0
84b25cbffffffff,27.0,0.0,0.0
84b25cdffffffff,216.0,0.0,0.0
84b25d1ffffffff,44.0,0.0,0.0
84b25d3ffffffff,18.0,0.0,0.0
84b25d5ffffffff,150.0,0.0,0.0
84b25d7ffffffff,53.0,0.0,0.0
84b25ddffffffff,8.0,0.0,0.0
84b25e1ffffffff,81.0,0.0,0.0
84b25e3ffffffff,146.0,0.0,0.0
84b25e5ffffffff,3.0,0.0,0.0
84b25e7ffffffff,17.0,0.0,0.0
84b25ebffffffff,23.0,0.0,0.0
84b25edffffffff,1.0,0.0,0.0
84b2603ffffffff,1.0,0.0,0.0
84b2611ffffffff,4.0,0.0,0.0
84b2613ffffffff,8.0,0.0,0.0
84b2619ffffffff,2.0,0.0,0.0
84b2625ffffffff,1.0,0.0,0.0
84b2627ffffffff,18.0,0.0,0.0
84b262bffffffff,3.0,0.0,0.0
84b262dffffffff,99.0,0.0,0.0
84b2633ffffffff,5.0,0.0,0.0
84b2635ffffffff,9.0,0.0,0.0
84b263dffffffff,14.0,0.0,0.0
84b2655ffffffff,5.0,0.0,0.0
84b2659ffffffff,1.0,0.0,0.0
84b265dffffffff,5.0,0.0,0.0
84b2661ffffffff,6.0,0.0,0.0
84b2665ffffffff,31.0,0.0,0.0
84b2667ffffffff,19.0,0.0,0.0
84b266bffffffff,4.0,0.0,0.0
84b268dffffffff,22.0,0.0,0.0
84b26a5ffffffff,7.0,0.0,0.0
84b26adffffffff,22.0,0.0,0.0
84b26e5ffffffff,1.0,0.0,0.0
84b26e7ffffffff,3.0,0.0,0.0
84b26ebffffffff,2.0,0.0,0.0
84b2701ffffffff,27.0,0.0,0.0
84b2703ffffffff,5.0,0.0,0.0
84b2705ffffffff,2.0,0.0,0.0
84b2709ffffffff,11.0,0.0,0.0
84b270dffffffff,13.0,0.0,0.0
84b2715ffffffff,15.0,0.0,0.0
84b2717ffffffff,8.0,0.0,0.0
84b2719ffffffff,12.0,0.0,0.0
84b271bffffffff,1.0,0.0,0.0
84b271dffffffff,5.0,0.0,0.0
84b2721ffffffff,7.0,0.0,0.0
84b2723ffffffff,15.0,0.0,0.0
84b2725ffffffff,7.0,0.0,0.0
84b2727ffffffff,3.0,0.0,0.0
84b2729ffffffff,4.0,0.0,0.0
84b272bffffffff,21.0,0.0,0.0
84b2739ffffffff,2.0,0.0,0.0
84b273dffffffff,3.0,0.0,0.0
84b2749ffffffff,1.0,0.0,0.0
84b2757ffffffff,10.0,0.0,0.0
84b275bffffffff,158.0,0.0,0.0
84b275dffffffff,30.0,0.0,0.0
84b2761ffffffff,2.0,0.0,0.0
84b2765ffffffff,3.0,0.0,0.0
84b2767ffffffff,1.0,0.0,0.0
84b276bffffffff,10.0,0.0,0.0
84b276dffffffff,4.0,0.0,0.0
84b2c83ffffffff,1.0,0.0,0.0
84b2cd1ffffffff,1.0,0.0,0.0
84b2cddffffffff,5.0,0.0,0.0
84b2e1bffffffff,7.0,0.0,0.0
84b2e85ffffffff,47.0,0.0,0.0
84b2e8bffffffff,1.0,0.0,0.0
84b2e8dffffffff,3.0,0.0,0.0
84b2e91ffffffff,64.0,0.0,0.0
84b2e95ffffffff,4.0,0.0,0.0
84b2e99ffffffff,78.0,0.0,0.0
84b2e9bffffffff,5.0,0.0,0.0
84b2e9dffffffff,2.0,0.0,0.0
84b2eabffffffff,2.0,0.0,0.0
84b2eb3ffffffff,1.0,0.0,0.0
84b2eb7ffffffff,8.0,0.0,0.0
84b2eb9ffffffff,15.0,0.0,0.0
84b2ebbffffffff,45.0,0.0,0.0
84b2ec1ffffffff,49.0,0.0,0.0
84b2ec5ffffffff,6.0,0.0,0.0
84b2ec7ffffffff,35.0,0.0,0.0
84b2ec9ffffffff,1.0,0.0,0.0
84b2ecbffffffff,18.0,0.0,0.0
84b2ecdffffffff,31.0,0.0,0.0
84b2ed7ffffffff,4.0,0.0,0.0
84b2ed9ffffffff,46.0,0.0,0.0
84b2ee1ffffffff,3.0,0.0,0.0
84b2ee3ffffffff,6.0,0.0,0.0
84b2ee9ffffffff,24.0,0.0,0.0
84b2eebffffffff,95.0,0.0,0.0
84b32dbffffffff,12.0,0.0,0.0
84b32ddffffffff,2.0,0.0,0.0
84b3403ffffffff,1.0,0.0,0.0
84b3407ffffffff,5.0,0.0,0.0
84b3409ffffffff,2.0,0.0,0.0
84b340dffffffff,3.0,0.0,0.0
84b3415ffffffff,3.0,0.0,0.0
84b3419ffffffff,2.0,0.0,0.0
84b341dffffffff,1.0,0.0,0.0
84b3421ffffffff,5.0,0.0,0.0
84b3423ffffffff,97.0,0.0,0.0
84b3427ffffffff,6.0,0.0,0.0
84b342bffffffff,23.0,0.0,0.0
84b3435ffffffff,13.0,0.0,0.0
84b3437ffffffff,2.0,0.0,0.0
84b3439ffffffff,21.0,0.0,0.0
84b343bffffffff,58.0,0.0,0.0
84b343dffffffff,15.0,0.0,0.0
84b3447ffffffff,3.0,0.0,0.0
84b345dffffffff,2.0,0.0,0.0
84b3487ffffffff,10.0,0.0,0.0
84b3491ffffffff,14.0,0.0,0.0
84b349dffffffff,24.0,0.0,0.0
84b34a1ffffffff,2.0,0.0,0.0
84b34a3ffffffff,2.0,0.0,0.0
84b34a5ffffffff,19.0,0.0,0.0
84b34abffffffff,2.0,0.0,0.0
84b34b1ffffffff,50.0,0.0,0.0
84b34b3ffffffff,4.0,0.0,0.0
84b34b5ffffffff,1.0,0.0,0.0
84b34b9ffffffff,57.0,0.0,0.0
84b34bbffffffff,1.0,0.0,0.0
84b34bdffffffff,36.0,0.0,0.0
84b34c1ffffffff,1.0,0.0,0.0
84b34c5ffffffff,1.0,0.0,0.0
84b34c7ffffffff,21.0,0.0,0.0
84b34cdffffffff,5.0,0.0,0.0
84b34d1ffffffff,10.0,0.0,0.0
84b34d3ffffffff,8.0,0.0,0.0
84b34d7ffffffff,12.0,0.0,0.0
84b34d9ffffffff,9.0,0.0,0.0
84b34dbffffffff,22.0,0.0,0.0
84b34e9ffffffff,5.0,0.0,0.0
84b34edffffffff,6.0,0.0,0.0
84b3513ffffffff,17.0,0.0,0.0
84b3583ffffffff,6.0,0.0,0.0
84b3585ffffffff,4.0,0.0,0.0
84b3587ffffffff,4.0,0.0,0.0
84b3589ffffffff,34.0,0.0,0.0
84b358dffffffff,1.0,0.0,0.0
84b3595ffffffff,2.0,0.0,0.0
84b35a1ffffffff,20.0,0.0,0.0
84b35a3ffffffff,9.0,0.0,0.0
84b35a5ffffffff,53.0,0.0,0.0
84b35a7ffffffff,81.0,0.0,0.0
84b35a9ffffffff,12.0,0.0,0.0
84b35abffffffff,2.0,0.0,0.0
84b35adffffffff,137.0,0.0,0.0
84b35b3ffffffff,9.0,0.0,0.0
84b35b9ffffffff,12.0,0.0,0.0
84b35bdffffffff,2.0,0.0,0.0
84b35c1ffffffff,20.0,0.0,0.0
84b35c3ffffffff,12.0,0.0,0.0
84b35c5ffffffff,181.0,0.0,0.0
84b35c7ffffffff,42.0,0.0,0.0
84b35cdffffffff,24.0,0.0,0.0
84b35d3ffffffff,8.0,0.0,0.0
84b35d5ffffffff,21.0,0.0,0.0
84b35d7ffffffff,2.0,0.0,0.0
84b35d9ffffffff,7.0,0.0,0.0
84b35ddffffffff,3.0,0.0,0.0
84b35e1ffffffff,106.0,0.0,0.0
84b35e3ffffffff,64.0,0.0,0.0
84b35e5ffffffff,21.0,0.0,0.0
84b35e7ffffffff,16.0,0.0,0.0
84b35e9ffffffff,33.0,0.0,0.0
84b35ebffffffff,84.0,0.0,0.0
84b35edffffffff,3.0,0.0,0.0
84b3605ffffffff,9.0,0.0,0.0
84b3609ffffffff,1.0,0.0,0.0
84b360bffffffff,11.0,0.0,0.0
84b3611ffffffff,17.0,0.0,0.0
84b3615ffffffff,6.0,0.0,0.0
84b3617ffffffff,36.0,0.0,0.0
84b361dffffffff,1.0,0.0,0.0
84b3627ffffffff,1.0,0.0,0.0
84b3629ffffffff,46.0,0.0,0.0
84b3633ffffffff,21.0,0.0,0.0
84b3649ffffffff,1.0,0.0,0.0
84b3657ffffffff,4.0,0.0,0.0
84b3661ffffffff,2.0,0.0,0.0
84b3663ffffffff,1.0,0.0,0.0
84b3665ffffffff,2.0,0.0,0.0
84b3667ffffffff,5.0,0.0,0.0
84b366dffffffff,17.0,0.0,0.0
84b3683ffffffff,6.0,0.0,0.0
84b3689ffffffff,2.0,0.0,0.0
84b368bffffffff,28.0,0.0,0.0
84b3691ffffffff,3.0,0.0,0.0
84b3699ffffffff,118.0,0.0,0.0
84b369bffffffff,7.0,0.0,0.0
84b369dffffffff,9.0,0.0,0.0
84b36a5ffffffff,2.0,0.0,0.0
84b36a7ffffffff,2.0,0.0,0.0
84b36a9ffffffff,3.0,0.0,0.0
84b36b3ffffffff,3.0,0.0,0.0
84b36d3ffffffff,6.0,0.0,0.0
84b36d5ffffffff,44.0,0.0,0.0
84b36d7ffffffff,9.0,0.0,0.0
84c22a1ffffffff,1.0,0.0,0.0
84c2c99ffffffff,2.0,0.0,0.0
84c2e53ffffffff,2.0,0.0,0.0
84c3083ffffffff,3.0,0.0,0.0
84c308bffffffff,2.0,0.0,0.0
84c3093ffffffff,19.0,0.0,0.0
84c3097ffffffff,2.0,0.0,0.0
84c30d1ffffffff,3.0,0.0,0.0
84c3297ffffffff,160.0,0.0,0.0
84c329bffffffff,2.0,0.0,0.0
84c32b3ffffffff,2.0,0.0,0.0
84c32b7ffffffff,12.0,0.0,0.0
84c32b9ffffffff,1.0,0.0,0.0
84c32bbffffffff,2.0,0.0,0.0
84c32e1ffffffff,1.0,0.0,0.0
84c3401ffffffff,87.0,0.0,0.0
84c3403ffffffff,39.0,0.0,0.0
84c3409ffffffff,27.0,0.0,0.0
84c340bffffffff,4.0,0.0,0.0
84c340dffffffff,28.0,0.0,0.0
84c3411ffffffff,1.0,0.0,0.0
84c3415ffffffff,3.0,0.0,0.0
84c3419ffffffff,6.0,0.0,0.0
84c341dffffffff,2.0,0.0,0.0
84c3439ffffffff,1.0,0.0,0.0
84c3443ffffffff,5.0,0.0,0.0
84c3445ffffffff,3.0,0.0,0.0
84c3447ffffffff,1.0,0.0,0.0
84c3451ffffffff,1.0,0.0,0.0
84c3453ffffffff,4.0,0.0,0.0
84c3459ffffffff,8.0,0.0,0.0
84c345bffffffff,7.0,0.0,0.0
84c345dffffffff,14.0,0.0,0.0
84c3465ffffffff,6.0,0.0,0.0
84c3467ffffffff,3.0,0.0,0.0
84c34c9ffffffff,9.0,0.0,0.0
84c34ddffffffff,1.0,0.0,0.0
84c3505ffffffff,1.0,0.0,0.0
84c3509ffffffff,4.0,0.0,0.0
84c350dffffffff,7.0,0.0,0.0
84c3539ffffffff,1.0,0.0,0.0
84c3541ffffffff,4.0,0.0,0.0
84c3543ffffffff,15.0,0.0,0.0
84c3545ffffffff,8.0,0.0,0.0
84c3547ffffffff,8.0,0.0,0.0
84c3553ffffffff,8.0,0.0,0.0
84c3555ffffffff,5.0,0.0,0.0
84c355bffffffff,2.0,0.0,0.0
84c355dffffffff,2.0,0.0,0.0
84c3563ffffffff,4.0,0.0,0.0
84c3569ffffffff,15.0,0.0,0.0
84c356bffffffff,46.0,0.0,0.0
84c356dffffffff,1.0,0.0,0.0
84c35a5ffffffff,1.0,0.0,0.0
84c3603ffffffff,8.0,0.0,0.0
84c3607ffffffff,1.0,0.0,0.0
84c360dffffffff,4.0,0.0,0.0
84c3633ffffffff,1.0,0.0,0.0
84c3643ffffffff,5.0,0.0,0.0
84c3647ffffffff,2.0,0.0,0.0
84c364dffffffff,9.0,0.0,0.0
84c3663ffffffff,9.0,0.0,0.0
84c3667ffffffff,5.0,0.0,0.0
84c3681ffffffff,2.0,0.0,0.0
84c36a3ffffffff,8.0,0.0,0.0
84c36a5ffffffff,2.0,0.0,0.0
84c36a7ffffffff,2.0,0.0,0.0
84c36abffffffff,8.0,0.0,0.0
84c36b1ffffffff,2.0,0.0,0.0
84c36b5ffffffff,4.0,0.0,0.0
84c36c1ffffffff,5.0,0.0,0.0
84c36dbffffffff,1.0,0.0,0.0
84c36ddffffffff,9.0,0.0,0.0
84c36edffffffff,3.0,0.0,0.0
84c3709ffffffff,30.0,0.0,0.0
84c3719ffffffff,2.0,0.0,0.0
84c371bffffffff,42.0,0.0,0.0
84c371dffffffff,2.0,0.0,0.0
84c3731ffffffff,1.0,0.0,0.0
84c3733ffffffff,24.0,0.0,0.0
84c3735ffffffff,11.0,0.0,0.0
84c3739ffffffff,10.0,0.0,0.0
84c373bffffffff,2.0,0.0,0.0
84c373dffffffff,2.0,0.0,0.0
84c3747ffffffff,2.0,0.0,0.0
84c3755ffffffff,1.0,0.0,0.0
84c3759ffffffff,5.0,0.0,0.0
84c375bffffffff,1.0,0.0,0.0
84c375dffffffff,14.0,0.0,0.0
84c3767ffffffff,10.0,0.0,0.0
84c376dffffffff,19.0,0.0,0.0
84ce907ffffffff,2.0,0.0,0.0
84ce917ffffffff,2.0,0.0,0.0
84ce923ffffffff,3.0,0.0,0.0
84ce931ffffffff,28.0,0.0,0.0
84ce935ffffffff,66.0,0.0,0.0
84ce937ffffffff,3.0,0.0,0.0
84ce93bffffffff,11.0,0.0,0.0
84ce961ffffffff,2.0,0.0,0.0
84ce96dffffffff,2.0,0.0,0.0
