cell_id,Emberiza capensis,Emberiza capensis [capensis Group],Emberiza capensis vincenti
84bce2bffffffff,75.0,0.0,0.0
84bce35ffffffff,2.0,0.0,0.0
84bce37ffffffff,2.0,0.0,0.0
84bce3dffffffff,1.0,0.0,0.0
84bce55ffffffff,1.0,0.0,0.0
84bce83ffffffff,2.0,0.0,0.0
84bce99ffffffff,10.0,0.0,0.0
84bcee3ffffffff,2.0,0.0,0.0
84bceedffffffff,1.0,0.0,0.0
84bcf05ffffffff,2.0,0.0,0.0
84bcf0dffffffff,2.0,0.0,0.0
84bcf13ffffffff,1.0,0.0,0.0
84bcf1dffffffff,5.0,0.0,0.0
84bcf33ffffffff,67.0,0.0,0.0
84bcf3bffffffff,23.0,1.0,0.0
84bcf3dffffffff,2.0,0.0,0.0
84bcf5bffffffff,1.0,0.0,0.0
84bcf63ffffffff,2.0,0.0,0.0
