cell_id,Quiscalus lugubris,Quiscalus lugubris [lugubris Group],Quiscalus lugubris fortirostris
835f5afffffffff,1.0,0.0,0.0
835f5bfffffffff,905.0,0.0,0.0
835f5dfffffffff,46.0,0.0,0.0
835f68fffffffff,12.0,0.0,0.0
835f71fffffffff,12.0,0.0,0.0
835f75fffffffff,2.0,0.0,0.0
836600fffffffff,47.0,0.0,0.0
836601fffffffff,32.0,0.0,0.0
836602fffffffff,244.0,0.0,0.0
836603fffffffff,4.0,0.0,0.0
836604fffffffff,59.0,0.0,0.0
836605fffffffff,23.0,0.0,0.0
836606fffffffff,177.0,0.0,0.0
836608fffffffff,899.0,0.0,0.0
836609fffffffff,128.0,0.0,0.0
83660afffffffff,182.0,0.0,0.0
83660bfffffffff,604.0,0.0,0.0
83660cfffffffff,203.0,0.0,0.0
83660dfffffffff,39.0,0.0,0.0
83660efffffffff,197.0,0.0,0.0
836610fffffffff,258.0,0.0,0.0
836611fffffffff,101.0,0.0,0.0
836612fffffffff,4.0,0.0,0.0
836613fffffffff,236.0,0.0,0.0
836615fffffffff,9.0,0.0,0.0
836616fffffffff,293.0,0.0,0.0
836618fffffffff,381.0,0.0,0.0
836619fffffffff,1176.0,0.0,0.0
83661bfffffffff,584.0,0.0,0.0
83661cfffffffff,8.0,0.0,0.0
83661dfffffffff,103.0,0.0,0.0
83661efffffffff,3.0,0.0,0.0
836620fffffffff,1660.0,0.0,0.0
836621fffffffff,303.0,0.0,0.0
836622fffffffff,1881.0,0.0,0.0
836623fffffffff,102.0,0.0,0.0
836625fffffffff,933.0,0.0,0.0
836628fffffffff,34.0,0.0,0.0
836629fffffffff,307.0,0.0,0.0
83662bfffffffff,78.0,0.0,0.0
83662cfffffffff,187.0,0.0,0.0
83662dfffffffff,30.0,0.0,0.0
83662efffffffff,107.0,0.0,0.0
836631fffffffff,514.0,0.0,0.0
836642fffffffff,1.0,0.0,0.0
836650fffffffff,20.0,0.0,0.0
836652fffffffff,280.0,0.0,0.0
836653fffffffff,2.0,0.0,0.0
836654fffffffff,460.0,0.0,0.0
836656fffffffff,353.0,0.0,0.0
836660fffffffff,6.0,0.0,0.0
836662fffffffff,8.0,0.0,0.0
836663fffffffff,76.0,0.0,0.0
836664fffffffff,115.0,0.0,0.0
836666fffffffff,3.0,0.0,0.0
836670fffffffff,55.0,0.0,0.0
836672fffffffff,404.0,0.0,0.0
836673fffffffff,56.0,0.0,0.0
836674fffffffff,5.0,0.0,0.0
836675fffffffff,143.0,0.0,0.0
836676fffffffff,14.0,0.0,0.0
8366a5fffffffff,4.0,0.0,0.0
8366c0fffffffff,4.0,0.0,0.0
8366c2fffffffff,19.0,0.0,0.0
8366c4fffffffff,39.0,0.0,0.0
8366c6fffffffff,67.0,0.0,0.0
8366dcfffffffff,1.0,0.0,0.0
8366e0fffffffff,689.0,0.0,0.0
8366e1fffffffff,244.0,0.0,0.0
8366e2fffffffff,37.0,0.0,0.0
8366e3fffffffff,24.0,0.0,0.0
8366e4fffffffff,1708.0,0.0,0.0
8366e5fffffffff,877.0,0.0,0.0
8366e6fffffffff,1549.0,0.0,0.0
8366ecfffffffff,10.0,0.0,0.0
8366f0fffffffff,1.0,0.0,0.0
8366f1fffffffff,87.0,0.0,0.0
8366f3fffffffff,1.0,0.0,0.0
8366f5fffffffff,206.0,0.0,0.0
836740fffffffff,22.0,0.0,0.0
836741fffffffff,2142.0,0.0,0.0
836742fffffffff,263.0,0.0,0.0
836743fffffffff,907.0,0.0,0.0
836744fffffffff,423.0,0.0,0.0
836746fffffffff,1377.0,0.0,0.0
836748fffffffff,6.0,0.0,0.0
83674afffffffff,251.0,0.0,0.0
83674cfffffffff,741.0,0.0,0.0
83674dfffffffff,27.0,0.0,0.0
83674efffffffff,305.0,0.0,0.0
836750fffffffff,15.0,0.0,0.0
836751fffffffff,123.0,0.0,0.0
836752fffffffff,1336.0,0.0,0.0
836753fffffffff,369.0,0.0,0.0
836755fffffffff,4281.0,0.0,0.0
836756fffffffff,41.0,0.0,0.0
836758fffffffff,63.0,0.0,0.0
836759fffffffff,90.0,0.0,0.0
83675afffffffff,144.0,0.0,0.0
83675bfffffffff,31.0,0.0,0.0
83675cfffffffff,632.0,0.0,0.0
83675dfffffffff,41.0,0.0,0.0
83675efffffffff,41.0,0.0,0.0
836769fffffffff,94.0,0.0,0.0
83676bfffffffff,80.0,0.0,0.0
836773fffffffff,2569.0,0.0,0.0
