cell_id,Polioptila plumbea,Polioptila plumbea plumbiceps/anteocularis,Polioptila plumbea innotata,Polioptila plumbea plumbea,Polioptila plumbea parvirostris,Polioptila plumbea atricapilla
83675afffffffff,51.0,0.0,0.0,0.0,0.0,0.0
83675bfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
83675cfffffffff,657.0,0.0,0.0,0.0,0.0,0.0
83675dfffffffff,34.0,0.0,0.0,0.0,0.0,0.0
83675efffffffff,39.0,0.0,0.0,0.0,0.0,0.0
836769fffffffff,41.0,0.0,0.0,0.0,0.0,0.0
83676bfffffffff,16.0,0.0,0.0,0.0,0.0,0.0
838000fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
838002fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
838003fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838005fffffffff,11.0,0.0,0.0,0.0,0.0,1.0
838006fffffffff,16.0,0.0,0.0,0.0,0.0,5.0
83800cfffffffff,6.0,0.0,0.0,0.0,0.0,0.0
838010fffffffff,170.0,0.0,0.0,0.0,0.0,9.0
838011fffffffff,50.0,0.0,0.0,0.0,0.0,2.0
838012fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838013fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838014fffffffff,121.0,0.0,0.0,0.0,0.0,22.0
838015fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
838016fffffffff,71.0,0.0,0.0,0.0,0.0,23.0
83801cfffffffff,5.0,0.0,0.0,0.0,0.0,0.0
838021fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838023fffffffff,2.0,0.0,0.0,0.0,0.0,2.0
838024fffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838026fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83802cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838030fffffffff,331.0,0.0,0.0,0.0,0.0,136.0
838032fffffffff,4.0,0.0,0.0,0.0,0.0,4.0
838034fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
838035fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
838036fffffffff,103.0,0.0,0.0,0.0,0.0,20.0
838044fffffffff,51.0,0.0,0.0,0.0,0.0,0.0
838046fffffffff,97.0,0.0,0.0,0.0,0.0,0.0
838048fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83804cfffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838054fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838062fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838065fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838066fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83806afffffffff,27.0,0.0,0.0,0.0,0.0,0.0
83806bfffffffff,9.0,0.0,0.0,0.0,0.0,0.0
838071fffffffff,26.0,0.0,0.0,0.0,0.0,0.0
838073fffffffff,10.0,0.0,0.0,0.0,0.0,0.0
838074fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8380a4fffffffff,5.0,0.0,0.0,0.0,0.0,2.0
838100fffffffff,14.0,0.0,0.0,0.0,0.0,3.0
838101fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
838102fffffffff,168.0,0.0,0.0,0.0,0.0,13.0
838104fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
838106fffffffff,63.0,0.0,0.0,0.0,0.0,8.0
838109fffffffff,9.0,0.0,0.0,0.0,0.0,0.0
83810afffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83810efffffffff,8.0,0.0,0.0,0.0,0.0,0.0
838110fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
838112fffffffff,17.0,0.0,0.0,0.0,0.0,0.0
838114fffffffff,12.0,0.0,0.0,0.0,0.0,2.0
838115fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
838116fffffffff,45.0,0.0,0.0,0.0,0.0,5.0
838118fffffffff,7.0,0.0,0.0,0.0,0.0,1.0
838119fffffffff,3.0,0.0,0.0,0.0,0.0,3.0
83811afffffffff,44.0,0.0,0.0,0.0,0.0,2.0
83811cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83811efffffffff,3.0,0.0,0.0,0.0,0.0,0.0
838121fffffffff,104.0,0.0,0.0,0.0,0.0,0.0
838122fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
838123fffffffff,10.0,0.0,0.0,0.0,0.0,1.0
838124fffffffff,274.0,0.0,0.0,0.0,0.0,0.0
838125fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
838126fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83812cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
838130fffffffff,72.0,0.0,0.0,0.0,0.0,5.0
838131fffffffff,7.0,0.0,0.0,0.0,0.0,4.0
838132fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838133fffffffff,196.0,0.0,0.0,0.0,0.0,14.0
838134fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
838141fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83814afffffffff,29.0,0.0,0.0,0.0,0.0,0.0
83814dfffffffff,20.0,0.0,0.0,0.0,0.0,0.0
838159fffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83815dfffffffff,8.0,0.0,0.0,0.0,0.0,0.0
838180fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
838181fffffffff,42.0,0.0,0.0,0.0,0.0,9.0
838183fffffffff,94.0,0.0,0.0,0.0,0.0,38.0
838185fffffffff,91.0,0.0,0.0,0.0,0.0,15.0
838188fffffffff,102.0,0.0,0.0,0.0,0.0,7.0
83818afffffffff,16.0,0.0,0.0,0.0,0.0,2.0
83818bfffffffff,36.0,0.0,0.0,0.0,0.0,24.0
83818cfffffffff,15.0,0.0,0.0,0.0,0.0,6.0
83818dfffffffff,12.0,0.0,0.0,0.0,0.0,0.0
83818efffffffff,69.0,0.0,0.0,0.0,0.0,30.0
838199fffffffff,4.0,0.0,0.0,0.0,0.0,2.0
83819dfffffffff,52.0,0.0,0.0,0.0,0.0,16.0
8381a1fffffffff,21.0,0.0,0.0,0.0,0.0,0.0
8381a3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
8381a8fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
8381a9fffffffff,13.0,0.0,0.0,0.0,0.0,3.0
8381aafffffffff,18.0,0.0,0.0,0.0,0.0,8.0
8381adfffffffff,225.0,0.0,0.0,0.0,0.0,19.0
8381aefffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838a45fffffffff,11.0,0.0,0.0,0.0,0.0,0.0
838a63fffffffff,6.0,0.0,0.0,0.0,0.0,0.0
838a68fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838a6dfffffffff,12.0,0.0,0.0,0.0,0.0,0.0
838a70fffffffff,13.0,0.0,0.0,0.0,0.0,0.0
838a80fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838a8afffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838a8cfffffffff,22.0,0.0,0.0,0.0,0.0,0.0
838a9cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838a9dfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838a9efffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838aabfffffffff,19.0,0.0,0.0,0.0,0.0,0.0
838ad1fffffffff,11.0,0.0,1.0,0.0,0.0,0.0
838adafffffffff,85.0,0.0,16.0,0.0,0.0,0.0
838adbfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
838adcfffffffff,8.0,0.0,1.0,0.0,0.0,0.0
838adefffffffff,4.0,0.0,2.0,0.0,0.0,0.0
838ae5fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838af0fffffffff,24.0,0.0,0.0,0.0,0.0,0.0
838af1fffffffff,8.0,0.0,0.0,0.0,0.0,0.0
838af4fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838af6fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838b4efffffffff,8.0,0.0,0.0,0.0,0.0,0.0
838b5cfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838e64fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838e65fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838f40fffffffff,91.0,0.0,0.0,0.0,26.0,0.0
838f44fffffffff,5.0,0.0,0.0,0.0,0.0,0.0
838f46fffffffff,14.0,0.0,0.0,0.0,2.0,0.0
838f48fffffffff,19.0,0.0,0.0,0.0,0.0,0.0
838f4bfffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838f4cfffffffff,4.0,0.0,0.0,0.0,0.0,0.0
838f54fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
838f61fffffffff,35.0,0.0,0.0,0.0,0.0,0.0
838f63fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838f65fffffffff,23.0,0.0,0.0,0.0,0.0,0.0
838f6efffffffff,1.0,0.0,0.0,0.0,0.0,0.0
838f74fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83a859fffffffff,1.0,0.0,0.0,0.0,0.0,0.0
83a85bfffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83a88afffffffff,13.0,0.0,0.0,0.0,0.0,0.0
83a88bfffffffff,14.0,0.0,0.0,0.0,0.0,0.0
83a88efffffffff,4.0,0.0,0.0,0.0,0.0,0.0
83a899fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83a89bfffffffff,7.0,0.0,0.0,0.0,0.0,0.0
83a8d3fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83a8d4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83a8f4fffffffff,2.0,0.0,0.0,0.0,0.0,0.0
83a8f5fffffffff,7.0,0.0,0.0,0.0,0.0,0.0
