cell_id,Gracula religiosa,Gracula religiosa [religiosa Group],Gracula religiosa miotera,Gracula religiosa robusta,Gracula religiosa enganensis
8465b23ffffffff,3.0,0.0,0.0,0.0,0.0
8465b2bffffffff,4.0,0.0,0.0,0.0,0.0
8465b31ffffffff,2.0,0.0,0.0,0.0,0.0
8465b39ffffffff,33.0,0.0,0.0,0.0,0.0
8465b3dffffffff,69.0,0.0,0.0,0.0,0.0
8468163ffffffff,2.0,0.0,0.0,0.0,0.0
8468167ffffffff,5.0,0.0,0.0,0.0,0.0
8468281ffffffff,147.0,7.0,0.0,0.0,0.0
8468285ffffffff,194.0,11.0,0.0,0.0,0.0
84682e3ffffffff,2.0,0.0,0.0,0.0,0.0
