cell_id,Ortygornis sephaena,Ortygornis sephaena rovuma,Ortygornis sephaena [sephaena Group]
8497417ffffffff,14.0,0.0,0.0
849741dffffffff,12.0,0.0,0.0
8497431ffffffff,23.0,0.0,0.0
8497435ffffffff,71.0,0.0,3.0
8497437ffffffff,30.0,0.0,0.0
8497439ffffffff,5.0,0.0,0.0
849743bffffffff,34.0,0.0,0.0
849743dffffffff,1.0,0.0,0.0
8497459ffffffff,3.0,0.0,0.0
8497485ffffffff,3.0,0.0,0.0
84974a9ffffffff,22.0,0.0,10.0
84974abffffffff,63.0,0.0,16.0
84974b9ffffffff,26.0,0.0,10.0
84974bdffffffff,2.0,0.0,0.0
84974cdffffffff,2.0,0.0,0.0
84974e1ffffffff,13.0,0.0,0.0
84974e5ffffffff,19.0,0.0,0.0
84974e9ffffffff,17.0,0.0,3.0
84974edffffffff,6.0,0.0,0.0
8497509ffffffff,23.0,0.0,5.0
8497511ffffffff,5.0,0.0,0.0
8497513ffffffff,108.0,0.0,2.0
8497515ffffffff,14.0,0.0,1.0
8497517ffffffff,12.0,0.0,0.0
8497543ffffffff,4.0,0.0,1.0
8497547ffffffff,7.0,0.0,0.0
8497555ffffffff,2.0,0.0,0.0
8497557ffffffff,2.0,0.0,0.0
8497583ffffffff,4.0,0.0,0.0
84975c1ffffffff,10.0,0.0,0.0
84975c5ffffffff,54.0,0.0,3.0
84975c7ffffffff,41.0,0.0,7.0
84975c9ffffffff,21.0,0.0,0.0
84975cbffffffff,6.0,0.0,0.0
84975d1ffffffff,5.0,0.0,0.0
84975d9ffffffff,13.0,0.0,0.0
84975ddffffffff,12.0,0.0,2.0
84975e1ffffffff,5.0,0.0,0.0
84975e5ffffffff,1.0,0.0,0.0
84975ebffffffff,7.0,0.0,2.0
8497685ffffffff,3.0,0.0,0.0
8497701ffffffff,2.0,0.0,0.0
8497705ffffffff,7.0,0.0,0.0
8497707ffffffff,5.0,0.0,2.0
8497725ffffffff,2.0,0.0,0.0
8497733ffffffff,4.0,0.0,0.0
849773bffffffff,1.0,0.0,0.0
8497749ffffffff,2.0,0.0,0.0
849774bffffffff,3.0,0.0,0.0
849774dffffffff,4.0,0.0,0.0
8497751ffffffff,23.0,0.0,0.0
8497763ffffffff,2.0,0.0,0.0
8497913ffffffff,5.0,0.0,0.0
8497aabffffffff,2.0,0.0,0.0
84ac805ffffffff,1.0,0.0,0.0
84ac82dffffffff,29.0,0.0,14.0
84ac851ffffffff,2.0,0.0,0.0
84ac863ffffffff,2.0,0.0,0.0
84ac865ffffffff,1.0,0.0,0.0
84ac867ffffffff,68.0,0.0,31.0
84ac95bffffffff,18.0,0.0,0.0
84ac961ffffffff,18.0,0.0,1.0
84ac96dffffffff,1.0,0.0,1.0
84aca27ffffffff,2.0,0.0,0.0
84acb11ffffffff,4.0,0.0,0.0
84acb17ffffffff,1.0,0.0,0.0
84acb1bffffffff,10.0,0.0,0.0
84acb35ffffffff,18.0,0.0,0.0
84acb3bffffffff,3.0,0.0,0.0
84bc891ffffffff,4.0,0.0,0.0
84bc893ffffffff,9.0,0.0,0.0
84bc89bffffffff,33.0,0.0,0.0
84bc8d3ffffffff,3.0,0.0,0.0
84bc993ffffffff,4.0,0.0,0.0
84bcc35ffffffff,5.0,0.0,1.0
84bcc37ffffffff,5.0,0.0,0.0
84bcca1ffffffff,2.0,0.0,0.0
84bcca5ffffffff,34.0,0.0,10.0
84bcca7ffffffff,11.0,0.0,0.0
84bcca9ffffffff,4.0,0.0,0.0
84bcd03ffffffff,2.0,0.0,0.0
84bcd05ffffffff,70.0,0.0,15.0
84bcd0dffffffff,98.0,0.0,9.0
84bcd11ffffffff,14.0,0.0,0.0
84bcd13ffffffff,4.0,0.0,0.0
84bcd15ffffffff,1.0,0.0,0.0
84bcd17ffffffff,1.0,0.0,0.0
84bcd1bffffffff,2.0,0.0,0.0
84bcd1dffffffff,1.0,0.0,0.0
84bcd21ffffffff,322.0,0.0,37.0
84bcd23ffffffff,220.0,0.0,53.0
84bcd25ffffffff,54.0,0.0,23.0
84bcd27ffffffff,233.0,0.0,58.0
84bcd29ffffffff,524.0,0.0,50.0
84bcd2bffffffff,43.0,0.0,5.0
84bcd2dffffffff,80.0,0.0,12.0
84bcd35ffffffff,33.0,0.0,9.0
84bcd3dffffffff,2.0,0.0,2.0
84bcd41ffffffff,1.0,0.0,0.0
84bcd45ffffffff,3.0,0.0,0.0
84bcd63ffffffff,233.0,0.0,47.0
84bcd67ffffffff,165.0,0.0,23.0
84bcd6dffffffff,3.0,0.0,0.0
84bcd81ffffffff,19.0,0.0,4.0
84bcd89ffffffff,16.0,0.0,4.0
84bcd8bffffffff,3.0,0.0,0.0
84bcd95ffffffff,1.0,0.0,0.0
84bcd99ffffffff,8.0,0.0,0.0
84bcd9bffffffff,12.0,0.0,0.0
84bcda1ffffffff,6.0,0.0,0.0
84bcda3ffffffff,2.0,0.0,0.0
84bcda5ffffffff,1.0,0.0,0.0
84bcdc1ffffffff,219.0,0.0,43.0
84bcdc3ffffffff,69.0,0.0,13.0
84bcdc5ffffffff,45.0,0.0,7.0
84bcdc7ffffffff,8.0,0.0,0.0
84bcdc9ffffffff,28.0,0.0,7.0
84bcdcdffffffff,5.0,0.0,2.0
84bcdd1ffffffff,98.0,0.0,15.0
84bcdd5ffffffff,2.0,0.0,2.0
84bcdd7ffffffff,4.0,0.0,2.0
84bcdddffffffff,18.0,0.0,4.0
84bcde3ffffffff,13.0,0.0,2.0
84bcde5ffffffff,94.0,0.0,25.0
84bcdebffffffff,62.0,0.0,3.0
84bcf05ffffffff,8.0,0.0,0.0
84bcf0dffffffff,7.0,0.0,2.0
84bcf1dffffffff,2.0,0.0,0.0
84bcf21ffffffff,29.0,0.0,5.0
84bcf23ffffffff,1.0,0.0,0.0
84bcf25ffffffff,50.0,0.0,21.0
84bcf29ffffffff,652.0,0.0,127.0
84bcf2bffffffff,2.0,0.0,0.0
84bcf2dffffffff,26.0,0.0,3.0
84bcf3dffffffff,7.0,0.0,2.0
84bcf63ffffffff,81.0,0.0,17.0
84bcf67ffffffff,35.0,0.0,22.0
