cell_id,Egretta garzetta,Egretta garzetta garzetta,Egretta garzetta immaculata,Egretta garzetta dimorpha
832d70fffffffff,6.0,0.0,0.0,0.0
832d71fffffffff,4.0,0.0,0.0,0.0
832d72fffffffff,14.0,0.0,0.0,0.0
832d73fffffffff,4.0,0.0,0.0,0.0
832d75fffffffff,4.0,0.0,0.0,0.0
832d76fffffffff,16.0,0.0,0.0,0.0
832d8cfffffffff,1.0,0.0,0.0,0.0
832da1fffffffff,646.0,0.0,0.0,0.0
832da2fffffffff,67.0,0.0,0.0,0.0
832da3fffffffff,4.0,0.0,0.0,0.0
832da4fffffffff,23.0,0.0,0.0,0.0
832da5fffffffff,274.0,0.0,0.0,0.0
832da6fffffffff,60.0,7.0,0.0,0.0
832da8fffffffff,245.0,0.0,0.0,0.0
832da9fffffffff,5.0,0.0,0.0,0.0
832dabfffffffff,16.0,0.0,0.0,0.0
832dacfffffffff,73.0,0.0,0.0,0.0
832daefffffffff,106.0,0.0,0.0,0.0
832db0fffffffff,4619.0,855.0,0.0,0.0
832db1fffffffff,1027.0,170.0,0.0,0.0
832db2fffffffff,800.0,135.0,0.0,0.0
832db3fffffffff,74.0,0.0,0.0,0.0
832db5fffffffff,6.0,0.0,0.0,0.0
832db6fffffffff,216.0,26.0,0.0,0.0
832e0cfffffffff,15.0,1.0,0.0,0.0
832e1bfffffffff,5.0,2.0,0.0,0.0
832e29fffffffff,12.0,2.0,0.0,0.0
832e2bfffffffff,2.0,0.0,0.0,0.0
832e2dfffffffff,19.0,5.0,0.0,0.0
832e44fffffffff,16.0,2.0,0.0,0.0
832e60fffffffff,88.0,0.0,0.0,0.0
832e61fffffffff,285.0,6.0,0.0,0.0
832e63fffffffff,20.0,2.0,0.0,0.0
832e64fffffffff,2.0,0.0,0.0,0.0
832e66fffffffff,2.0,0.0,0.0,0.0
832e68fffffffff,323.0,0.0,0.0,0.0
832e69fffffffff,13.0,0.0,0.0,0.0
832e6afffffffff,1.0,0.0,0.0,0.0
832e6bfffffffff,8.0,0.0,0.0,0.0
832e6cfffffffff,21.0,0.0,0.0,0.0
832e6dfffffffff,13.0,0.0,0.0,0.0
832e6efffffffff,4.0,2.0,0.0,0.0
832e71fffffffff,4.0,0.0,0.0,0.0
832e72fffffffff,3.0,0.0,0.0,0.0
832e74fffffffff,29.0,5.0,0.0,0.0
832e75fffffffff,11.0,0.0,0.0,0.0
832e76fffffffff,4.0,0.0,0.0,0.0
832ecbfffffffff,3.0,0.0,0.0,0.0
832f58fffffffff,12.0,1.0,0.0,0.0
832f59fffffffff,3.0,0.0,0.0,0.0
832f5afffffffff,748.0,86.0,0.0,0.0
832f5bfffffffff,189.0,14.0,0.0,0.0
832f5dfffffffff,2.0,0.0,0.0,0.0
833000fffffffff,2.0,0.0,0.0,0.0
833005fffffffff,1.0,0.0,0.0,0.0
833006fffffffff,3.0,0.0,0.0,0.0
833010fffffffff,2.0,0.0,0.0,0.0
833011fffffffff,6.0,2.0,0.0,0.0
833012fffffffff,2.0,0.0,0.0,0.0
833016fffffffff,3.0,0.0,0.0,0.0
833019fffffffff,56.0,15.0,0.0,0.0
83301efffffffff,2.0,2.0,0.0,0.0
833022fffffffff,6.0,0.0,0.0,0.0
833025fffffffff,8.0,0.0,0.0,0.0
83302bfffffffff,8.0,0.0,0.0,0.0
83302efffffffff,1.0,0.0,0.0,0.0
833030fffffffff,46.0,0.0,0.0,0.0
833032fffffffff,69.0,0.0,0.0,0.0
833035fffffffff,1.0,0.0,0.0,0.0
833036fffffffff,3.0,0.0,0.0,0.0
833081fffffffff,53.0,3.0,0.0,0.0
833082fffffffff,2.0,0.0,0.0,0.0
833083fffffffff,164.0,17.0,0.0,0.0
