cell_id,Strix leptogrammica,Strix leptogrammica [indranee Group],Strix leptogrammica niasensis,Strix leptogrammica [leptogrammica Group]
83608bfffffffff,70.0,0.0,0.0,0.0
83608dfffffffff,16.0,0.0,0.0,0.0
8360a8fffffffff,5.0,0.0,0.0,0.0
8360a9fffffffff,101.0,0.0,0.0,0.0
8360adfffffffff,55.0,0.0,0.0,0.0
836100fffffffff,5.0,0.0,0.0,0.0
836102fffffffff,97.0,9.0,0.0,0.0
836106fffffffff,1.0,0.0,0.0,0.0
836111fffffffff,22.0,2.0,0.0,0.0
83611cfffffffff,11.0,0.0,0.0,0.0
83611efffffffff,10.0,1.0,0.0,0.0
836416fffffffff,29.0,0.0,0.0,0.0
836430fffffffff,4.0,0.0,0.0,0.0
836431fffffffff,25.0,6.0,0.0,0.0
836434fffffffff,11.0,3.0,0.0,0.0
836435fffffffff,6.0,3.0,0.0,0.0
836480fffffffff,1.0,0.0,0.0,0.0
836482fffffffff,27.0,6.0,0.0,0.0
836483fffffffff,2.0,0.0,0.0,0.0
836491fffffffff,25.0,11.0,0.0,0.0
836494fffffffff,2.0,0.0,0.0,0.0
836495fffffffff,3.0,0.0,0.0,0.0
83649bfffffffff,2.0,0.0,0.0,0.0
8364a3fffffffff,12.0,1.0,0.0,0.0
8364b1fffffffff,1.0,0.0,0.0,0.0
8364b5fffffffff,2.0,0.0,0.0,0.0
836500fffffffff,117.0,2.0,0.0,0.0
836502fffffffff,1.0,0.0,0.0,0.0
836503fffffffff,9.0,0.0,0.0,0.0
836505fffffffff,17.0,0.0,0.0,0.0
836509fffffffff,1.0,0.0,0.0,0.0
83650efffffffff,2.0,0.0,0.0,0.0
836518fffffffff,4.0,0.0,0.0,0.0
836519fffffffff,2.0,0.0,0.0,0.0
83651bfffffffff,39.0,6.0,0.0,0.0
83651cfffffffff,6.0,0.0,0.0,0.0
83651dfffffffff,1.0,0.0,0.0,0.0
836522fffffffff,4.0,0.0,0.0,0.0
836526fffffffff,2.0,0.0,0.0,0.0
836556fffffffff,2.0,0.0,0.0,0.0
836580fffffffff,10.0,0.0,0.0,0.0
836591fffffffff,114.0,0.0,0.0,0.0
836599fffffffff,38.0,9.0,0.0,0.0
83659cfffffffff,3.0,0.0,0.0,0.0
8365b6fffffffff,6.0,0.0,0.0,0.0
836810fffffffff,2.0,0.0,0.0,0.0
836811fffffffff,40.0,0.0,0.0,1.0
836812fffffffff,18.0,0.0,0.0,1.0
836818fffffffff,257.0,0.0,0.0,10.0
83681afffffffff,15.0,0.0,0.0,0.0
83681cfffffffff,30.0,0.0,0.0,0.0
83681dfffffffff,3.0,0.0,0.0,0.0
83681efffffffff,5.0,0.0,0.0,0.0
83688afffffffff,1.0,0.0,0.0,1.0
8368a6fffffffff,1.0,0.0,0.0,0.0
8368abfffffffff,1.0,0.0,0.0,1.0
836934fffffffff,7.0,0.0,0.0,0.0
838cadfffffffff,3.0,0.0,0.0,0.0
838d9afffffffff,5.0,0.0,0.0,5.0
838da6fffffffff,2.0,0.0,0.0,0.0
