cell_id,Phaethornis longirostris,Phaethornis longirostris [longirostris Group],Phaethornis longirostris baroni
84679a7ffffffff,568.0,0.0,0.0
84679adffffffff,28.0,0.0,0.0
84679b3ffffffff,97.0,0.0,0.0
84679b5ffffffff,188.0,0.0,0.0
84679b7ffffffff,1032.0,0.0,0.0
8467b27ffffffff,3.0,0.0,0.0
846d201ffffffff,9.0,0.0,0.0
846d203ffffffff,70.0,0.0,0.0
846d205ffffffff,2.0,0.0,0.0
846d207ffffffff,4.0,0.0,0.0
846d20bffffffff,11.0,0.0,0.0
846d217ffffffff,2.0,0.0,0.0
846d219ffffffff,1.0,0.0,0.0
846d21bffffffff,94.0,21.0,0.0
846d21dffffffff,239.0,30.0,0.0
846d221ffffffff,2.0,0.0,0.0
846d223ffffffff,16.0,4.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d22bffffffff,8.0,0.0,0.0
846d23dffffffff,94.0,16.0,0.0
846d251ffffffff,1.0,0.0,0.0
846d257ffffffff,11.0,0.0,0.0
846d2c1ffffffff,53.0,26.0,0.0
846d2c3ffffffff,102.0,5.0,0.0
846d2c5ffffffff,9.0,1.0,0.0
846d2c7ffffffff,21.0,0.0,0.0
846d2c9ffffffff,333.0,66.0,0.0
846d2cbffffffff,123.0,32.0,0.0
846d2cdffffffff,2.0,0.0,0.0
846d2d1ffffffff,115.0,0.0,0.0
846d2d5ffffffff,5.0,0.0,0.0
846d2d9ffffffff,23.0,0.0,0.0
846d2dbffffffff,19.0,0.0,0.0
846d2ddffffffff,104.0,0.0,0.0
846d2ebffffffff,2.0,0.0,0.0
846d305ffffffff,3.0,2.0,0.0
846d30dffffffff,94.0,9.0,0.0
846d319ffffffff,74.0,35.0,0.0
846d31bffffffff,12.0,0.0,0.0
846d34bffffffff,6.0,0.0,0.0
846d35bffffffff,2.0,0.0,0.0
846d35dffffffff,176.0,3.0,0.0
846d369ffffffff,7.0,0.0,0.0
846d61bffffffff,4.0,0.0,0.0
846d643ffffffff,4.0,0.0,0.0
846d651ffffffff,1128.0,18.0,0.0
846d653ffffffff,521.0,3.0,0.0
846d655ffffffff,103.0,6.0,0.0
846d657ffffffff,16.0,0.0,0.0
846d659ffffffff,7.0,0.0,0.0
846d65bffffffff,53.0,0.0,0.0
846d65dffffffff,4.0,0.0,0.0
846d681ffffffff,271.0,0.0,0.0
846d683ffffffff,2.0,0.0,0.0
846d689ffffffff,81.0,0.0,0.0
846d68bffffffff,999.0,0.0,0.0
846d68dffffffff,26.0,0.0,0.0
846d691ffffffff,126.0,0.0,0.0
846d693ffffffff,208.0,0.0,0.0
846d695ffffffff,5.0,0.0,0.0
846d697ffffffff,2332.0,0.0,0.0
846d699ffffffff,483.0,0.0,0.0
846d69bffffffff,1712.0,0.0,0.0
846d69dffffffff,1185.0,0.0,0.0
846d6c9ffffffff,1.0,0.0,0.0
846d6d1ffffffff,23.0,0.0,0.0
846d6d3ffffffff,320.0,0.0,0.0
846d6d5ffffffff,9.0,0.0,0.0
846d6d7ffffffff,9.0,0.0,0.0
846d6dbffffffff,14.0,0.0,0.0
848f08bffffffff,2.0,0.0,0.0
848f0d1ffffffff,53.0,0.0,16.0
848f0d3ffffffff,2.0,0.0,0.0
848f0d9ffffffff,2.0,0.0,2.0
848f0dbffffffff,129.0,0.0,56.0
848f285ffffffff,11.0,0.0,8.0
848f289ffffffff,11.0,0.0,6.0
848f28dffffffff,70.0,0.0,22.0
848f291ffffffff,13.0,0.0,2.0
848f295ffffffff,187.0,0.0,117.0
848f2a1ffffffff,2.0,0.0,2.0
848f2a9ffffffff,220.0,0.0,81.0
848f2abffffffff,54.0,0.0,25.0
848f2b3ffffffff,7.0,0.0,2.0
848f2b9ffffffff,112.0,0.0,59.0
848f2bbffffffff,68.0,0.0,36.0
848f2bdffffffff,139.0,0.0,77.0
848f2c1ffffffff,1.0,0.0,0.0
848f2c3ffffffff,27.0,0.0,10.0
848f2c5ffffffff,1.0,0.0,0.0
848f2c9ffffffff,7.0,0.0,0.0
848f2cbffffffff,47.0,0.0,0.0
848f2cdffffffff,217.0,0.0,33.0
848f2e3ffffffff,3.0,0.0,0.0
848f2e7ffffffff,3.0,0.0,3.0
848f2ebffffffff,2.0,0.0,0.0
848f545ffffffff,1.0,0.0,0.0
848f54dffffffff,2.0,0.0,0.0
848f725ffffffff,4.0,0.0,4.0
848f72dffffffff,2.0,0.0,2.0
848f765ffffffff,4.0,0.0,4.0
