cell_id,Emberiza godlewskii,Emberiza godlewskii [godlewskii Group],Emberiza godlewskii yunnanensis/khamensis
843c6a7ffffffff,2.0,0.0,0.0
843c6abffffffff,7.0,0.0,0.0
843c6adffffffff,3.0,0.0,0.0
843c6b1ffffffff,2.0,0.0,0.0
843c6bdffffffff,14.0,0.0,0.0
843c6e1ffffffff,1.0,0.0,0.0
843c6e3ffffffff,6.0,0.0,0.0
843c721ffffffff,8.0,0.0,0.0
843c723ffffffff,2.0,0.0,0.0
843c727ffffffff,24.0,0.0,0.0
84400d9ffffffff,2.0,0.0,0.0
8440403ffffffff,5.0,0.0,0.0
8440417ffffffff,2.0,0.0,0.0
8440439ffffffff,3.0,0.0,0.0
8440447ffffffff,40.0,0.0,2.0
84404edffffffff,2.0,0.0,0.0
8440567ffffffff,1.0,0.0,0.0
8440585ffffffff,1.0,0.0,0.0
8440587ffffffff,3.0,0.0,0.0
8440589ffffffff,2.0,0.0,0.0
844058dffffffff,12.0,0.0,0.0
8440591ffffffff,2.0,0.0,0.0
84405a5ffffffff,1.0,0.0,0.0
84405adffffffff,1.0,0.0,0.0
84405b9ffffffff,5.0,0.0,0.0
84405c1ffffffff,9.0,0.0,0.0
84405c9ffffffff,7.0,0.0,0.0
84405cbffffffff,3.0,0.0,0.0
84405ddffffffff,3.0,0.0,0.0
8440711ffffffff,11.0,0.0,1.0
8440717ffffffff,16.0,0.0,1.0
8440733ffffffff,4.0,0.0,0.0
8440883ffffffff,1.0,0.0,0.0
844088dffffffff,2.0,0.0,0.0
8440c05ffffffff,9.0,0.0,0.0
8440c0dffffffff,2.0,0.0,0.0
8440c15ffffffff,4.0,0.0,0.0
8440c21ffffffff,1.0,0.0,0.0
8440c23ffffffff,1.0,0.0,0.0
8440c27ffffffff,50.0,0.0,0.0
8440c29ffffffff,5.0,0.0,0.0
8440c2bffffffff,4.0,1.0,0.0
8440c2dffffffff,4.0,0.0,0.0
8440c35ffffffff,2.0,0.0,0.0
8440c57ffffffff,2.0,0.0,0.0
8440c59ffffffff,9.0,0.0,0.0
8440c5bffffffff,3.0,0.0,0.0
8440c61ffffffff,1.0,0.0,0.0
8440c63ffffffff,4.0,0.0,0.0
8440c6dffffffff,2.0,0.0,0.0
8440ce3ffffffff,1.0,0.0,0.0
8440ce7ffffffff,5.0,0.0,0.0
8440ce9ffffffff,1.0,0.0,0.0
8440cebffffffff,2.0,0.0,0.0
8440da3ffffffff,2.0,0.0,0.0
8440dc1ffffffff,3.0,0.0,0.0
8440dc3ffffffff,2.0,0.0,0.0
8440dc5ffffffff,1.0,0.0,0.0
8440dc9ffffffff,6.0,0.0,0.0
8440dcdffffffff,6.0,0.0,0.0
8440de3ffffffff,1.0,0.0,0.0
8440dedffffffff,4.0,0.0,0.0
8440e3dffffffff,2.0,0.0,0.0
8440e5bffffffff,1.0,0.0,0.0
8440e89ffffffff,4.0,0.0,0.0
8440ea9ffffffff,3.0,0.0,0.0
8440ec5ffffffff,13.0,0.0,0.0
8440ee5ffffffff,2.0,0.0,0.0
