cell_id,Conirostrum albifrons,Conirostrum albifrons [albifrons Group],Conirostrum albifrons [atrocyaneum Group]
848f555ffffffff,1.0,0.0,0.0
848f559ffffffff,46.0,0.0,6.0
848f55bffffffff,12.0,0.0,0.0
848f59bffffffff,2.0,0.0,0.0
848f5cbffffffff,2.0,0.0,0.0
848f5d7ffffffff,1.0,0.0,0.0
848f721ffffffff,147.0,0.0,0.0
848f727ffffffff,2.0,0.0,0.0
848f729ffffffff,3.0,0.0,0.0
848f72dffffffff,27.0,0.0,0.0
848f733ffffffff,153.0,0.0,1.0
848f737ffffffff,2.0,0.0,0.0
848f745ffffffff,5.0,0.0,0.0
848f769ffffffff,4.0,0.0,0.0
848f76bffffffff,4.0,0.0,0.0
84b3253ffffffff,7.0,0.0,0.0
