cell_id,Sporophila corvina,Sporophila corvina corvina,Sporophila corvina [ophthalmica Group]
84661a7ffffffff,17.0,0.0,0.0
84661adffffffff,103.0,0.0,3.0
84661b1ffffffff,334.0,0.0,22.0
84661b3ffffffff,6.0,0.0,0.0
84661b5ffffffff,4.0,0.0,0.0
84661b7ffffffff,30.0,0.0,0.0
84661b9ffffffff,201.0,0.0,0.0
84661bdffffffff,43.0,0.0,0.0
84661c5ffffffff,3.0,0.0,0.0
84661e9ffffffff,2.0,0.0,0.0
84661ebffffffff,167.0,0.0,0.0
8466849ffffffff,18.0,0.0,0.0
8466a01ffffffff,36.0,0.0,0.0
8466a03ffffffff,72.0,0.0,0.0
8466a05ffffffff,76.0,0.0,0.0
8466a07ffffffff,7.0,0.0,0.0
8466a09ffffffff,8.0,0.0,0.0
8466a0bffffffff,1894.0,0.0,0.0
8466a15ffffffff,32.0,0.0,0.0
8466a1dffffffff,700.0,0.0,0.0
8466a21ffffffff,99.0,0.0,0.0
8466a23ffffffff,5.0,0.0,0.0
8466a25ffffffff,30.0,0.0,0.0
8466a2bffffffff,4.0,0.0,0.0
8466a2dffffffff,45.0,0.0,0.0
8466a31ffffffff,31.0,0.0,0.0
8466a33ffffffff,11.0,0.0,0.0
8466a35ffffffff,1.0,0.0,0.0
8466a37ffffffff,3.0,0.0,0.0
8466a39ffffffff,46.0,0.0,0.0
8466a3dffffffff,29.0,0.0,0.0
8466a51ffffffff,7465.0,0.0,0.0
8466a53ffffffff,40.0,0.0,0.0
8466a55ffffffff,146.0,0.0,0.0
8466a57ffffffff,696.0,0.0,0.0
8466a59ffffffff,157.0,0.0,0.0
8466a5bffffffff,1913.0,0.0,0.0
8466a5dffffffff,224.0,0.0,0.0
8466a65ffffffff,1313.0,538.0,0.0
8466a67ffffffff,13.0,0.0,0.0
8466ad9ffffffff,2.0,0.0,0.0
8466b01ffffffff,153.0,0.0,0.0
8466b09ffffffff,1200.0,0.0,0.0
8466b0bffffffff,1830.0,0.0,0.0
8466b0dffffffff,1.0,0.0,0.0
8466b19ffffffff,110.0,0.0,0.0
8466b1dffffffff,34.0,0.0,0.0
8466b41ffffffff,1532.0,0.0,0.0
8466b43ffffffff,554.0,0.0,0.0
8466b45ffffffff,780.0,0.0,0.0
8466b47ffffffff,915.0,0.0,0.0
8466b49ffffffff,2602.0,0.0,0.0
8466b4bffffffff,61.0,0.0,0.0
8466b4dffffffff,3732.0,0.0,0.0
8466b51ffffffff,609.0,0.0,0.0
8466b53ffffffff,895.0,0.0,0.0
8466b55ffffffff,3925.0,0.0,0.0
8466b57ffffffff,1061.0,0.0,0.0
8466b59ffffffff,565.0,110.0,0.0
8466b5bffffffff,977.0,133.0,0.0
8466b5dffffffff,152.0,0.0,0.0
8466b69ffffffff,166.0,0.0,0.0
8466d01ffffffff,67.0,0.0,4.0
8466d03ffffffff,122.0,0.0,0.0
8466d05ffffffff,132.0,0.0,4.0
8466d07ffffffff,129.0,0.0,7.0
8466d0bffffffff,409.0,0.0,27.0
8466d0dffffffff,424.0,0.0,35.0
8466d21ffffffff,18.0,0.0,0.0
8466d23ffffffff,163.0,0.0,23.0
8466d25ffffffff,34.0,0.0,0.0
8466d27ffffffff,69.0,0.0,13.0
8466d29ffffffff,10.0,0.0,0.0
8466d2dffffffff,4.0,0.0,0.0
8466d31ffffffff,3002.0,0.0,237.0
8466d33ffffffff,14.0,0.0,0.0
8466d35ffffffff,2124.0,0.0,196.0
8466d37ffffffff,221.0,0.0,12.0
8466d39ffffffff,8.0,0.0,0.0
8466d3bffffffff,1.0,0.0,0.0
8466d3dffffffff,67.0,0.0,5.0
8466d47ffffffff,174.0,0.0,13.0
8466d49ffffffff,21.0,0.0,0.0
8466d4bffffffff,4.0,0.0,0.0
8466d51ffffffff,14.0,0.0,0.0
8466d53ffffffff,2.0,0.0,0.0
8466d55ffffffff,42.0,0.0,0.0
8466d59ffffffff,3.0,0.0,0.0
8466d6bffffffff,16.0,0.0,4.0
8466f01ffffffff,76.0,0.0,0.0
8466f03ffffffff,519.0,0.0,12.0
8466f0bffffffff,418.0,0.0,8.0
8466f1dffffffff,170.0,0.0,0.0
8466f35ffffffff,120.0,0.0,0.0
8466f37ffffffff,3.0,0.0,0.0
8466f3bffffffff,2.0,0.0,0.0
8466f47ffffffff,1.0,0.0,0.0
8466f57ffffffff,7.0,0.0,0.0
8466f59ffffffff,9.0,0.0,0.0
84678b3ffffffff,3.0,0.0,0.0
84678b7ffffffff,4.0,0.0,0.0
8467903ffffffff,2.0,0.0,0.0
8467909ffffffff,13.0,0.0,0.0
846790bffffffff,9.0,0.0,0.0
846790dffffffff,21.0,0.0,0.0
8467915ffffffff,3.0,0.0,0.0
8467921ffffffff,2.0,0.0,0.0
8467923ffffffff,2.0,0.0,0.0
8467925ffffffff,10.0,0.0,0.0
8467927ffffffff,2.0,0.0,0.0
8467929ffffffff,7.0,0.0,0.0
846792dffffffff,35.0,0.0,0.0
8467931ffffffff,5.0,0.0,0.0
8467933ffffffff,5.0,0.0,0.0
8467935ffffffff,1.0,0.0,0.0
8467937ffffffff,13.0,0.0,0.0
846793bffffffff,21.0,0.0,0.0
8467941ffffffff,1.0,0.0,0.0
8467945ffffffff,29.0,0.0,0.0
8467947ffffffff,5.0,0.0,0.0
8467949ffffffff,5.0,0.0,0.0
8467961ffffffff,92.0,0.0,0.0
8467963ffffffff,11.0,0.0,0.0
8467967ffffffff,11.0,0.0,0.0
8467969ffffffff,22.0,0.0,0.0
846796bffffffff,46.0,0.0,0.0
84679a1ffffffff,728.0,0.0,0.0
84679a3ffffffff,192.0,0.0,0.0
84679a5ffffffff,6334.0,0.0,0.0
84679a7ffffffff,977.0,0.0,0.0
84679adffffffff,165.0,0.0,0.0
84679b3ffffffff,350.0,130.0,0.0
84679b5ffffffff,518.0,0.0,0.0
84679b7ffffffff,1278.0,69.0,0.0
8467b21ffffffff,1.0,0.0,0.0
8467b27ffffffff,5.0,0.0,0.0
846d201ffffffff,3.0,0.0,0.0
846d203ffffffff,23.0,0.0,0.0
846d20bffffffff,2.0,0.0,0.0
846d219ffffffff,6.0,1.0,0.0
846d21bffffffff,62.0,23.0,0.0
846d21dffffffff,112.0,15.0,0.0
846d221ffffffff,1.0,0.0,0.0
846d223ffffffff,11.0,0.0,0.0
846d225ffffffff,2.0,0.0,0.0
846d22dffffffff,1.0,1.0,0.0
846d23dffffffff,51.0,11.0,0.0
846d257ffffffff,13.0,0.0,0.0
846d281ffffffff,2.0,0.0,0.0
846d299ffffffff,3.0,0.0,0.0
846d2c1ffffffff,32.0,12.0,0.0
846d2c3ffffffff,57.0,4.0,0.0
846d2c5ffffffff,17.0,4.0,0.0
846d2c7ffffffff,15.0,0.0,0.0
846d2c9ffffffff,374.0,74.0,0.0
846d2cbffffffff,79.0,24.0,0.0
846d2cdffffffff,9.0,0.0,0.0
846d2d1ffffffff,173.0,57.0,0.0
846d2d3ffffffff,5.0,2.0,0.0
846d2d5ffffffff,5.0,0.0,0.0
846d2d7ffffffff,8.0,0.0,0.0
846d2d9ffffffff,9.0,5.0,0.0
846d2dbffffffff,13.0,2.0,0.0
846d2ddffffffff,30.0,7.0,0.0
846d30dffffffff,104.0,23.0,0.0
846d313ffffffff,2.0,2.0,0.0
846d319ffffffff,113.0,12.0,0.0
846d34dffffffff,1.0,0.0,0.0
846d35bffffffff,49.0,0.0,0.0
846d609ffffffff,3.0,0.0,0.0
846d619ffffffff,3.0,0.0,0.0
846d61bffffffff,2.0,0.0,0.0
846d643ffffffff,3.0,0.0,0.0
846d64bffffffff,1.0,0.0,0.0
846d651ffffffff,849.0,0.0,0.0
846d653ffffffff,404.0,0.0,0.0
846d655ffffffff,99.0,0.0,0.0
846d657ffffffff,90.0,0.0,0.0
846d659ffffffff,5.0,0.0,0.0
846d65bffffffff,44.0,0.0,0.0
846d681ffffffff,339.0,15.0,2.0
846d683ffffffff,159.0,0.0,1.0
846d685ffffffff,13.0,0.0,0.0
846d687ffffffff,45.0,0.0,0.0
846d689ffffffff,488.0,1.0,0.0
846d68bffffffff,3864.0,126.0,8.0
846d68dffffffff,29.0,0.0,0.0
846d691ffffffff,1572.0,0.0,0.0
846d693ffffffff,656.0,0.0,0.0
846d695ffffffff,158.0,0.0,0.0
846d697ffffffff,3390.0,0.0,0.0
846d699ffffffff,1526.0,0.0,0.0
846d69bffffffff,2620.0,0.0,0.0
846d69dffffffff,8215.0,6.0,0.0
846d6b1ffffffff,1.0,0.0,0.0
846d6b9ffffffff,12.0,0.0,0.0
846d6bbffffffff,266.0,0.0,0.0
846d6bdffffffff,1.0,0.0,0.0
846d6c3ffffffff,40.0,0.0,0.0
846d6c9ffffffff,2.0,0.0,0.0
846d6d1ffffffff,109.0,0.0,0.0
846d6d3ffffffff,819.0,0.0,0.0
846d6d5ffffffff,1242.0,0.0,0.0
846d6d7ffffffff,68.0,0.0,0.0
846d6dbffffffff,2.0,0.0,0.0
846d6ddffffffff,10.0,0.0,0.0
848f08bffffffff,3.0,0.0,0.0
848f093ffffffff,5.0,0.0,0.0
848f095ffffffff,1.0,0.0,0.0
848f099ffffffff,64.0,0.0,0.0
848f0d1ffffffff,82.0,0.0,0.0
848f0d3ffffffff,190.0,0.0,0.0
848f0d5ffffffff,12.0,0.0,0.0
848f0d7ffffffff,24.0,0.0,0.0
848f0d9ffffffff,55.0,0.0,0.0
848f0dbffffffff,418.0,0.0,0.0
848f0ddffffffff,6.0,0.0,0.0
848f213ffffffff,5.0,0.0,0.0
848f281ffffffff,1.0,0.0,0.0
848f283ffffffff,4.0,0.0,0.0
848f285ffffffff,8.0,0.0,2.0
848f287ffffffff,20.0,0.0,0.0
848f289ffffffff,7.0,0.0,2.0
848f28bffffffff,1.0,0.0,0.0
848f28dffffffff,33.0,0.0,1.0
848f291ffffffff,45.0,0.0,0.0
848f295ffffffff,233.0,0.0,0.0
848f29dffffffff,2.0,0.0,0.0
848f2a1ffffffff,37.0,0.0,0.0
848f2a3ffffffff,7.0,0.0,0.0
848f2a7ffffffff,7.0,0.0,0.0
848f2a9ffffffff,623.0,0.0,19.0
848f2abffffffff,79.0,0.0,0.0
848f2b1ffffffff,4.0,0.0,0.0
848f2b3ffffffff,19.0,0.0,0.0
848f2b5ffffffff,7.0,0.0,0.0
848f2b9ffffffff,441.0,0.0,35.0
848f2bbffffffff,280.0,0.0,14.0
848f2bdffffffff,210.0,0.0,9.0
848f2c1ffffffff,9.0,0.0,0.0
848f2c3ffffffff,16.0,0.0,0.0
848f2c5ffffffff,2.0,0.0,0.0
848f2c7ffffffff,2.0,0.0,0.0
848f2c9ffffffff,42.0,0.0,6.0
848f2cbffffffff,162.0,0.0,3.0
848f2cdffffffff,84.0,0.0,0.0
848f2d5ffffffff,7.0,0.0,0.0
848f2ddffffffff,3.0,0.0,0.0
848f2e3ffffffff,29.0,0.0,7.0
848f2e7ffffffff,6.0,0.0,0.0
848f2ebffffffff,22.0,0.0,0.0
848f501ffffffff,86.0,0.0,0.0
848f505ffffffff,107.0,0.0,0.0
848f50dffffffff,74.0,0.0,0.0
848f545ffffffff,2.0,0.0,0.0
848f563ffffffff,23.0,0.0,0.0
848f56bffffffff,5.0,0.0,0.0
848f72dffffffff,2.0,0.0,0.0
848f765ffffffff,66.0,0.0,0.0
848f76dffffffff,1.0,0.0,0.0
