cell_id,Pycnonotus goiavier,Pycnonotus goiavier [analis Group],Pycnonotus goiavier [goiavier Group]
836858fffffffff,178.0,0.0,0.0
83685cfffffffff,439.0,0.0,4.0
83685dfffffffff,224.0,0.0,1.0
83685efffffffff,235.0,0.0,0.0
836862fffffffff,15.0,0.0,0.0
836863fffffffff,1.0,0.0,0.0
836865fffffffff,65.0,0.0,2.0
836866fffffffff,24.0,0.0,0.0
83686efffffffff,6.0,0.0,0.0
836871fffffffff,7.0,0.0,0.0
836875fffffffff,26.0,0.0,0.0
836888fffffffff,2.0,0.0,0.0
83688afffffffff,9.0,0.0,0.0
836890fffffffff,1.0,0.0,0.0
836891fffffffff,1.0,0.0,0.0
836892fffffffff,3.0,0.0,0.0
836896fffffffff,7.0,0.0,0.0
83689afffffffff,7.0,0.0,0.0
8368a0fffffffff,1.0,0.0,0.0
8368a4fffffffff,2.0,0.0,0.0
8368a5fffffffff,56.0,0.0,0.0
8368a6fffffffff,2.0,0.0,0.0
8368abfffffffff,7.0,0.0,0.0
8368acfffffffff,104.0,2.0,0.0
8368b5fffffffff,3.0,1.0,0.0
8368c3fffffffff,7.0,0.0,0.0
8368d0fffffffff,9.0,0.0,0.0
8368d2fffffffff,28.0,0.0,0.0
836940fffffffff,2.0,0.0,0.0
836941fffffffff,589.0,0.0,4.0
836943fffffffff,680.0,0.0,1.0
836945fffffffff,63.0,0.0,0.0
83694afffffffff,22.0,0.0,0.0
83694bfffffffff,23.0,0.0,0.0
83694cfffffffff,11.0,0.0,0.0
83694efffffffff,3767.0,0.0,1.0
836958fffffffff,50.0,0.0,0.0
836959fffffffff,15.0,0.0,0.0
83695bfffffffff,2.0,0.0,0.0
83695cfffffffff,2.0,0.0,0.0
83695dfffffffff,60.0,0.0,0.0
836968fffffffff,24.0,0.0,0.0
83696afffffffff,74.0,0.0,0.0
83696bfffffffff,2.0,0.0,0.0
83696cfffffffff,104.0,0.0,1.0
83696dfffffffff,33.0,0.0,0.0
83696efffffffff,5.0,0.0,0.0
83699afffffffff,30.0,0.0,0.0
8372aefffffffff,2.0,0.0,0.0
837390fffffffff,2.0,0.0,0.0
83739bfffffffff,2.0,0.0,0.0
838c10fffffffff,359.0,7.0,0.0
838c12fffffffff,9.0,0.0,0.0
838c13fffffffff,55.0,0.0,0.0
838c14fffffffff,2.0,0.0,0.0
838c16fffffffff,3.0,0.0,0.0
838c1afffffffff,5.0,0.0,0.0
838c1efffffffff,4.0,0.0,0.0
838c88fffffffff,2.0,0.0,0.0
838c89fffffffff,1.0,0.0,0.0
838c92fffffffff,1.0,0.0,0.0
838c96fffffffff,81.0,2.0,0.0
838cadfffffffff,77.0,2.0,0.0
838cd0fffffffff,5.0,0.0,0.0
838cd1fffffffff,8.0,0.0,0.0
838cd2fffffffff,15.0,0.0,0.0
838cd3fffffffff,13.0,0.0,0.0
838cd5fffffffff,27.0,4.0,0.0
838cd6fffffffff,1.0,0.0,0.0
838cdefffffffff,4.0,0.0,0.0
838d80fffffffff,30.0,0.0,0.0
838d84fffffffff,4.0,0.0,0.0
838d85fffffffff,18.0,0.0,0.0
838d8cfffffffff,41.0,0.0,0.0
838d92fffffffff,2.0,0.0,0.0
838d9afffffffff,1.0,0.0,0.0
838da2fffffffff,46.0,0.0,0.0
838da3fffffffff,3.0,0.0,0.0
838da6fffffffff,62.0,0.0,0.0
838daafffffffff,6.0,0.0,0.0
838dabfffffffff,2.0,0.0,0.0
838db0fffffffff,5.0,0.0,0.0
838db1fffffffff,2.0,0.0,0.0
838db4fffffffff,11.0,0.0,0.0
838db5fffffffff,1144.0,15.0,0.0
839423fffffffff,3.0,0.0,0.0
83942cfffffffff,10.0,0.0,0.0
839500fffffffff,36.0,0.0,0.0
83951afffffffff,8.0,0.0,0.0
83951efffffffff,4.0,0.0,0.0
83952bfffffffff,2.0,0.0,0.0
839541fffffffff,4.0,0.0,0.0
8395a4fffffffff,815.0,9.0,0.0
8395a5fffffffff,33.0,1.0,0.0
8395a9fffffffff,5.0,0.0,0.0
