cell_id,Butorides virescens,Butorides virescens virescens/bahamensis,Butorides virescens anthonyi,Butorides virescens frazari
84262e7ffffffff,4.0,0.0,0.0,0.0
84262e9ffffffff,8.0,0.0,0.0,0.0
84262ebffffffff,24.0,0.0,0.0,0.0
84262edffffffff,6.0,0.0,0.0,0.0
8426307ffffffff,2.0,0.0,0.0,0.0
8426319ffffffff,4.0,0.0,0.0,0.0
842631dffffffff,9.0,0.0,0.0,0.0
8426337ffffffff,2.0,0.0,0.0,0.0
8426341ffffffff,2.0,0.0,0.0,0.0
842634bffffffff,21.0,0.0,0.0,0.0
8426351ffffffff,8.0,0.0,0.0,0.0
8426357ffffffff,2.0,0.0,0.0,0.0
8426359ffffffff,10.0,0.0,0.0,0.0
842635bffffffff,1.0,0.0,0.0,0.0
8426401ffffffff,1.0,0.0,0.0,0.0
8426403ffffffff,17.0,0.0,0.0,0.0
8426405ffffffff,207.0,0.0,0.0,0.0
8426407ffffffff,13.0,0.0,0.0,0.0
8426409ffffffff,40.0,0.0,0.0,0.0
842640dffffffff,307.0,0.0,0.0,0.0
8426411ffffffff,21.0,0.0,0.0,0.0
8426413ffffffff,19.0,0.0,0.0,0.0
8426415ffffffff,163.0,0.0,0.0,0.0
8426417ffffffff,227.0,0.0,0.0,0.0
8426419ffffffff,1.0,0.0,0.0,0.0
842641bffffffff,6.0,0.0,0.0,0.0
842641dffffffff,26.0,0.0,0.0,0.0
8426421ffffffff,37.0,0.0,0.0,0.0
8426423ffffffff,10.0,0.0,0.0,0.0
8426425ffffffff,79.0,0.0,0.0,0.0
8426427ffffffff,16.0,0.0,0.0,0.0
8426429ffffffff,111.0,0.0,0.0,0.0
842642bffffffff,26.0,0.0,0.0,0.0
842642dffffffff,11.0,0.0,0.0,0.0
8426431ffffffff,16.0,0.0,0.0,0.0
8426433ffffffff,179.0,0.0,0.0,0.0
8426435ffffffff,8.0,0.0,0.0,0.0
8426437ffffffff,218.0,0.0,0.0,0.0
8426439ffffffff,222.0,0.0,0.0,0.0
842643bffffffff,129.0,0.0,0.0,0.0
842643dffffffff,25.0,0.0,0.0,0.0
8426441ffffffff,1.0,0.0,0.0,0.0
8426443ffffffff,12.0,0.0,0.0,0.0
8426445ffffffff,7.0,0.0,0.0,0.0
8426449ffffffff,7.0,0.0,0.0,0.0
842644bffffffff,9.0,0.0,0.0,0.0
842644dffffffff,21.0,0.0,0.0,0.0
8426451ffffffff,2.0,0.0,0.0,0.0
8426453ffffffff,2.0,0.0,0.0,0.0
8426455ffffffff,12.0,0.0,0.0,0.0
8426457ffffffff,19.0,0.0,0.0,0.0
8426459ffffffff,6.0,0.0,0.0,0.0
842645dffffffff,4.0,0.0,0.0,0.0
8426461ffffffff,265.0,0.0,0.0,0.0
8426463ffffffff,1322.0,0.0,0.0,0.0
8426465ffffffff,3.0,0.0,0.0,0.0
8426467ffffffff,26.0,0.0,0.0,0.0
8426469ffffffff,7.0,0.0,0.0,0.0
842646bffffffff,166.0,0.0,0.0,0.0
842646dffffffff,31.0,0.0,0.0,0.0
8426481ffffffff,64.0,0.0,0.0,0.0
8426483ffffffff,23.0,0.0,0.0,0.0
8426487ffffffff,6.0,0.0,0.0,0.0
8426489ffffffff,358.0,0.0,0.0,0.0
842648bffffffff,53.0,0.0,0.0,0.0
842648dffffffff,8.0,0.0,0.0,0.0
8426491ffffffff,22.0,0.0,0.0,0.0
8426493ffffffff,170.0,0.0,0.0,0.0
8426495ffffffff,15.0,0.0,0.0,0.0
8426497ffffffff,183.0,0.0,0.0,0.0
8426499ffffffff,3.0,0.0,0.0,0.0
842649bffffffff,68.0,0.0,0.0,0.0
842649dffffffff,11.0,0.0,0.0,0.0
84264a1ffffffff,73.0,0.0,0.0,0.0
84264a3ffffffff,7.0,0.0,0.0,0.0
84264a5ffffffff,10.0,0.0,0.0,0.0
84264a7ffffffff,154.0,0.0,0.0,0.0
84264a9ffffffff,16.0,0.0,0.0,0.0
84264abffffffff,4.0,0.0,0.0,0.0
84264adffffffff,12.0,0.0,0.0,0.0
84264b1ffffffff,17.0,0.0,0.0,0.0
84264b3ffffffff,2.0,0.0,0.0,0.0
84264b7ffffffff,25.0,0.0,0.0,0.0
84264b9ffffffff,46.0,0.0,0.0,0.0
84264bbffffffff,202.0,0.0,0.0,0.0
84264bdffffffff,7.0,0.0,0.0,0.0
84264c1ffffffff,78.0,0.0,0.0,0.0
84264c3ffffffff,88.0,0.0,0.0,0.0
84264c5ffffffff,89.0,0.0,0.0,0.0
84264c7ffffffff,151.0,0.0,0.0,0.0
84264cbffffffff,64.0,0.0,0.0,0.0
84264cdffffffff,14.0,0.0,0.0,0.0
84264d1ffffffff,620.0,0.0,0.0,0.0
84264d3ffffffff,16.0,0.0,0.0,0.0
84264d5ffffffff,21.0,0.0,0.0,0.0
84264d7ffffffff,14.0,0.0,0.0,0.0
84264d9ffffffff,193.0,0.0,0.0,0.0
84264dbffffffff,242.0,0.0,0.0,0.0
84264ddffffffff,22.0,0.0,0.0,0.0
84264e1ffffffff,9.0,0.0,0.0,0.0
84264e3ffffffff,9.0,0.0,0.0,0.0
84264e5ffffffff,156.0,0.0,0.0,0.0
84264e7ffffffff,4.0,0.0,0.0,0.0
84264ebffffffff,5.0,0.0,0.0,0.0
84264edffffffff,47.0,0.0,0.0,0.0
8426501ffffffff,37.0,0.0,0.0,0.0
8426503ffffffff,13.0,0.0,0.0,0.0
8426505ffffffff,36.0,0.0,0.0,0.0
8426507ffffffff,3.0,0.0,0.0,0.0
8426509ffffffff,17.0,0.0,0.0,0.0
842650bffffffff,48.0,0.0,0.0,0.0
842650dffffffff,85.0,0.0,0.0,0.0
8426511ffffffff,4.0,0.0,0.0,0.0
8426513ffffffff,12.0,0.0,0.0,0.0
8426515ffffffff,20.0,0.0,0.0,0.0
8426517ffffffff,3.0,0.0,0.0,0.0
8426519ffffffff,17.0,0.0,0.0,0.0
842651bffffffff,46.0,0.0,0.0,0.0
842651dffffffff,68.0,0.0,0.0,0.0
8426521ffffffff,74.0,0.0,0.0,0.0
8426523ffffffff,9.0,0.0,0.0,0.0
8426525ffffffff,4.0,0.0,0.0,0.0
8426527ffffffff,15.0,0.0,0.0,0.0
8426529ffffffff,37.0,0.0,0.0,0.0
842652bffffffff,146.0,0.0,0.0,0.0
842652dffffffff,21.0,0.0,0.0,0.0
8426531ffffffff,205.0,0.0,0.0,0.0
8426533ffffffff,401.0,0.0,0.0,0.0
8426535ffffffff,36.0,0.0,0.0,0.0
8426537ffffffff,20.0,0.0,0.0,0.0
8426539ffffffff,7.0,0.0,0.0,0.0
842653bffffffff,270.0,0.0,0.0,0.0
842653dffffffff,35.0,0.0,0.0,0.0
8426541ffffffff,47.0,0.0,0.0,0.0
8426543ffffffff,32.0,0.0,0.0,0.0
8426545ffffffff,5.0,0.0,0.0,0.0
8426547ffffffff,29.0,0.0,0.0,0.0
842654bffffffff,29.0,0.0,0.0,0.0
842654dffffffff,21.0,0.0,0.0,0.0
8426551ffffffff,190.0,0.0,0.0,0.0
8426553ffffffff,8.0,0.0,0.0,0.0
8426555ffffffff,846.0,0.0,0.0,0.0
8426557ffffffff,159.0,0.0,0.0,0.0
8426559ffffffff,14.0,0.0,0.0,0.0
842655bffffffff,38.0,0.0,0.0,0.0
842655dffffffff,332.0,0.0,0.0,0.0
8426561ffffffff,154.0,0.0,0.0,0.0
8426563ffffffff,257.0,0.0,0.0,0.0
8426565ffffffff,62.0,0.0,0.0,0.0
8426567ffffffff,599.0,0.0,0.0,0.0
8426569ffffffff,21.0,0.0,0.0,0.0
842656bffffffff,8.0,0.0,0.0,0.0
842656dffffffff,33.0,0.0,0.0,0.0
8426581ffffffff,1.0,0.0,0.0,0.0
8426583ffffffff,7.0,0.0,0.0,0.0
8426585ffffffff,2.0,0.0,0.0,0.0
8426587ffffffff,14.0,0.0,0.0,0.0
8426589ffffffff,5.0,0.0,0.0,0.0
842658bffffffff,11.0,0.0,0.0,0.0
842658dffffffff,5.0,0.0,0.0,0.0
8426591ffffffff,4.0,0.0,0.0,0.0
8426593ffffffff,47.0,0.0,0.0,0.0
8426595ffffffff,5.0,0.0,0.0,0.0
8426597ffffffff,8.0,0.0,0.0,0.0
8426599ffffffff,82.0,0.0,0.0,0.0
842659bffffffff,889.0,0.0,0.0,0.0
842659dffffffff,5.0,0.0,0.0,0.0
84265a3ffffffff,83.0,0.0,0.0,0.0
84265a5ffffffff,5.0,0.0,0.0,0.0
84265a7ffffffff,44.0,0.0,0.0,0.0
84265a9ffffffff,11.0,0.0,0.0,0.0
84265abffffffff,12.0,0.0,0.0,0.0
84265adffffffff,1.0,0.0,0.0,0.0
84265b1ffffffff,60.0,0.0,0.0,0.0
84265b3ffffffff,11.0,0.0,0.0,0.0
84265b5ffffffff,493.0,0.0,0.0,0.0
84265b7ffffffff,49.0,0.0,0.0,0.0
84265b9ffffffff,470.0,0.0,0.0,0.0
84265bbffffffff,8.0,0.0,0.0,0.0
84265bdffffffff,5.0,0.0,0.0,0.0
84265c1ffffffff,98.0,0.0,0.0,0.0
84265c3ffffffff,27.0,0.0,0.0,0.0
84265c5ffffffff,10.0,0.0,0.0,0.0
84265c7ffffffff,19.0,0.0,0.0,0.0
84265c9ffffffff,7.0,0.0,0.0,0.0
84265cbffffffff,15.0,0.0,0.0,0.0
84265cdffffffff,51.0,0.0,0.0,0.0
84265d1ffffffff,14.0,0.0,0.0,0.0
84265d3ffffffff,14.0,0.0,0.0,0.0
84265d5ffffffff,12.0,0.0,0.0,0.0
84265d7ffffffff,58.0,0.0,0.0,0.0
84265d9ffffffff,323.0,0.0,0.0,0.0
84265dbffffffff,89.0,0.0,0.0,0.0
84265ddffffffff,13.0,0.0,0.0,0.0
84265e1ffffffff,19.0,0.0,0.0,0.0
84265e3ffffffff,17.0,0.0,0.0,0.0
84265e5ffffffff,91.0,0.0,0.0,0.0
84265e7ffffffff,9.0,0.0,0.0,0.0
84265e9ffffffff,7.0,0.0,0.0,0.0
84265ebffffffff,23.0,0.0,0.0,0.0
84265edffffffff,18.0,0.0,0.0,0.0
8426601ffffffff,4.0,0.0,0.0,0.0
8426603ffffffff,51.0,0.0,0.0,0.0
8426605ffffffff,4.0,0.0,0.0,0.0
8426607ffffffff,227.0,0.0,0.0,0.0
8426609ffffffff,88.0,0.0,0.0,0.0
842660bffffffff,77.0,0.0,0.0,0.0
8426611ffffffff,28.0,0.0,0.0,0.0
8426613ffffffff,92.0,0.0,0.0,0.0
8426615ffffffff,5.0,0.0,0.0,0.0
8426617ffffffff,26.0,0.0,0.0,0.0
8426619ffffffff,141.0,0.0,0.0,0.0
842661bffffffff,774.0,0.0,0.0,0.0
842661dffffffff,4.0,0.0,0.0,0.0
8426621ffffffff,126.0,0.0,0.0,0.0
8426623ffffffff,38.0,0.0,0.0,0.0
8426625ffffffff,147.0,0.0,0.0,0.0
8426627ffffffff,2.0,0.0,0.0,0.0
8426629ffffffff,95.0,0.0,0.0,0.0
842662bffffffff,52.0,0.0,0.0,0.0
842662dffffffff,28.0,0.0,0.0,0.0
8426631ffffffff,18.0,0.0,0.0,0.0
8426635ffffffff,4.0,0.0,0.0,0.0
8426637ffffffff,4.0,0.0,0.0,0.0
8426639ffffffff,20.0,0.0,0.0,0.0
842663bffffffff,30.0,0.0,0.0,0.0
842663dffffffff,156.0,0.0,0.0,0.0
8426641ffffffff,1565.0,0.0,0.0,0.0
8426643ffffffff,11.0,0.0,0.0,0.0
8426645ffffffff,776.0,0.0,0.0,0.0
8426647ffffffff,137.0,0.0,0.0,0.0
8426649ffffffff,534.0,0.0,0.0,0.0
842664bffffffff,290.0,0.0,0.0,0.0
842664dffffffff,3789.0,0.0,0.0,0.0
8426651ffffffff,74.0,0.0,0.0,0.0
8426653ffffffff,5.0,0.0,0.0,0.0
8426655ffffffff,11.0,0.0,0.0,0.0
8426657ffffffff,292.0,0.0,0.0,0.0
8426659ffffffff,28.0,0.0,0.0,0.0
842665bffffffff,31.0,0.0,0.0,0.0
842665dffffffff,15.0,0.0,0.0,0.0
8426661ffffffff,31.0,0.0,0.0,0.0
8426663ffffffff,8.0,0.0,0.0,0.0
8426665ffffffff,71.0,0.0,0.0,0.0
8426667ffffffff,8.0,0.0,0.0,0.0
8426669ffffffff,607.0,0.0,0.0,0.0
