cell_id,Malurus splendens,Malurus splendens splendens,Malurus splendens callainus,Malurus splendens melanotus/emmottorum
83b9a4fffffffff,248.0,0.0,0.0,0.0
83b9a6fffffffff,7.0,0.0,0.0,0.0
83b9a9fffffffff,3.0,0.0,0.0,0.0
83b9aafffffffff,7.0,0.0,0.0,0.0
83b9abfffffffff,2.0,0.0,0.0,0.0
83b9acfffffffff,65.0,0.0,0.0,0.0
83b9adfffffffff,62.0,0.0,0.0,0.0
83b9b2fffffffff,7.0,0.0,0.0,0.0
83b9b3fffffffff,2.0,0.0,0.0,0.0
83b9b4fffffffff,13.0,0.0,0.0,0.0
83be43fffffffff,13.0,0.0,0.0,0.0
83be48fffffffff,42.0,0.0,0.0,0.0
83be49fffffffff,2.0,0.0,0.0,0.0
83be4afffffffff,133.0,0.0,0.0,0.0
83be4bfffffffff,174.0,0.0,0.0,0.0
83be4cfffffffff,30.0,0.0,0.0,0.0
83be4efffffffff,913.0,0.0,0.0,0.0
83be50fffffffff,61.0,0.0,0.0,0.0
83be51fffffffff,9.0,0.0,0.0,0.0
83be52fffffffff,11.0,0.0,0.0,0.0
83be53fffffffff,652.0,0.0,0.0,0.0
83be55fffffffff,166.0,0.0,0.0,0.0
83be59fffffffff,33.0,0.0,0.0,0.0
83be5dfffffffff,32.0,0.0,0.0,0.0
83bec0fffffffff,24.0,0.0,0.0,0.0
83bec1fffffffff,10.0,0.0,0.0,0.0
83bec3fffffffff,8.0,0.0,0.0,0.0
83bec4fffffffff,2.0,0.0,0.0,0.0
83bec5fffffffff,2.0,0.0,0.0,0.0
83bec6fffffffff,38.0,0.0,0.0,0.0
83bec8fffffffff,16.0,0.0,0.0,0.0
83becafffffffff,8.0,0.0,0.0,0.0
83becbfffffffff,20.0,0.0,0.0,0.0
83beccfffffffff,49.0,0.0,0.0,0.0
83becdfffffffff,15.0,0.0,0.0,0.0
83becefffffffff,329.0,0.0,0.0,0.0
83bed8fffffffff,2.0,0.0,0.0,0.0
83bed9fffffffff,2.0,0.0,0.0,0.0
83bedbfffffffff,2.0,0.0,0.0,0.0
83bedcfffffffff,10.0,0.0,0.0,0.0
83beddfffffffff,9.0,0.0,0.0,0.0
83bee1fffffffff,2.0,0.0,0.0,0.0
83bee8fffffffff,53.0,0.0,0.0,0.0
83beeafffffffff,27.0,0.0,0.0,0.0
83beebfffffffff,1.0,0.0,0.0,0.0
83beecfffffffff,90.0,0.0,0.0,0.0
83beedfffffffff,9.0,0.0,0.0,0.0
83beeefffffffff,25.0,0.0,0.0,0.0
83c980fffffffff,38.0,0.0,0.0,0.0
83c982fffffffff,365.0,0.0,0.0,0.0
83c983fffffffff,35.0,0.0,0.0,0.0
83c986fffffffff,240.0,0.0,0.0,0.0
83c990fffffffff,64.0,0.0,0.0,0.0
83c991fffffffff,158.0,0.0,0.0,0.0
83c992fffffffff,515.0,0.0,0.0,0.0
83c993fffffffff,894.0,0.0,0.0,0.0
83c995fffffffff,70.0,0.0,0.0,0.0
83c996fffffffff,2.0,0.0,0.0,0.0
83c99cfffffffff,82.0,0.0,0.0,0.0
83c99efffffffff,136.0,0.0,0.0,0.0
83c9b0fffffffff,48.0,0.0,0.0,0.0
83c9b1fffffffff,210.0,0.0,0.0,0.0
83c9b2fffffffff,2.0,0.0,0.0,0.0
83c9b3fffffffff,129.0,0.0,0.0,0.0
83c9b6fffffffff,9.0,0.0,0.0,0.0
