cell_id,Myiomela leucura,Myiomela leucura leucura/montium,Myiomela leucura cambodiana
8440ac5ffffffff,2.0,0.0,0.0
8440ac9ffffffff,2.0,0.0,0.0
8440e11ffffffff,2.0,0.0,0.0
8440e13ffffffff,16.0,0.0,0.0
8440e3dffffffff,11.0,0.0,0.0
8440e5bffffffff,12.0,0.0,0.0
8440ec1ffffffff,2.0,0.0,0.0
8440ec5ffffffff,21.0,0.0,0.0
844118bffffffff,3.0,0.0,0.0
84411b5ffffffff,2.0,0.0,0.0
84411d5ffffffff,8.0,0.0,0.0
8441433ffffffff,29.0,3.0,0.0
844143bffffffff,17.0,2.0,0.0
844149bffffffff,2.0,0.0,0.0
84414b3ffffffff,2.0,0.0,0.0
84414c3ffffffff,2.0,0.0,0.0
84415c3ffffffff,9.0,2.0,0.0
84415cbffffffff,2.0,0.0,0.0
84415ddffffffff,2.0,0.0,0.0
84415edffffffff,61.0,2.0,0.0
844160bffffffff,2.0,0.0,0.0
8441655ffffffff,1.0,0.0,0.0
84416bdffffffff,2.0,0.0,0.0
844170bffffffff,2.0,0.0,0.0
844170dffffffff,1.0,0.0,0.0
8441715ffffffff,2.0,0.0,0.0
8441855ffffffff,1.0,0.0,0.0
844b841ffffffff,1.0,0.0,0.0
844b845ffffffff,4.0,0.0,0.0
844b849ffffffff,46.0,0.0,0.0
844b84dffffffff,34.0,0.0,0.0
844b869ffffffff,29.0,4.0,0.0
844b86dffffffff,2.0,0.0,0.0
844ba01ffffffff,298.0,14.0,0.0
844ba03ffffffff,458.0,12.0,0.0
844ba05ffffffff,2236.0,331.0,0.0
844ba07ffffffff,1111.0,34.0,0.0
844ba0bffffffff,68.0,5.0,0.0
844ba15ffffffff,3.0,0.0,0.0
844ba1dffffffff,94.0,8.0,0.0
844ba21ffffffff,1854.0,203.0,0.0
844ba23ffffffff,11.0,0.0,0.0
844ba25ffffffff,674.0,35.0,0.0
844ba27ffffffff,1606.0,37.0,0.0
844ba29ffffffff,40.0,0.0,0.0
844ba2bffffffff,1942.0,43.0,0.0
844ba35ffffffff,20.0,0.0,0.0
844ba39ffffffff,178.0,2.0,0.0
844ba3dffffffff,247.0,2.0,0.0
844ba57ffffffff,1.0,0.0,0.0
844bb11ffffffff,2.0,0.0,0.0
844bb13ffffffff,53.0,8.0,0.0
844bb1bffffffff,210.0,4.0,0.0
8464821ffffffff,6.0,0.0,0.0
8464825ffffffff,8.0,2.0,0.0
846482bffffffff,113.0,31.0,0.0
846482dffffffff,3.0,0.0,0.0
8464903ffffffff,14.0,2.0,0.0
8464911ffffffff,367.0,101.0,0.0
8464921ffffffff,5.0,0.0,0.0
8464949ffffffff,11.0,5.0,0.0
846494bffffffff,21.0,11.0,0.0
8464981ffffffff,2.0,0.0,0.0
8464983ffffffff,10.0,0.0,0.0
8464a35ffffffff,37.0,3.0,0.0
8464a3dffffffff,8.0,0.0,0.0
8464b03ffffffff,6.0,0.0,0.0
8464b0bffffffff,5.0,0.0,0.0
8464b55ffffffff,1.0,0.0,0.0
8464b57ffffffff,1.0,0.0,0.0
8465005ffffffff,1.0,0.0,0.0
846500bffffffff,186.0,22.0,0.0
8465039ffffffff,25.0,0.0,0.0
8465055ffffffff,1.0,0.0,0.0
8465801ffffffff,3.0,0.0,0.0
8465803ffffffff,30.0,0.0,0.0
8465817ffffffff,12.0,0.0,0.0
8465b61ffffffff,20.0,4.0,0.0
8465b65ffffffff,19.0,4.0,0.0
8465b67ffffffff,94.0,14.0,0.0
8465b6bffffffff,14.0,2.0,0.0
8469341ffffffff,2.0,0.0,0.0
8469345ffffffff,7.0,2.0,0.0
