cell_id,Catharus fuscater,Catharus fuscater hellmayri,Catharus fuscater [fuscater Group]
8466c21ffffffff,4.0,0.0,0.0
8466c25ffffffff,2.0,0.0,0.0
8466c2dffffffff,2.0,0.0,0.0
8466c47ffffffff,2.0,0.0,0.0
8466c69ffffffff,3.0,0.0,0.0
8466c6bffffffff,2.0,0.0,0.0
8466c6dffffffff,1.0,0.0,0.0
8466d03ffffffff,2.0,0.0,0.0
8466d1dffffffff,2.0,0.0,0.0
8466d31ffffffff,823.0,0.0,109.0
8466d33ffffffff,1.0,0.0,1.0
8466d35ffffffff,76.0,0.0,8.0
8466d37ffffffff,30.0,0.0,0.0
8466d39ffffffff,41.0,0.0,0.0
8466d3bffffffff,4.0,0.0,0.0
8466d53ffffffff,3.0,0.0,0.0
8466dadffffffff,3.0,0.0,0.0
8466de1ffffffff,62.0,0.0,0.0
8466dedffffffff,99.0,0.0,22.0
8466e09ffffffff,6.0,0.0,0.0
8466e0bffffffff,14.0,0.0,0.0
8466e41ffffffff,1.0,0.0,0.0
8466e55ffffffff,33.0,0.0,0.0
8466e59ffffffff,2.0,0.0,0.0
8466e61ffffffff,11.0,0.0,0.0
8466e63ffffffff,6.0,0.0,0.0
8466e65ffffffff,54.0,0.0,5.0
8466e67ffffffff,5.0,0.0,0.0
8466e69ffffffff,5.0,0.0,0.0
8466e6dffffffff,122.0,0.0,8.0
8466f11ffffffff,1.0,0.0,0.0
8466f19ffffffff,6.0,0.0,0.0
8466f1dffffffff,12.0,0.0,0.0
8466f53ffffffff,9.0,0.0,0.0
8466f59ffffffff,2.0,0.0,0.0
8466f5bffffffff,101.0,0.0,0.0
84675a5ffffffff,10.0,0.0,0.0
84675adffffffff,104.0,0.0,1.0
84675e7ffffffff,2.0,0.0,0.0
84675ebffffffff,56.0,0.0,3.0
84679a7ffffffff,71.0,0.0,0.0
846d681ffffffff,11.0,0.0,0.0
846d689ffffffff,1.0,0.0,0.0
846d68bffffffff,37.0,0.0,0.0
846d68dffffffff,1.0,0.0,0.0
846d691ffffffff,1230.0,0.0,0.0
846d693ffffffff,15.0,0.0,0.0
846d695ffffffff,2.0,0.0,0.0
846d699ffffffff,4.0,0.0,0.0
846d69bffffffff,1850.0,0.0,0.0
846d69dffffffff,3340.0,0.0,0.0
848b203ffffffff,4.0,0.0,0.0
848b211ffffffff,5.0,0.0,0.0
848b21dffffffff,2.0,0.0,0.0
848b229ffffffff,2.0,0.0,0.0
848b2c3ffffffff,2.0,0.0,0.0
848b2cdffffffff,1.0,0.0,0.0
848b617ffffffff,55.0,0.0,0.0
848b6cdffffffff,3.0,0.0,0.0
848b759ffffffff,5.0,0.0,0.0
848e641ffffffff,23.0,0.0,0.0
848e649ffffffff,8.0,0.0,0.0
848e64bffffffff,5.0,0.0,0.0
848e651ffffffff,3.0,0.0,0.0
848e6c1ffffffff,4.0,0.0,0.0
848e6cbffffffff,3.0,0.0,0.0
848f0d3ffffffff,144.0,0.0,19.0
848f0d9ffffffff,6.0,0.0,0.0
848f0dbffffffff,29.0,0.0,2.0
848f291ffffffff,9.0,0.0,0.0
848f2bbffffffff,10.0,0.0,0.0
848f2d3ffffffff,2.0,0.0,0.0
848f421ffffffff,2.0,0.0,0.0
848f425ffffffff,9.0,0.0,0.0
848f42dffffffff,27.0,0.0,0.0
848f465ffffffff,10.0,0.0,0.0
848f467ffffffff,18.0,0.0,0.0
848f4a5ffffffff,12.0,0.0,0.0
848f4a7ffffffff,3.0,0.0,0.0
848f503ffffffff,1.0,0.0,0.0
848f509ffffffff,2.0,0.0,0.0
848f50bffffffff,7.0,0.0,0.0
848f515ffffffff,4.0,0.0,0.0
848f51bffffffff,7.0,0.0,0.0
848f51dffffffff,2.0,0.0,0.0
848f541ffffffff,4.0,0.0,0.0
848f547ffffffff,5.0,0.0,0.0
848f549ffffffff,14.0,0.0,0.0
848f54bffffffff,17.0,0.0,0.0
848f54dffffffff,22.0,0.0,0.0
848f551ffffffff,2.0,0.0,0.0
848f553ffffffff,37.0,0.0,0.0
848f555ffffffff,2.0,0.0,0.0
848f559ffffffff,3.0,0.0,0.0
848f55bffffffff,14.0,0.0,0.0
848f5c9ffffffff,2.0,0.0,0.0
848f5cbffffffff,2.0,0.0,0.0
848f5cdffffffff,8.0,0.0,0.0
848f5e7ffffffff,2.0,0.0,0.0
848f705ffffffff,2.0,0.0,0.0
848f721ffffffff,4.0,0.0,0.0
848f725ffffffff,3.0,0.0,3.0
848f727ffffffff,8.0,0.0,0.0
848f72dffffffff,3.0,0.0,0.0
848f733ffffffff,113.0,0.0,0.0
848f745ffffffff,3.0,0.0,0.0
848f765ffffffff,69.0,0.0,0.0
848f76bffffffff,2.0,0.0,0.0
848f76dffffffff,2.0,0.0,0.0
84b321dffffffff,1.0,0.0,0.0
84b3253ffffffff,24.0,0.0,0.0
