cell_id,Petrochelidon pyrrhonota,Petrochelidon pyrrhonota [pyrrhonota Group],Petrochelidon pyrrhonota melanogaster
8244d7fffffffff,256.0,0.0,0.0
8244dffffffffff,2315.0,107.0,0.0
8244e7fffffffff,264.0,9.0,0.0
8244effffffffff,1186.0,33.0,0.0
8244f7fffffffff,141.0,6.0,0.0
824507fffffffff,140.0,0.0,0.0
82450ffffffffff,231.0,15.0,0.0
82451ffffffffff,7.0,6.0,0.0
824527fffffffff,1339.0,0.0,0.0
82452ffffffffff,1022.0,0.0,0.0
824537fffffffff,47.0,0.0,0.0
82454ffffffffff,3.0,0.0,0.0
824577fffffffff,124.0,6.0,0.0
824587fffffffff,35.0,0.0,0.0
8245a7fffffffff,96.0,0.0,0.0
824807fffffffff,183.0,0.0,0.0
82480ffffffffff,120.0,5.0,0.0
824817fffffffff,101.0,0.0,2.0
82481ffffffffff,52.0,0.0,0.0
824827fffffffff,26.0,0.0,0.0
82482ffffffffff,24.0,0.0,0.0
824837fffffffff,93.0,7.0,0.0
824847fffffffff,12.0,0.0,0.0
82484ffffffffff,66.0,0.0,0.0
824857fffffffff,89.0,0.0,0.0
82485ffffffffff,2896.0,68.0,0.0
824877fffffffff,9.0,0.0,0.0
824887fffffffff,1961.0,18.0,0.0
82488ffffffffff,1924.0,41.0,0.0
824897fffffffff,5441.0,106.0,0.0
82489ffffffffff,11142.0,117.0,0.0
8248a7fffffffff,208.0,3.0,0.0
8248affffffffff,453.0,11.0,0.0
8248b7fffffffff,3760.0,127.0,0.0
8248c7fffffffff,3635.0,185.0,0.0
8248cffffffffff,1701.0,253.0,0.0
8248d7fffffffff,1406.0,59.0,0.0
8248dffffffffff,5293.0,91.0,0.0
8248e7fffffffff,185.0,15.0,0.0
8248effffffffff,15490.0,967.0,47.0
8248f7fffffffff,720.0,26.0,0.0
824987fffffffff,531.0,8.0,46.0
82498ffffffffff,43.0,0.0,0.0
824997fffffffff,3559.0,87.0,60.0
82499ffffffffff,22.0,0.0,0.0
8249a7fffffffff,8.0,4.0,0.0
8249affffffffff,248.0,0.0,0.0
8249b7fffffffff,285.0,4.0,19.0
824d4ffffffffff,3.0,0.0,0.0
825e47fffffffff,11.0,0.0,0.0
825e5ffffffffff,102.0,0.0,0.0
825e77fffffffff,13.0,0.0,0.0
826607fffffffff,11.0,0.0,0.0
82660ffffffffff,195.0,0.0,0.0
826617fffffffff,432.0,0.0,0.0
82661ffffffffff,139.0,6.0,0.0
826627fffffffff,47.0,0.0,0.0
82662ffffffffff,26.0,0.0,0.0
826637fffffffff,7.0,0.0,0.0
826647fffffffff,3.0,0.0,0.0
826657fffffffff,31.0,0.0,0.0
82665ffffffffff,6.0,0.0,0.0
826677fffffffff,24.0,0.0,0.0
8266a7fffffffff,1874.0,0.0,0.0
8266affffffffff,8.0,0.0,0.0
8266b7fffffffff,1074.0,0.0,0.0
8266c7fffffffff,23.0,0.0,0.0
8266cffffffffff,5.0,0.0,0.0
8266d7fffffffff,89.0,0.0,0.0
8266dffffffffff,13.0,1.0,0.0
8266e7fffffffff,632.0,1.0,0.0
8266effffffffff,45.0,0.0,0.0
8266f7fffffffff,14.0,0.0,0.0
826747fffffffff,158.0,0.0,0.0
826757fffffffff,29.0,0.0,0.0
826777fffffffff,131.0,0.0,0.0
826787fffffffff,150.0,0.0,0.0
826797fffffffff,13.0,0.0,0.0
82679ffffffffff,1086.0,0.0,0.0
826c67fffffffff,29.0,0.0,0.0
826d07fffffffff,192.0,20.0,0.0
826d17fffffffff,13.0,0.0,0.0
826d27fffffffff,100.0,1.0,0.0
826d2ffffffffff,322.0,2.0,0.0
826d37fffffffff,779.0,10.0,0.0
826d67fffffffff,1669.0,0.0,0.0
826d6ffffffffff,3289.0,0.0,0.0
826d77fffffffff,101.0,0.0,0.0
828037fffffffff,1.0,0.0,0.0
828107fffffffff,8.0,0.0,0.0
828127fffffffff,6.0,0.0,0.0
828137fffffffff,4.0,0.0,0.0
828a07fffffffff,1.0,0.0,0.0
828a47fffffffff,10.0,0.0,0.0
828a6ffffffffff,4.0,0.0,0.0
828b0ffffffffff,43.0,0.0,0.0
828b27fffffffff,12.0,0.0,0.0
828b2ffffffffff,9.0,0.0,0.0
828b47fffffffff,19.0,0.0,0.0
828b5ffffffffff,2.0,0.0,0.0
828b67fffffffff,67.0,0.0,0.0
828b6ffffffffff,1.0,0.0,0.0
828b77fffffffff,8.0,0.0,0.0
828bb7fffffffff,1.0,0.0,0.0
828f2ffffffffff,17.0,0.0,0.0
828f57fffffffff,1.0,0.0,0.0
82a807fffffffff,11.0,0.0,0.0
82a80ffffffffff,2.0,0.0,0.0
82a817fffffffff,7.0,0.0,0.0
82a81ffffffffff,39.0,0.0,0.0
82a827fffffffff,10.0,0.0,0.0
82a82ffffffffff,6.0,0.0,0.0
82a837fffffffff,5.0,0.0,0.0
82a847fffffffff,3.0,0.0,0.0
82a857fffffffff,14.0,0.0,0.0
82a85ffffffffff,9.0,0.0,0.0
82a867fffffffff,8.0,0.0,0.0
82a86ffffffffff,7.0,0.0,0.0
82a877fffffffff,1.0,0.0,0.0
82a88ffffffffff,31.0,0.0,0.0
82a8a7fffffffff,2.0,0.0,0.0
82a8affffffffff,46.0,0.0,0.0
82a8c7fffffffff,2.0,0.0,0.0
82a8d7fffffffff,84.0,0.0,0.0
82a8dffffffffff,10.0,0.0,0.0
82a8e7fffffffff,16.0,0.0,0.0
82a8effffffffff,10.0,0.0,0.0
82a8f7fffffffff,7.0,0.0,0.0
82a90ffffffffff,36.0,0.0,0.0
82a91ffffffffff,6.0,0.0,0.0
82a92ffffffffff,3.0,0.0,0.0
82a947fffffffff,238.0,0.0,0.0
82a94ffffffffff,52.0,0.0,0.0
82a957fffffffff,39.0,0.0,0.0
82a95ffffffffff,30.0,0.0,0.0
82a967fffffffff,210.0,0.0,0.0
82a96ffffffffff,11.0,0.0,0.0
82a977fffffffff,25.0,0.0,0.0
82b247fffffffff,37.0,0.0,0.0
82b24ffffffffff,182.0,0.0,0.0
82b25ffffffffff,49.0,0.0,0.0
82b267fffffffff,4.0,0.0,0.0
82b26ffffffffff,15.0,0.0,0.0
82b277fffffffff,9.0,0.0,0.0
82b307fffffffff,211.0,0.0,0.0
82b30ffffffffff,2.0,0.0,0.0
82b31ffffffffff,1.0,0.0,0.0
82b32ffffffffff,3.0,0.0,0.0
82b347fffffffff,8.0,0.0,0.0
82b34ffffffffff,1.0,0.0,0.0
82b357fffffffff,34.0,0.0,0.0
82b35ffffffffff,38.0,0.0,0.0
82b36ffffffffff,5.0,0.0,0.0
82c207fffffffff,21.0,0.0,0.0
82c21ffffffffff,34.0,0.0,0.0
82c227fffffffff,2.0,0.0,0.0
82c22ffffffffff,25.0,0.0,0.0
82c2c7fffffffff,163.0,0.0,0.0
82c2cffffffffff,43.0,0.0,0.0
82c2d7fffffffff,5.0,0.0,0.0
82c2e7fffffffff,45.0,0.0,0.0
82c2effffffffff,47.0,0.0,0.0
82c2f7fffffffff,36.0,0.0,0.0
82c347fffffffff,2.0,0.0,0.0
82c34ffffffffff,35.0,0.0,0.0
82c357fffffffff,7.0,0.0,0.0
82c35ffffffffff,7.0,0.0,0.0
82cf97fffffffff,14.0,0.0,0.0
82cfa7fffffffff,22.0,0.0,0.0
82df47fffffffff,1.0,0.0,0.0
