cell_id,Francolinus francolinus,Francolinus francolinus francolinus/arabistanicus,Francolinus francolinus [henrici Group]
843c1c7ffffffff,1.0,0.0,0.0
843c1c9ffffffff,1.0,0.0,0.0
843c303ffffffff,6.0,0.0,0.0
843c307ffffffff,2.0,0.0,0.0
843c315ffffffff,2.0,0.0,0.0
843c32bffffffff,1.0,0.0,0.0
843c331ffffffff,1.0,0.0,0.0
843c333ffffffff,7.0,0.0,0.0
843c335ffffffff,6.0,0.0,0.0
843c33bffffffff,6.0,0.0,0.0
843c33dffffffff,3.0,0.0,0.0
843c341ffffffff,6.0,0.0,0.0
843c345ffffffff,2.0,0.0,0.0
843c365ffffffff,3.0,0.0,0.0
843c369ffffffff,1.0,0.0,0.0
843c80dffffffff,1.0,0.0,0.0
843c8d9ffffffff,1.0,0.0,0.0
843ca8dffffffff,6.0,0.0,0.0
843ca95ffffffff,4.0,0.0,0.0
843ca97ffffffff,6.0,0.0,0.0
843ce1bffffffff,10.0,0.0,0.0
843ce41ffffffff,18.0,0.0,0.0
843ce43ffffffff,9.0,0.0,0.0
843ce47ffffffff,4.0,0.0,0.0
843ce55ffffffff,37.0,0.0,0.0
843ce57ffffffff,55.0,0.0,0.0
843cec1ffffffff,2.0,0.0,0.0
843cec9ffffffff,1.0,0.0,0.0
843cf69ffffffff,2.0,0.0,0.0
843d101ffffffff,16.0,0.0,0.0
843d103ffffffff,84.0,0.0,0.0
843d107ffffffff,18.0,0.0,0.0
843d109ffffffff,140.0,0.0,0.0
843d10bffffffff,6.0,0.0,0.0
843d10dffffffff,53.0,0.0,0.0
843d115ffffffff,44.0,0.0,0.0
843d117ffffffff,1.0,0.0,0.0
843d123ffffffff,12.0,0.0,0.0
843d131ffffffff,6.0,0.0,0.0
843d133ffffffff,41.0,0.0,0.0
843d135ffffffff,26.0,0.0,0.0
843d137ffffffff,187.0,0.0,0.0
843d139ffffffff,57.0,0.0,0.0
843d13bffffffff,19.0,0.0,0.0
843d13dffffffff,47.0,0.0,0.0
843d141ffffffff,1.0,0.0,0.0
843d143ffffffff,36.0,0.0,0.0
843d145ffffffff,4.0,0.0,0.0
843d147ffffffff,52.0,0.0,0.0
843d149ffffffff,3.0,0.0,0.0
843d14bffffffff,6.0,0.0,0.0
843d151ffffffff,26.0,0.0,0.0
843d155ffffffff,49.0,0.0,0.0
843d157ffffffff,22.0,0.0,0.0
843d159ffffffff,2.0,0.0,0.0
843d15dffffffff,58.0,0.0,0.0
843d167ffffffff,6.0,0.0,0.0
843d16bffffffff,41.0,0.0,0.0
843d1a7ffffffff,3.0,0.0,0.0
843d1a9ffffffff,2.0,0.0,0.0
843d1adffffffff,8.0,0.0,0.0
843d1e5ffffffff,6.0,0.0,0.0
843d1e7ffffffff,85.0,0.0,0.0
843d1e9ffffffff,2.0,0.0,0.0
843d1edffffffff,169.0,0.0,0.0
843d301ffffffff,5.0,0.0,0.0
843d305ffffffff,4.0,0.0,0.0
843d307ffffffff,3.0,0.0,0.0
843d321ffffffff,2.0,0.0,0.0
843d323ffffffff,21.0,0.0,0.0
843d325ffffffff,42.0,0.0,0.0
843d32bffffffff,7.0,0.0,0.0
843d331ffffffff,1.0,0.0,0.0
843d335ffffffff,9.0,0.0,0.0
843d337ffffffff,16.0,0.0,0.0
843d33dffffffff,1.0,0.0,0.0
843d341ffffffff,2.0,0.0,0.0
843d345ffffffff,26.0,0.0,0.0
843d349ffffffff,2.0,0.0,0.0
843d34dffffffff,4.0,0.0,0.0
843d361ffffffff,2.0,0.0,0.0
843d363ffffffff,36.0,0.0,0.0
843d36bffffffff,63.0,0.0,0.0
843d851ffffffff,4.0,0.0,0.0
843d853ffffffff,28.0,0.0,0.0
843d859ffffffff,30.0,0.0,0.0
843d899ffffffff,17.0,0.0,0.0
843d8b9ffffffff,1.0,0.0,0.0
843d8c1ffffffff,103.0,0.0,0.0
843d8c3ffffffff,5.0,0.0,0.0
843d8d1ffffffff,6.0,0.0,0.0
843d8d5ffffffff,57.0,0.0,0.0
843d8ddffffffff,5.0,0.0,0.0
843da03ffffffff,5.0,0.0,0.0
843da09ffffffff,4.0,0.0,0.0
843da0bffffffff,16.0,0.0,0.0
843da11ffffffff,351.0,0.0,0.0
843da13ffffffff,207.0,0.0,0.0
843da15ffffffff,6.0,0.0,0.0
843da17ffffffff,10.0,0.0,0.0
843da19ffffffff,82.0,0.0,0.0
843da1bffffffff,75.0,0.0,0.0
843da1dffffffff,773.0,0.0,0.0
843da33ffffffff,33.0,0.0,0.0
843da37ffffffff,95.0,0.0,0.0
843da53ffffffff,1.0,0.0,0.0
843da57ffffffff,52.0,0.0,0.0
843da59ffffffff,2.0,0.0,0.0
843da5dffffffff,2.0,0.0,0.0
843da69ffffffff,326.0,0.0,0.0
843da81ffffffff,3.0,0.0,0.0
843da91ffffffff,10.0,0.0,0.0
843da95ffffffff,9.0,0.0,0.0
843da97ffffffff,53.0,0.0,0.0
843da99ffffffff,5.0,0.0,0.0
843da9dffffffff,30.0,0.0,0.0
843daa5ffffffff,3.0,0.0,0.0
843dab9ffffffff,2.0,0.0,0.0
843dac5ffffffff,3.0,0.0,0.0
843dac9ffffffff,148.0,0.0,0.0
843dad1ffffffff,805.0,0.0,0.0
843dad3ffffffff,9.0,0.0,0.0
843dad7ffffffff,7.0,0.0,0.0
843dad9ffffffff,83.0,0.0,0.0
843dadbffffffff,38.0,0.0,0.0
843daddffffffff,165.0,0.0,0.0
843daedffffffff,2.0,0.0,0.0
843f4d1ffffffff,56.0,4.0,0.0
843f4d3ffffffff,120.0,20.0,0.0
843f4d9ffffffff,35.0,0.0,0.0
843f4dbffffffff,5.0,0.0,0.0
843f4ddffffffff,10.0,0.0,0.0
844206dffffffff,1.0,0.0,0.0
8442305ffffffff,2.0,0.0,0.0
844230dffffffff,4.0,0.0,0.0
844233bffffffff,2.0,0.0,0.0
8442481ffffffff,2.0,0.0,0.0
8442483ffffffff,2.0,0.0,0.0
8442491ffffffff,1.0,0.0,0.0
8442493ffffffff,150.0,0.0,0.0
8442499ffffffff,16.0,0.0,0.0
844249bffffffff,26.0,0.0,0.0
844249dffffffff,1.0,0.0,0.0
84424b1ffffffff,1.0,0.0,0.0
84424b5ffffffff,2.0,0.0,0.0
844258bffffffff,2.0,0.0,0.0
844259dffffffff,16.0,0.0,0.0
84425d3ffffffff,2.0,0.0,0.0
8442683ffffffff,1.0,0.0,0.0
8442695ffffffff,7.0,0.0,0.0
8442697ffffffff,23.0,0.0,0.0
844269bffffffff,37.0,0.0,0.0
844269dffffffff,1.0,0.0,0.0
8442c41ffffffff,57.0,0.0,0.0
8442c43ffffffff,5.0,0.0,0.0
8442c45ffffffff,7.0,0.0,0.0
8442c49ffffffff,38.0,0.0,0.0
8442c4bffffffff,29.0,0.0,0.0
8442c4dffffffff,67.0,0.0,0.0
8442c51ffffffff,3.0,0.0,0.0
8442c53ffffffff,4.0,0.0,0.0
8442c55ffffffff,4.0,0.0,0.0
8442c57ffffffff,11.0,0.0,0.0
8442c59ffffffff,5.0,0.0,0.0
8442c5dffffffff,31.0,0.0,0.0
8442e09ffffffff,1.0,0.0,0.0
8442e23ffffffff,30.0,0.0,0.0
8442e27ffffffff,40.0,0.0,0.0
8442e35ffffffff,5.0,0.0,0.0
8442e37ffffffff,6.0,0.0,0.0
84431e3ffffffff,61.0,0.0,0.0
8443341ffffffff,2.0,0.0,0.0
8443501ffffffff,12.0,0.0,0.0
8446483ffffffff,18.0,0.0,2.0
8446487ffffffff,22.0,0.0,0.0
8446497ffffffff,19.0,0.0,0.0
84464b9ffffffff,14.0,0.0,0.0
84464e1ffffffff,264.0,0.0,19.0
84464e3ffffffff,6.0,0.0,0.0
84464e5ffffffff,342.0,0.0,29.0
84464e7ffffffff,135.0,0.0,13.0
844f491ffffffff,18.0,0.0,0.0
844f49bffffffff,52.0,0.0,0.0
84534dbffffffff,1.0,0.0,0.0
845d101ffffffff,844.0,0.0,105.0
845d103ffffffff,185.0,0.0,18.0
845d105ffffffff,14.0,0.0,0.0
845d107ffffffff,462.0,0.0,41.0
845d10bffffffff,1.0,0.0,0.0
845d11dffffffff,12.0,0.0,0.0
845d139ffffffff,9.0,0.0,0.0
845d13dffffffff,2.0,0.0,0.0
845d145ffffffff,56.0,0.0,3.0
845d147ffffffff,38.0,0.0,0.0
845d169ffffffff,14.0,0.0,0.0
845d16bffffffff,82.0,0.0,3.0
