cell_id,Cercotrichas galactotes,Cercotrichas galactotes [galactotes Group],Cercotrichas galactotes minor/hamertoni
837a46fffffffff,5.0,0.0,0.0
837a60fffffffff,35.0,3.0,0.0
837a64fffffffff,75.0,24.0,0.0
837a65fffffffff,3.0,0.0,0.0
837a66fffffffff,10.0,0.0,0.0
837a6dfffffffff,2.0,0.0,0.0
837acafffffffff,2.0,0.0,0.0
837ad9fffffffff,28.0,6.0,0.0
837adbfffffffff,2.0,2.0,0.0
837ae9fffffffff,11.0,3.0,0.0
837aeafffffffff,4.0,4.0,0.0
837aedfffffffff,7.0,0.0,0.0
837b4afffffffff,2.0,2.0,0.0
837b4bfffffffff,2.0,0.0,0.0
837b59fffffffff,22.0,6.0,0.0
837b5bfffffffff,1.0,1.0,0.0
8396b6fffffffff,1.0,0.0,0.0
