cell_id,Cisticola erythrops,Cisticola erythrops [erythrops Group],Cisticola erythrops lepe
846ade7ffffffff,1.0,0.0,0.0
846ade9ffffffff,27.0,0.0,0.0
846adebffffffff,13.0,0.0,0.0
846ae0bffffffff,2.0,0.0,0.0
846ae85ffffffff,34.0,5.0,0.0
846ae8dffffffff,1.0,0.0,0.0
846aea1ffffffff,204.0,9.0,0.0
846aea3ffffffff,6.0,0.0,0.0
846aea5ffffffff,5.0,0.0,0.0
846aea9ffffffff,11.0,2.0,0.0
846aeabffffffff,24.0,0.0,0.0
846aeb5ffffffff,6.0,0.0,0.0
846aeb7ffffffff,1.0,0.0,0.0
846aee3ffffffff,35.0,0.0,0.0
846af51ffffffff,2.0,0.0,0.0
846b9abffffffff,1.0,0.0,0.0
8475087ffffffff,4.0,1.0,0.0
8475095ffffffff,2.0,0.0,0.0
847509dffffffff,4.0,0.0,0.0
84750c5ffffffff,2.0,2.0,0.0
84750d1ffffffff,201.0,44.0,0.0
84750d3ffffffff,40.0,19.0,0.0
84750d9ffffffff,3.0,0.0,0.0
84750dbffffffff,4.0,0.0,0.0
84750ddffffffff,5.0,0.0,0.0
8475193ffffffff,2.0,0.0,0.0
8475195ffffffff,2.0,0.0,0.0
8475201ffffffff,21.0,8.0,0.0
8475205ffffffff,2.0,0.0,0.0
8475207ffffffff,21.0,2.0,0.0
8475293ffffffff,1.0,0.0,0.0
8475295ffffffff,127.0,23.0,0.0
8475299ffffffff,7.0,0.0,0.0
847529bffffffff,3.0,0.0,0.0
84752abffffffff,9.0,2.0,0.0
84752adffffffff,20.0,12.0,0.0
84752b5ffffffff,12.0,6.0,0.0
84752d3ffffffff,7.0,3.0,0.0
84752dbffffffff,1.0,0.0,0.0
84752e9ffffffff,4.0,2.0,0.0
8475761ffffffff,18.0,5.0,0.0
8475769ffffffff,4.0,0.0,0.0
8475a07ffffffff,5.0,0.0,0.0
847a409ffffffff,2.0,0.0,0.0
847a451ffffffff,12.0,0.0,0.0
847a453ffffffff,10.0,0.0,0.0
847a455ffffffff,1.0,0.0,0.0
847a459ffffffff,61.0,0.0,0.0
847a45dffffffff,2.0,0.0,0.0
847a483ffffffff,1.0,0.0,0.0
847a489ffffffff,20.0,0.0,0.0
847a491ffffffff,1.0,0.0,0.0
847a4c1ffffffff,8.0,0.0,0.0
847a4c3ffffffff,2.0,0.0,0.0
847a4c5ffffffff,2.0,0.0,0.0
847a4c7ffffffff,8.0,0.0,0.0
847a4c9ffffffff,2.0,0.0,0.0
847a4cbffffffff,1.0,0.0,0.0
847a4d1ffffffff,99.0,0.0,0.0
847a4d5ffffffff,6.0,0.0,0.0
847a4d7ffffffff,3.0,0.0,0.0
847a4d9ffffffff,23.0,0.0,0.0
847a4dbffffffff,33.0,0.0,0.0
847a4ddffffffff,11.0,0.0,0.0
847a619ffffffff,2.0,0.0,0.0
847a653ffffffff,6.0,0.0,0.0
847a657ffffffff,10.0,0.0,0.0
847a681ffffffff,11.0,0.0,0.0
847a683ffffffff,40.0,0.0,0.0
847a695ffffffff,2.0,0.0,0.0
847a6a3ffffffff,4.0,0.0,0.0
847a6b3ffffffff,7.0,0.0,0.0
847a6b5ffffffff,2.0,0.0,0.0
847a6b7ffffffff,30.0,0.0,0.0
847a6d1ffffffff,8.0,1.0,0.0
847a6e1ffffffff,2.0,0.0,0.0
847a6e5ffffffff,250.0,0.0,0.0
847a6e7ffffffff,9.0,0.0,0.0
847a6edffffffff,3.0,0.0,0.0
847ac81ffffffff,2.0,0.0,0.0
847ac83ffffffff,3.0,3.0,0.0
847ac8bffffffff,5.0,0.0,0.0
847aca3ffffffff,5.0,3.0,0.0
847acd5ffffffff,45.0,4.0,0.0
847acd7ffffffff,2.0,0.0,0.0
847ae85ffffffff,1.0,0.0,0.0
847aebdffffffff,4.0,0.0,0.0
847b483ffffffff,1.0,0.0,0.0
847b487ffffffff,13.0,0.0,0.0
847b4b3ffffffff,2.0,0.0,0.0
847b4b7ffffffff,1.0,0.0,0.0
847b4b9ffffffff,6.0,0.0,0.0
847b4c1ffffffff,1.0,0.0,0.0
847b4cbffffffff,3.0,0.0,0.0
847b4dbffffffff,3.0,1.0,0.0
847b6bbffffffff,1.0,0.0,0.0
84828b5ffffffff,52.0,0.0,0.0
8482d35ffffffff,1.0,0.0,0.0
8482d37ffffffff,1.0,0.0,0.0
8482db5ffffffff,2.0,0.0,0.0
8483125ffffffff,6.0,0.0,1.0
8483129ffffffff,1.0,0.0,1.0
8483151ffffffff,1.0,0.0,0.0
848320bffffffff,2.0,0.0,0.0
848330dffffffff,2.0,0.0,0.0
8483335ffffffff,1.0,0.0,1.0
848333dffffffff,14.0,0.0,4.0
8483983ffffffff,2.0,0.0,0.0
8483ac1ffffffff,1.0,0.0,1.0
8483ac3ffffffff,3.0,0.0,3.0
8483acdffffffff,2.0,0.0,0.0
8496009ffffffff,23.0,3.0,0.0
849600bffffffff,7.0,2.0,0.0
8496015ffffffff,17.0,3.0,0.0
8496027ffffffff,2.0,0.0,0.0
849602dffffffff,9.0,0.0,0.0
8496039ffffffff,9.0,5.0,0.0
849603bffffffff,2.0,0.0,0.0
8496047ffffffff,4.0,0.0,0.0
8496051ffffffff,2.0,0.0,0.0
8496089ffffffff,6.0,2.0,0.0
8496093ffffffff,1.0,0.0,0.0
8496099ffffffff,3.0,1.0,0.0
849609dffffffff,2.0,0.0,0.0
84960a3ffffffff,1.0,0.0,0.0
84960b1ffffffff,16.0,2.0,0.0
84960b5ffffffff,33.0,0.0,0.0
84960b7ffffffff,2.0,0.0,0.0
84960bbffffffff,2.0,0.0,0.0
8496141ffffffff,2.0,0.0,0.0
849615dffffffff,2.0,0.0,0.0
84961dbffffffff,1.0,0.0,0.0
8496203ffffffff,12.0,0.0,0.0
8496215ffffffff,5.0,0.0,0.0
8496217ffffffff,5.0,2.0,0.0
8496233ffffffff,30.0,6.0,0.0
8496239ffffffff,11.0,3.0,0.0
849623bffffffff,24.0,4.0,0.0
8496241ffffffff,4.0,0.0,0.0
849624dffffffff,2.0,0.0,0.0
8496263ffffffff,8.0,0.0,0.0
8496269ffffffff,2.0,0.0,0.0
8496283ffffffff,3.0,0.0,0.0
84962b1ffffffff,2.0,0.0,0.0
84962b9ffffffff,2.0,0.0,0.0
84962c5ffffffff,2.0,0.0,0.0
84962c9ffffffff,14.0,4.0,0.0
84962cdffffffff,2.0,0.0,0.0
84962d7ffffffff,2.0,2.0,0.0
84962e5ffffffff,24.0,7.0,0.0
84962edffffffff,10.0,2.0,0.0
8496329ffffffff,1.0,0.0,0.0
8496335ffffffff,22.0,5.0,0.0
8496365ffffffff,3.0,0.0,0.0
8496445ffffffff,2.0,0.0,0.0
8496627ffffffff,3.0,0.0,0.0
8496703ffffffff,1.0,0.0,0.0
8496905ffffffff,3.0,0.0,0.0
8496907ffffffff,11.0,0.0,0.0
8496921ffffffff,31.0,0.0,0.0
8496925ffffffff,85.0,0.0,0.0
849692bffffffff,2.0,0.0,0.0
849692dffffffff,23.0,0.0,0.0
8496935ffffffff,153.0,0.0,0.0
849693dffffffff,8.0,0.0,0.0
8496a59ffffffff,9.0,0.0,0.0
8496a85ffffffff,2.0,0.0,0.0
8496a8bffffffff,2.0,0.0,0.0
8496a8dffffffff,1.0,0.0,0.0
8496ac3ffffffff,2.0,0.0,0.0
8496b0bffffffff,2.0,0.0,0.0
8496b1bffffffff,2.0,0.0,0.0
8496b29ffffffff,2.0,0.0,0.0
8496b47ffffffff,7.0,2.0,0.0
8496b55ffffffff,3.0,0.0,0.0
8496b63ffffffff,4.0,0.0,0.0
8496b67ffffffff,3.0,0.0,0.0
8496b6dffffffff,1.0,0.0,0.0
8497007ffffffff,2.0,0.0,0.0
8497025ffffffff,4.0,0.0,0.0
8497027ffffffff,12.0,0.0,0.0
849702bffffffff,26.0,0.0,0.0
8497035ffffffff,11.0,0.0,0.0
849703dffffffff,13.0,0.0,0.0
84970a5ffffffff,1.0,0.0,0.0
84970a7ffffffff,3.0,0.0,0.0
8497103ffffffff,12.0,0.0,0.0
8497107ffffffff,18.0,0.0,0.0
8497113ffffffff,7.0,0.0,0.0
8497119ffffffff,51.0,0.0,0.0
849711bffffffff,2.0,0.0,0.0
849711dffffffff,4.0,0.0,0.0
8497139ffffffff,1.0,0.0,0.0
849713dffffffff,2.0,0.0,0.0
8497151ffffffff,4.0,0.0,0.0
8497153ffffffff,2.0,0.0,0.0
8497199ffffffff,56.0,0.0,0.0
849719bffffffff,39.0,0.0,0.0
84971c1ffffffff,37.0,1.0,0.0
84971c9ffffffff,9.0,0.0,0.0
84971cbffffffff,13.0,0.0,0.0
84971d3ffffffff,3.0,0.0,0.0
84971d7ffffffff,1.0,0.0,0.0
8497289ffffffff,4.0,4.0,0.0
849728dffffffff,11.0,8.0,0.0
8497295ffffffff,4.0,0.0,0.0
849729bffffffff,1.0,0.0,0.0
84972c5ffffffff,28.0,15.0,0.0
84972c9ffffffff,3.0,0.0,0.0
84972cbffffffff,1.0,0.0,0.0
84972cdffffffff,10.0,0.0,0.0
84972d5ffffffff,10.0,7.0,0.0
84972d9ffffffff,1.0,0.0,0.0
84972e3ffffffff,131.0,34.0,0.0
84972ebffffffff,11.0,3.0,0.0
8497357ffffffff,2.0,0.0,0.0
84974abffffffff,1.0,0.0,0.0
8497509ffffffff,3.0,0.0,0.0
8497513ffffffff,36.0,4.0,0.0
8497515ffffffff,97.0,5.0,0.0
8497517ffffffff,40.0,2.0,0.0
8497535ffffffff,10.0,6.0,0.0
849753bffffffff,2.0,2.0,0.0
84975e9ffffffff,9.0,0.0,0.0
84975ebffffffff,3.0,0.0,0.0
8497749ffffffff,2.0,0.0,0.0
8497895ffffffff,2.0,0.0,0.0
84978b3ffffffff,1.0,0.0,0.0
84978b9ffffffff,7.0,0.0,0.0
84978d9ffffffff,5.0,0.0,0.0
84978e3ffffffff,1.0,0.0,0.0
84978ebffffffff,8.0,0.0,0.0
849799bffffffff,2.0,0.0,0.0
8497a33ffffffff,2.0,0.0,0.0
8497a89ffffffff,7.0,0.0,0.0
8497a8bffffffff,2.0,0.0,0.0
8497aa1ffffffff,1.0,0.0,0.0
8497aabffffffff,2.0,0.0,0.0
8497ab5ffffffff,1.0,0.0,0.0
8497ac7ffffffff,2.0,0.0,0.0
84bc197ffffffff,1.0,0.0,0.0
84bc1b7ffffffff,20.0,0.0,0.0
84bc897ffffffff,16.0,0.0,0.0
84bc899ffffffff,3.0,0.0,0.0
84bc89bffffffff,4.0,0.0,0.0
84bc997ffffffff,2.0,0.0,0.0
84bcd01ffffffff,31.0,2.0,0.0
84bcd03ffffffff,1.0,0.0,0.0
84bcd05ffffffff,29.0,11.0,0.0
84bcd07ffffffff,2.0,2.0,0.0
84bcd0bffffffff,3.0,3.0,0.0
84bcd0dffffffff,14.0,5.0,0.0
84bcd11ffffffff,1.0,0.0,0.0
84bcd13ffffffff,1.0,1.0,0.0
84bcd21ffffffff,25.0,2.0,0.0
84bcd23ffffffff,12.0,2.0,0.0
84bcd25ffffffff,10.0,0.0,0.0
84bcd27ffffffff,17.0,9.0,0.0
84bcd29ffffffff,283.0,72.0,0.0
84bcd2bffffffff,6.0,2.0,0.0
84bcd2dffffffff,23.0,10.0,0.0
84bcd35ffffffff,1.0,0.0,0.0
84bcd37ffffffff,41.0,9.0,0.0
84bcd3dffffffff,6.0,0.0,0.0
84bcd45ffffffff,5.0,0.0,0.0
84bcd4bffffffff,5.0,5.0,0.0
84bcd4dffffffff,5.0,5.0,0.0
84bcd61ffffffff,8.0,0.0,0.0
84bcd63ffffffff,58.0,15.0,0.0
84bcd67ffffffff,115.0,24.0,0.0
84bcd6bffffffff,4.0,2.0,0.0
84bcd6dffffffff,1.0,0.0,0.0
84bcd85ffffffff,1.0,0.0,0.0
84bcd87ffffffff,2.0,0.0,0.0
84bce29ffffffff,2.0,0.0,0.0
84bcf05ffffffff,2.0,2.0,0.0
84bcf09ffffffff,2.0,0.0,0.0
84bcf0dffffffff,3.0,0.0,0.0
84bcf21ffffffff,10.0,5.0,0.0
84bcf25ffffffff,3.0,0.0,0.0
84bcf29ffffffff,128.0,37.0,0.0
84bcf2dffffffff,23.0,4.0,0.0
84bcf43ffffffff,1.0,0.0,0.0
84bcf47ffffffff,5.0,0.0,0.0
84bcf5bffffffff,34.0,19.0,0.0
84bcf5dffffffff,18.0,6.0,0.0
84bcf61ffffffff,2.0,0.0,0.0
84bcf63ffffffff,24.0,13.0,0.0
84bcf6bffffffff,4.0,0.0,0.0
