cell_id,Upucerthia validirostris,Upucerthia validirostris jelskii/saturata,Upucerthia validirostris validirostris
848f597ffffffff,44.0,5.0,0.0
848f599ffffffff,3.0,0.0,0.0
848f59bffffffff,2.0,2.0,0.0
848f59dffffffff,1.0,1.0,0.0
848f5b9ffffffff,4.0,0.0,0.0
848f5bbffffffff,2.0,2.0,0.0
84b2099ffffffff,13.0,0.0,0.0
84b229dffffffff,2.0,0.0,0.0
84b22b5ffffffff,2.0,0.0,0.0
84b2705ffffffff,1.0,0.0,0.0
84b270dffffffff,4.0,0.0,0.0
84b2725ffffffff,2.0,0.0,0.0
84b2749ffffffff,13.0,0.0,0.0
84b2e33ffffffff,3.0,0.0,0.0
84b2ee9ffffffff,3.0,0.0,0.0
84b2eebffffffff,1.0,0.0,1.0
84b2eedffffffff,2.0,0.0,0.0
84b3019ffffffff,3.0,0.0,0.0
84b301bffffffff,6.0,2.0,0.0
84b304bffffffff,3.0,0.0,0.0
84b3051ffffffff,22.0,9.0,0.0
84b3053ffffffff,8.0,8.0,0.0
84b3055ffffffff,3.0,0.0,0.0
84b3059ffffffff,122.0,24.0,0.0
84b305dffffffff,307.0,102.0,0.0
84b3091ffffffff,1.0,0.0,0.0
84b30c5ffffffff,6.0,2.0,0.0
84b30d3ffffffff,2.0,2.0,0.0
84b30d5ffffffff,1.0,1.0,0.0
84b3219ffffffff,3.0,3.0,0.0
84b3225ffffffff,2.0,0.0,0.0
84b322dffffffff,10.0,5.0,0.0
84b3235ffffffff,41.0,6.0,0.0
84b3237ffffffff,33.0,5.0,0.0
84b3241ffffffff,3.0,0.0,0.0
84b3253ffffffff,2.0,0.0,0.0
84b3257ffffffff,9.0,7.0,0.0
84b3267ffffffff,3.0,3.0,0.0
84b3289ffffffff,3.0,3.0,0.0
84b32c1ffffffff,1.0,1.0,0.0
84b32c7ffffffff,1.0,1.0,0.0
84b32cbffffffff,2.0,2.0,0.0
84b32ddffffffff,8.0,2.0,0.0
84b3319ffffffff,2.0,0.0,0.0
84b3341ffffffff,10.0,1.0,0.0
84b3343ffffffff,2.0,1.0,0.0
84b334bffffffff,19.0,3.0,0.0
84b334dffffffff,2.0,0.0,0.0
84b3351ffffffff,6.0,4.0,0.0
84b3355ffffffff,101.0,21.0,0.0
84b3357ffffffff,5.0,0.0,0.0
84b3359ffffffff,1.0,0.0,0.0
84b335dffffffff,22.0,0.0,0.0
84b342dffffffff,34.0,0.0,0.0
84b3465ffffffff,3.0,0.0,0.0
84b346dffffffff,8.0,0.0,2.0
84b3515ffffffff,7.0,0.0,5.0
84b3517ffffffff,3.0,0.0,0.0
84b3519ffffffff,20.0,0.0,0.0
84b351dffffffff,8.0,0.0,0.0
84b3527ffffffff,1.0,0.0,0.0
84b3539ffffffff,10.0,0.0,1.0
84b353bffffffff,4.0,0.0,0.0
84b3541ffffffff,4.0,0.0,0.0
84b3543ffffffff,4.0,0.0,0.0
84b3545ffffffff,7.0,0.0,0.0
84b354bffffffff,29.0,0.0,0.0
84b3551ffffffff,7.0,0.0,0.0
84b3553ffffffff,52.0,0.0,0.0
84b3555ffffffff,2.0,0.0,0.0
84b3559ffffffff,1.0,0.0,0.0
84b355bffffffff,31.0,0.0,0.0
84b355dffffffff,19.0,0.0,0.0
84b35a1ffffffff,32.0,0.0,0.0
84b35a7ffffffff,175.0,0.0,7.0
84b35e1ffffffff,52.0,0.0,11.0
84b35e5ffffffff,7.0,0.0,0.0
84b3723ffffffff,4.0,0.0,0.0
84b3729ffffffff,1.0,0.0,0.0
84b3731ffffffff,23.0,0.0,0.0
84b3733ffffffff,149.0,0.0,7.0
84b3737ffffffff,1.0,0.0,0.0
