cell_id,Anthus petrosus,Anthus petrosus petrosus/kleinschmidti,Anthus petrosus littoralis
84190e1ffffffff,21.0,5.0,0.0
84190e3ffffffff,10.0,0.0,0.0
84190e5ffffffff,7.0,2.0,0.0
84190e9ffffffff,12.0,0.0,0.0
84190ebffffffff,64.0,5.0,0.0
84191d9ffffffff,8.0,0.0,0.0
8419229ffffffff,16.0,0.0,0.0
8419261ffffffff,27.0,0.0,0.0
8419265ffffffff,46.0,0.0,0.0
8419267ffffffff,17.0,0.0,0.0
841926dffffffff,44.0,0.0,0.0
8419281ffffffff,30.0,6.0,0.0
8419283ffffffff,11.0,2.0,0.0
8419287ffffffff,9.0,2.0,0.0
8419289ffffffff,7.0,1.0,0.0
841928dffffffff,28.0,0.0,0.0
8419293ffffffff,8.0,0.0,0.0
8419297ffffffff,26.0,3.0,0.0
84192a1ffffffff,13.0,8.0,0.0
84192a3ffffffff,2.0,2.0,0.0
84192a7ffffffff,41.0,1.0,0.0
84192abffffffff,14.0,14.0,0.0
84192b1ffffffff,62.0,45.0,0.0
84192b3ffffffff,57.0,10.0,0.0
84192b5ffffffff,2.0,0.0,0.0
84192b7ffffffff,28.0,10.0,0.0
84192b9ffffffff,3.0,0.0,0.0
84192bbffffffff,20.0,6.0,0.0
84192bdffffffff,1.0,0.0,0.0
84192c3ffffffff,8.0,0.0,0.0
84192c7ffffffff,4.0,0.0,0.0
84192cbffffffff,80.0,0.0,0.0
8419401ffffffff,180.0,10.0,0.0
8419403ffffffff,48.0,0.0,10.0
8419405ffffffff,11.0,0.0,0.0
8419407ffffffff,1.0,0.0,0.0
841940dffffffff,105.0,7.0,0.0
8419411ffffffff,74.0,0.0,15.0
8419413ffffffff,39.0,0.0,4.0
8419415ffffffff,316.0,0.0,54.0
841941bffffffff,23.0,0.0,3.0
841941dffffffff,15.0,0.0,0.0
8419421ffffffff,2.0,0.0,0.0
8419423ffffffff,6.0,0.0,0.0
8419427ffffffff,4.0,0.0,2.0
8419429ffffffff,1.0,0.0,0.0
841942dffffffff,2.0,0.0,0.0
8419431ffffffff,8.0,0.0,0.0
8419437ffffffff,6.0,0.0,0.0
8419439ffffffff,14.0,0.0,0.0
841943bffffffff,22.0,0.0,20.0
8419461ffffffff,20.0,0.0,0.0
8419465ffffffff,1.0,0.0,0.0
841946bffffffff,74.0,4.0,3.0
841946dffffffff,23.0,0.0,0.0
8419481ffffffff,34.0,7.0,0.0
8419483ffffffff,5.0,0.0,0.0
8419485ffffffff,25.0,8.0,0.0
841948bffffffff,56.0,0.0,0.0
841948dffffffff,864.0,65.0,5.0
84194a1ffffffff,101.0,2.0,0.0
84194a3ffffffff,14.0,1.0,0.0
