cell_id,Amblycercus holosericeus,Amblycercus holosericeus holosericeus/flavirostris,Amblycercus holosericeus australis
838f0dfffffffff,60.0,1.0,6.0
838f28fffffffff,5.0,2.0,0.0
838f29fffffffff,13.0,0.0,0.0
838f2afffffffff,72.0,6.0,0.0
838f2bfffffffff,18.0,0.0,0.0
838f2cfffffffff,12.0,0.0,0.0
838f40fffffffff,3.0,0.0,0.0
838f42fffffffff,12.0,0.0,0.0
838f43fffffffff,3.0,0.0,0.0
838f46fffffffff,24.0,2.0,3.0
838f4afffffffff,10.0,0.0,0.0
838f54fffffffff,15.0,0.0,0.0
838f55fffffffff,37.0,8.0,0.0
838f59fffffffff,27.0,0.0,0.0
838f5cfffffffff,2.0,0.0,0.0
838f70fffffffff,3.0,0.0,0.0
838f72fffffffff,78.0,0.0,13.0
838f73fffffffff,60.0,2.0,0.0
838f76fffffffff,21.0,1.0,0.0
83b321fffffffff,1.0,0.0,0.0
83b325fffffffff,7.0,0.0,0.0
