cell_id,Celeus undatus,Celeus undatus [grammicus Group],Celeus undatus [undatus Group]
848ae85ffffffff,1.0,1.0,0.0
848af03ffffffff,1.0,0.0,1.0
848af09ffffffff,95.0,87.0,8.0
848af0bffffffff,4.0,4.0,0.0
848af11ffffffff,5.0,5.0,0.0
848af29ffffffff,52.0,0.0,52.0
848af2dffffffff,28.0,0.0,26.0
848af41ffffffff,32.0,29.0,3.0
848af45ffffffff,17.0,15.0,2.0
848af47ffffffff,2.0,2.0,0.0
848af61ffffffff,79.0,0.0,79.0
848af63ffffffff,132.0,0.0,132.0
848af67ffffffff,105.0,0.0,103.0
848af69ffffffff,3.0,3.0,0.0
848af6bffffffff,16.0,0.0,16.0
848b1edffffffff,1.0,1.0,0.0
848b401ffffffff,2.0,2.0,0.0
848b40dffffffff,11.0,11.0,0.0
848b445ffffffff,9.0,9.0,0.0
848b449ffffffff,10.0,10.0,0.0
848b44bffffffff,49.0,48.0,0.0
848b44dffffffff,24.0,23.0,0.0
848b459ffffffff,9.0,9.0,0.0
848b469ffffffff,4.0,3.0,0.0
848b46bffffffff,6.0,6.0,0.0
848b525ffffffff,1.0,1.0,0.0
848b53dffffffff,2.0,2.0,0.0
848b567ffffffff,2.0,2.0,0.0
848b627ffffffff,1.0,1.0,0.0
848b635ffffffff,6.0,6.0,0.0
848b637ffffffff,99.0,99.0,0.0
848b683ffffffff,6.0,6.0,0.0
848b68bffffffff,2.0,2.0,0.0
848b691ffffffff,3.0,3.0,0.0
848b693ffffffff,17.0,17.0,0.0
848b697ffffffff,1.0,1.0,0.0
848b699ffffffff,2.0,2.0,0.0
848b6bbffffffff,2.0,2.0,0.0
848b6e5ffffffff,3.0,3.0,0.0
848b6e7ffffffff,57.0,56.0,0.0
848b6edffffffff,8.0,8.0,0.0
848b709ffffffff,3.0,1.0,0.0
848b713ffffffff,56.0,56.0,0.0
848b71bffffffff,4.0,3.0,0.0
848b747ffffffff,1.0,0.0,0.0
848b849ffffffff,1.0,1.0,0.0
848b999ffffffff,19.0,19.0,0.0
848b99dffffffff,44.0,42.0,0.0
848b9d5ffffffff,149.0,149.0,0.0
848e649ffffffff,2.0,2.0,0.0
848e65bffffffff,1.0,1.0,0.0
848f401ffffffff,19.0,19.0,0.0
848f403ffffffff,2.0,2.0,0.0
848f409ffffffff,4.0,4.0,0.0
848f437ffffffff,1.0,1.0,0.0
848f447ffffffff,2.0,2.0,0.0
848f44bffffffff,8.0,8.0,0.0
848f485ffffffff,2.0,2.0,0.0
848f489ffffffff,18.0,18.0,0.0
848f48dffffffff,11.0,11.0,0.0
848f4b3ffffffff,7.0,7.0,0.0
848f4c7ffffffff,17.0,17.0,0.0
848f4e3ffffffff,2.0,2.0,0.0
848f5dbffffffff,2.0,2.0,0.0
848f611ffffffff,4.0,4.0,0.0
848f619ffffffff,14.0,14.0,0.0
848f61bffffffff,37.0,36.0,0.0
848f655ffffffff,7.0,7.0,0.0
848f657ffffffff,16.0,16.0,0.0
848f6b5ffffffff,6.0,6.0,0.0
848f6ebffffffff,2.0,2.0,0.0
848f71bffffffff,14.0,14.0,0.0
84a8591ffffffff,2.0,2.0,0.0
