cell_id,Eudynamys orientalis,Eudynamys orientalis [orientalis Group],Eudynamys orientalis cyanocephalus/subcyanocephalus
839c74fffffffff,2.0,0.0,0.0
839c85fffffffff,2.0,0.0,0.0
839c8bfffffffff,6.0,4.0,0.0
839c90fffffffff,53.0,9.0,0.0
839c99fffffffff,3.0,2.0,0.0
839c9dfffffffff,4.0,4.0,0.0
839caafffffffff,3.0,0.0,0.0
839caefffffffff,8.0,0.0,0.0
839cc2fffffffff,6.0,6.0,0.0
839cd3fffffffff,247.0,19.0,7.0
839ce2fffffffff,2.0,0.0,0.0
839ce4fffffffff,20.0,0.0,4.0
839ce6fffffffff,1.0,0.0,0.0
839ce9fffffffff,2.0,0.0,0.0
839cf3fffffffff,10.0,0.0,2.0
839cf5fffffffff,5.0,0.0,0.0
839d01fffffffff,122.0,0.0,31.0
839d09fffffffff,4.0,0.0,2.0
839d0afffffffff,10.0,0.0,2.0
839d0bfffffffff,317.0,0.0,36.0
839d0cfffffffff,41.0,0.0,21.0
839d0efffffffff,14.0,0.0,6.0
839d21fffffffff,170.0,0.0,47.0
839d23fffffffff,3.0,0.0,3.0
839d24fffffffff,31.0,0.0,0.0
839d25fffffffff,68.0,0.0,16.0
839d28fffffffff,7.0,0.0,7.0
839d2afffffffff,34.0,0.0,12.0
839d2cfffffffff,1.0,0.0,0.0
839d2dfffffffff,21.0,0.0,3.0
839d2efffffffff,2.0,0.0,0.0
839d43fffffffff,3.0,0.0,0.0
839d44fffffffff,2.0,0.0,0.0
839d4afffffffff,46.0,0.0,10.0
839d55fffffffff,4.0,0.0,2.0
839ed1fffffffff,2.0,2.0,0.0
839ed5fffffffff,3.0,0.0,0.0
839edefffffffff,2.0,1.0,0.0
83be08fffffffff,2840.0,0.0,506.0
83be09fffffffff,14.0,0.0,0.0
83be0afffffffff,168.0,0.0,45.0
83be0bfffffffff,65.0,0.0,13.0
83be0cfffffffff,1132.0,0.0,474.0
83be0dfffffffff,506.0,0.0,187.0
83be0efffffffff,532.0,0.0,163.0
83be18fffffffff,411.0,0.0,82.0
83be19fffffffff,24.0,0.0,6.0
83be1afffffffff,158.0,0.0,45.0
83be1bfffffffff,48.0,0.0,10.0
83be1dfffffffff,357.0,0.0,56.0
83be29fffffffff,27.0,0.0,6.0
83be2bfffffffff,132.0,0.0,0.0
83be40fffffffff,2.0,0.0,0.0
83be45fffffffff,6.0,0.0,5.0
83be54fffffffff,2.0,0.0,0.0
83be56fffffffff,2.0,0.0,0.0
83be60fffffffff,2.0,0.0,0.0
83be62fffffffff,17.0,0.0,8.0
83be63fffffffff,129.0,0.0,36.0
83be66fffffffff,18.0,0.0,15.0
83be71fffffffff,13.0,0.0,9.0
83be72fffffffff,1124.0,0.0,200.0
83be73fffffffff,12.0,0.0,6.0
83be74fffffffff,199.0,0.0,70.0
83be75fffffffff,85.0,0.0,38.0
83be76fffffffff,82.0,0.0,22.0
83be88fffffffff,347.0,0.0,63.0
83be89fffffffff,34.0,0.0,7.0
83be8bfffffffff,250.0,0.0,34.0
83be8dfffffffff,4116.0,0.0,809.0
83bea9fffffffff,230.0,0.0,95.0
83beabfffffffff,338.0,0.0,66.0
83bec4fffffffff,2.0,0.0,2.0
83bec6fffffffff,9.0,0.0,0.0
83bed0fffffffff,2.0,0.0,0.0
83bed2fffffffff,5.0,0.0,0.0
83bed4fffffffff,14.0,0.0,6.0
83bed5fffffffff,3.0,0.0,2.0
83bed6fffffffff,5.0,0.0,2.0
83bedefffffffff,21.0,0.0,7.0
83bee0fffffffff,33.0,0.0,1.0
83bee2fffffffff,3.0,0.0,0.0
83bee4fffffffff,16.0,0.0,6.0
83bee5fffffffff,3.0,0.0,0.0
83bee6fffffffff,60.0,0.0,29.0
83bef0fffffffff,70.0,0.0,25.0
83bef1fffffffff,8.0,0.0,3.0
83bef2fffffffff,231.0,0.0,15.0
83bef3fffffffff,2.0,0.0,0.0
83bef4fffffffff,16.0,0.0,6.0
83bef5fffffffff,64.0,0.0,6.0
83bef6fffffffff,266.0,0.0,33.0
