cell_id,Schiffornis veraepacis,Schiffornis veraepacis [veraepacis Group],Schiffornis veraepacis rosenbergi
846d2ddffffffff,50.0,25.0,0.0
846d319ffffffff,11.0,3.0,0.0
846d35dffffffff,4.0,0.0,0.0
846d653ffffffff,7.0,0.0,0.0
846d659ffffffff,2.0,0.0,0.0
846d681ffffffff,58.0,0.0,0.0
846d689ffffffff,9.0,0.0,0.0
846d68bffffffff,325.0,0.0,0.0
846d68dffffffff,54.0,0.0,0.0
846d691ffffffff,410.0,0.0,0.0
846d693ffffffff,7.0,0.0,0.0
846d697ffffffff,312.0,0.0,0.0
846d699ffffffff,2.0,0.0,0.0
846d69bffffffff,100.0,0.0,0.0
846d69dffffffff,183.0,0.0,0.0
846d6d1ffffffff,24.0,0.0,0.0
846d6d3ffffffff,32.0,0.0,0.0
848f08bffffffff,2.0,0.0,0.0
848f0d1ffffffff,60.0,0.0,1.0
848f0dbffffffff,240.0,0.0,73.0
848f295ffffffff,13.0,0.0,0.0
848f2a9ffffffff,15.0,0.0,2.0
848f2abffffffff,15.0,0.0,4.0
848f2bbffffffff,1.0,0.0,0.0
848f2c3ffffffff,2.0,0.0,0.0
848f2cdffffffff,44.0,0.0,0.0
